bar_idx,datetime,decision_v3,decision_fixed,changed,leg,macro_broken,combined,realR
55,2020-01-14 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,0.97
78,2020-01-20 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
116,2020-01-28 15:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
130,2020-01-30 23:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,0.79
140,2020-02-03 15:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
149,2020-02-05 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,2.7
159,2020-02-06 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,2.83
217,2020-02-20 15:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.75
237,2020-02-25 23:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
287,2020-03-09 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,4,-1.1
351,2020-03-23 22:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-1,0.82
383,2020-03-31 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,2,0.61
391,2020-04-01 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,True,0,3.9
413,2020-04-07 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,4,1.46
458,2020-04-17 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,0.32
493,2020-04-27 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.9
521,2020-05-04 06:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_RANGE,False,2,1.37
542,2020-05-07 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,0.22
583,2020-05-18 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,4,0.02
597,2020-05-20 22:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,-1.1
631,2020-05-28 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
685,2020-06-10 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,0.38
702,2020-06-15 14:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,2,2.43
766,2020-06-30 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
780,2020-07-02 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,1.43
833,2020-07-15 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,3.9
845,2020-07-17 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,3.9
866,2020-07-23 02:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,2.09
886,2020-07-28 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-0.04
901,2020-07-30 22:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.9
919,2020-08-04 22:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
934,2020-08-07 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
970,2020-08-17 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-0.13
1027,2020-08-30 22:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
1072,2020-09-09 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,-1.1
1151,2020-09-28 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,True,1,1.1
1200,2020-10-08 22:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,-0.16
1211,2020-10-12 18:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,1,-0.59
1221,2020-10-14 10:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-1,-1.1
1298,2020-11-02 07:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,0.9
1316,2020-11-05 07:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,0,-1.1
1326,2020-11-08 23:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,3,-1.1
1353,2020-11-13 11:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-2,-1.1
1429,2020-12-02 11:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,0.55
1497,2020-12-17 19:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,1.2
1522,2020-12-23 23:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,0.9
1568,2021-01-06 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
1623,2021-01-20 03:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-2,-1.1
1661,2021-01-28 11:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-3,-1.1
1761,2021-02-22 07:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_BEAR_LEG,True,-2,-1.1
1775,2021-02-24 15:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,-1.1
1836,2021-03-10 19:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,0.05
1873,2021-03-18 22:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,-1.1
1901,2021-03-25 14:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
1941,2021-04-06 06:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-1,0.9
2034,2021-04-27 18:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,-1.1
2053,2021-05-02 22:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,3.32
2100,2021-05-12 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,3,1.78
2110,2021-05-14 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,2,1.86
2174,2021-05-31 02:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
2188,2021-06-02 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
2204,2021-06-07 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
2222,2021-06-10 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
2320,2021-07-02 14:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,1.47
2364,2021-07-14 02:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,1,-1.1
2372,2021-07-15 10:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,1,-1.1
2428,2021-07-28 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,0,-1.1
2488,2021-08-11 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-3,1.02
2497,2021-08-13 06:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,1.99
2544,2021-08-25 02:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,True,3,0.9
2663,2021-09-22 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-1,-1.1
2705,2021-10-01 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,1.19
2737,2021-10-08 10:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,-1.1
2747,2021-10-12 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-3,0.9
2859,2021-11-05 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,0.36
2896,2021-11-15 23:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,-1.1
2905,2021-11-17 11:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,-1.1
2922,2021-11-22 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
2944,2021-11-26 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,2,-1.1
2991,2021-12-08 03:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
3011,2021-12-13 11:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
3029,2021-12-16 11:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_RANGE,True,-1,0.59
3070,2021-12-28 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,-1.1
3085,2021-12-30 19:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,-1.1
3102,2022-01-04 15:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,-1.1
3118,2022-01-07 07:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-2,0.99
3126,2022-01-10 15:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-2,2.02
3147,2022-01-14 03:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,-1.1
3162,2022-01-18 15:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,-1.1
3178,2022-01-21 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,-1.1
3190,2022-01-25 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,0,-1.1
3219,2022-02-01 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,2.66
3238,2022-02-04 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,2.41
3252,2022-02-08 15:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,1.84
3326,2022-02-24 23:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,-1.1
3443,2022-03-24 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
