bar_idx,datetime,engine_policy,engine_family,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
55,2020-01-14,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,SCRATCH,0.97
78,2020-01-20,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
116,2020-01-28,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
130,2020-01-30,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,WIN_BE,0.79
140,2020-02-03,REVIEW_RISK,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
149,2020-02-05,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,DOWNGRADE_REVIEW,WIN_HELD,2.7
159,2020-02-06,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,DOWNGRADE_REVIEW,WIN_HELD,2.83
217,2020-02-20,REVIEW_RISK,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,REVIEW_RISK_BULL,SCRATCH,0.75
237,2020-02-25,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
287,2020-03-09,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
351,2020-03-23,REVIEW,NEUTRO,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_NEUTRAL,SCRATCH,0.82
383,2020-03-31,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,SCRATCH,0.61
391,2020-04-01,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_RUNNER,3.9
413,2020-04-07,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,1.46
458,2020-04-17,SKIP,RISK,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_NEUTRAL,SCRATCH,0.32
493,2020-04-27,REVIEW_RISK,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,WIN_BE,0.9
521,2020-05-04,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_LONG_RECENT,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,1.37
542,2020-05-07,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,SCRATCH,0.22
583,2020-05-18,SKIP,RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,UPGRADE_REVIEW,SCRATCH,0.02
597,2020-05-20,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
631,2020-05-28,TAKE,BULL,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
685,2020-06-10,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,SCRATCH,0.38
702,2020-06-15,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,WIN_HELD,2.43
766,2020-06-30,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
780,2020-07-02,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,1.43
833,2020-07-15,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_RUNNER,3.9
845,2020-07-17,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,WIN_RUNNER,3.9
866,2020-07-23,REVIEW_RISK,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,WIN_HELD,2.09
886,2020-07-28,REVIEW_RISK,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,SCRATCH,-0.04
901,2020-07-30,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.9
919,2020-08-04,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
934,2020-08-07,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
970,2020-08-17,REVIEW_RISK,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,SCRATCH,-0.13
1027,2020-08-30,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1072,2020-09-09,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,DOWNGRADE_REVIEW,STOP_LOSS,-1.1
1151,2020-09-28,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_LONG_RECENT,SMC_NONE,RSI_NO_DIV,SKIP_NEUTRAL,SCRATCH,1.1
1200,2020-10-08,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,-0.16
1211,2020-10-12,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,SCRATCH,-0.59
1221,2020-10-14,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1298,2020-11-02,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
1316,2020-11-05,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1326,2020-11-08,REVIEW_RISK,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
1353,2020-11-13,SKIP,RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,UPGRADE_REVIEW,STOP_LOSS,-1.1
1429,2020-12-02,SKIP,RISK,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_NEUTRAL,SCRATCH,0.55
1497,2020-12-17,REVIEW,NEUTRO,-1,WEAK_BEAR,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_WEAK_BEAR,SCRATCH,1.2
1522,2020-12-23,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
1568,2021-01-06,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_NONE,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
1623,2021-01-20,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
1661,2021-01-28,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1761,2021-02-22,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_BULL_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1775,2021-02-24,REVIEW,NEUTRO,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_STRONG_BEAR_CONFIRM,STOP_LOSS,-1.1
