bar_idx,datetime,context,engine_policy,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
55,2020-01-14,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,0.97
78,2020-01-20,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
116,2020-01-28,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
130,2020-01-30,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.79
140,2020-02-03,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,STOP_LOSS,-1.1
149,2020-02-05,BOTTOM,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_SELL_CLIMAX_BULL,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,2.7
159,2020-02-06,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,2.83
217,2020-02-20,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,REVIEW_RISK_BULL,SCRATCH,0.75
237,2020-02-25,PULLBACK,REVIEW_RISK,0,NEUTRAL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
287,2020-03-09,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
