bar_idx,datetime,decision,blocked,block_reason,macro_reader_leg,d1_regimeB,d1_combined,macro_broken,weekly_slope,bottom_turn,clean_sky_flag,micro_residual_flag,sup_cat,capit,demand,drop20_atr,reason_codes,realR,exitype,is_winner_gt
55,2020-01-14 07:00,ALLOW,NO,,MACRO_BULL_LEG,TRANSITION,1,False,0.09646395779253364,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_FRAGILE,2.62,allow(leg=MACRO_BULL_LEG),0.97,SCRATCH,1
78,2020-01-20 03:00,ALLOW,NO,,MACRO_BULL_LEG,TRANSITION,3,False,0.09646395779253364,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.0,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
116,2020-01-28 15:00,ALLOW,NO,,MACRO_RANGE,BULL,3,False,0.24430619108777824,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_DEFENDED,2.02,allow(leg=MACRO_RANGE),-1.1,STOP_LOSS,0
130,2020-01-30 23:00,ALLOW,NO,,MACRO_RANGE,TRANSITION,1,False,0.24430619108777824,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_DEFENDED,1.83,allow(leg=MACRO_RANGE),0.79,WIN_BE,0
140,2020-02-03 15:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,3,False,0.24430619108777824,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_NEUTRAL,1.58,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
149,2020-02-05 03:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,1,False,0.31303394991160177,True,True,True,SUPPLY_FAR_ENOUGH,CLIMAX_RECLAIM,DEMAND_DEFENDED,3.91,allow(leg=MACRO_BULL_LEG),2.7,WIN_HELD,0
159,2020-02-06 19:00,ALLOW,NO,,MACRO_BULL_LEG,TRANSITION,1,False,0.31303394991160177,False,True,True,SUPPLY_FAR_ENOUGH,NO_CAPITULATION,DEMAND_DEFENDED,1.54,allow(leg=MACRO_BULL_LEG),2.83,WIN_HELD,1
217,2020-02-20 15:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,3,False,0.4914036766956236,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_ABSENT,0.0,allow(leg=MACRO_BULL_LEG),0.75,SCRATCH,0
237,2020-02-25 23:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,3,False,0.5054408455860381,False,True,True,SUPPLY_FAR_ENOUGH,NO_CAPITULATION,DEMAND_NEUTRAL,2.53,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
287,2020-03-09 06:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,4,False,0.6064504073529768,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,1.75,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
351,2020-03-23 22:00,BLOCK_BEAR_MARKDOWN,YES,BLOCK_BEAR_MARKDOWN,MACRO_TRANSITION,BEAR,-1,True,0.4994770018512094,False,False,False,SUPPLY_FRESH_DANGEROUS,NO_CAPITULATION,DEMAND_DEFENDED,0.0,"bear_markdown(leg=MACRO_TRANSITION,mb=True,cs=-1.0)",0.82,SCRATCH,1
383,2020-03-31 06:00,ALLOW,NO,,MACRO_BULL_LEG,TRANSITION,2,True,0.5034561779500858,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_ABSENT,2.31,allow(leg=MACRO_BULL_LEG),0.61,SCRATCH,0
391,2020-04-01 14:00,ALLOW,NO,,MACRO_RANGE,TRANSITION,0,True,0.5034561779500858,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,2.68,allow(leg=MACRO_RANGE),3.9,WIN_RUNNER,1
413,2020-04-07 06:00,ALLOW,NO,,MACRO_RANGE,BULL,4,False,0.536186078146,False,False,False,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,0.9,allow(leg=MACRO_RANGE),1.46,WIN_HELD,0
458,2020-04-17 18:00,ALLOW,NO,,MACRO_RANGE,BULL,3,False,0.5440303471670079,False,True,True,SUPPLY_FAR_ENOUGH,FALLING_KNIFE,DEMAND_ABSENT,3.81,allow(leg=MACRO_RANGE),0.32,SCRATCH,0
493,2020-04-27 14:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,3,False,0.567423062410765,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_FRAGILE,1.81,allow(leg=MACRO_BULL_LEG),0.9,WIN_BE,0
521,2020-05-04 06:00,PRESERVE_BOTTOM_TURN,NO,,MACRO_RANGE,BULL,2,False,0.5583435484705966,True,False,False,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,0.67,bottom_turn_oversold_reclaim_demand,1.37,SCRATCH,0
542,2020-05-07 18:00,ALLOW,NO,,MACRO_RANGE,BULL,1,False,0.5400352108573094,False,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_DEFENDED,0.37,allow(leg=MACRO_RANGE),0.22,SCRATCH,0
583,2020-05-18 14:00,ALLOW,NO,,MACRO_RANGE,BULL,4,False,0.5696206217372586,False,True,True,CLEAN_SKY,FALLING_KNIFE,DEMAND_ABSENT,2.58,allow(leg=MACRO_RANGE),0.02,SCRATCH,0
597,2020-05-20 22:00,ALLOW,NO,,MACRO_RANGE,BULL,2,False,0.6013097455973243,False,False,False,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_NEUTRAL,2.48,allow(leg=MACRO_RANGE),-1.1,STOP_LOSS,0
631,2020-05-28 18:00,ALLOW,NO,,MACRO_BULL_LEG,TRANSITION,1,False,0.6246286658391609,True,False,False,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_DEFENDED,1.75,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
685,2020-06-10 18:00,ALLOW,NO,,MACRO_RANGE,TRANSITION,2,False,0.5881809871920802,False,False,False,SUPPLY_FRESH_DANGEROUS,NO_CAPITULATION,DEMAND_DEFENDED,0.0,allow(leg=MACRO_RANGE),0.38,SCRATCH,0
702,2020-06-15 14:00,ALLOW,NO,,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,0.5881809871920802,False,False,False,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,1.69,allow(leg=MACRO_CORRECTIVE_PULLBACK),2.43,WIN_HELD,0
766,2020-06-30 06:00,ALLOW,NO,,MACRO_BULL_LEG,BULL,3,False,0.6158233570956342,False,True,True,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.34,allow(leg=MACRO_BULL_LEG),-1.1,STOP_LOSS,0
