seq,datetime,realR,cumR
1,2020-01-14 07:00,0.97,0.97
2,2020-01-20 03:00,-1.1,-0.13
3,2020-01-28 15:00,-1.1,-1.23
4,2020-01-30 23:00,0.79,-0.44
5,2020-02-03 15:00,-1.1,-1.54
6,2020-02-05 03:00,2.7,1.16
7,2020-02-06 19:00,2.83,3.99
8,2020-02-20 15:00,0.75,4.74
9,2020-02-25 23:00,-1.1,3.64
10,2020-03-09 06:00,-1.1,2.54
11,2020-03-31 06:00,0.61,3.15
12,2020-04-01 14:00,3.9,7.05
13,2020-04-07 06:00,1.46,8.51
14,2020-04-17 18:00,0.32,8.83
15,2020-04-27 14:00,0.9,9.73
16,2020-05-04 06:00,1.37,11.1
17,2020-05-07 18:00,0.22,11.32
18,2020-05-18 14:00,0.02,11.34
19,2020-05-20 22:00,-1.1,10.24
20,2020-05-28 18:00,-1.1,9.14
21,2020-06-10 18:00,0.38,9.52
22,2020-06-15 14:00,2.43,11.95
23,2020-06-30 06:00,-1.1,10.85
24,2020-07-02 14:00,1.43,12.28
25,2020-07-15 14:00,3.9,16.18
26,2020-07-17 14:00,3.9,20.08
27,2020-07-23 02:00,2.09,22.17
28,2020-07-28 10:00,-0.04,22.13
29,2020-07-30 22:00,0.9,23.03
30,2020-08-04 22:00,-1.1,21.93
31,2020-08-07 10:00,-1.1,20.83
32,2020-08-17 10:00,-0.13,20.7
33,2020-08-30 22:00,-1.1,19.6
34,2020-09-09 14:00,-1.1,18.5
35,2020-09-28 18:00,1.1,19.6
36,2021-01-06 19:00,-1.1,18.5
37,2021-02-22 07:00,-1.1,17.4
38,2021-05-12 18:00,1.78,19.18
39,2021-05-14 10:00,1.86,21.04
40,2021-05-31 02:00,-1.1,19.94
41,2021-06-02 14:00,-1.1,18.84
42,2021-06-07 06:00,-1.1,17.74
43,2021-06-10 06:00,-1.1,16.64
44,2021-07-02 14:00,1.47,18.11
45,2021-07-28 18:00,-1.1,17.01
46,2021-08-25 02:00,0.9,17.91
47,2021-11-05 18:00,0.36,18.27
48,2021-11-15 23:00,-1.1,17.17
49,2021-11-17 11:00,-1.1,16.07
50,2021-11-22 07:00,-1.1,14.97
51,2021-11-26 03:00,-1.1,13.87
52,2021-12-16 11:00,0.59,14.46
53,2021-12-28 07:00,-1.1,13.36
54,2021-12-30 19:00,-1.1,12.26
55,2022-01-14 03:00,-1.1,11.16
56,2022-01-18 15:00,-1.1,10.06
57,2022-01-21 07:00,-1.1,8.96
58,2022-01-25 07:00,-1.1,7.86
59,2022-02-01 03:00,2.66,10.52
60,2022-02-04 07:00,2.41,12.93
61,2022-02-08 15:00,1.84,14.77
62,2022-02-24 23:00,-1.1,13.67
63,2022-03-24 10:00,-1.1,12.57
