type,bar_idx,datetime,realR,reason,leg
winner_blocked,4926,2023-03-09 19:00,3.9,BLOCK_BEAR_MARKDOWN,MACRO_BEAR_LEG
winner_blocked,5826,2023-10-06 18:00,3.9,BLOCK_BEAR_MARKDOWN,MACRO_TRANSITION
winner_blocked,6954,2024-07-01 22:00,3.9,BLOCK_CORRECTIVE_PULLBACK,MACRO_CORRECTIVE_PULLBACK
winner_blocked,3949,2022-07-21 18:00,3.54,BLOCK_BEAR_MARKDOWN,MACRO_BEAR_LEG
winner_blocked,2053,2021-05-02 22:00,3.32,BLOCK_BEAR_MARKDOWN,MACRO_BULL_LEG
winner_blocked,4384,2022-11-01 06:00,2.75,BLOCK_BEAR_MARKDOWN,MACRO_RANGE
winner_blocked,7731,2024-12-31 15:00,2.05,BLOCK_BEAR_MARKDOWN,MACRO_TRANSITION
winner_blocked,3126,2022-01-10 15:00,2.02,BLOCK_BEAR_MARKDOWN,MACRO_BULL_LEG
winner_blocked,2497,2021-08-13 06:00,1.99,BLOCK_BEAR_MARKDOWN,MACRO_BEAR_LEG
winner_blocked,5627,2023-08-22 14:00,1.96,BLOCK_BEAR_MARKDOWN,MACRO_RANGE
winner_blocked,6376,2024-02-15 15:00,1.89,BLOCK_BEAR_MARKDOWN,MACRO_BULL_LEG
winner_blocked,6729,2024-05-09 10:00,1.69,BLOCK_CORRECTIVE_PULLBACK,MACRO_CORRECTIVE_PULLBACK
loser_preserved,78,2020-01-20 03:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,116,2020-01-28 15:00,-1.1,ALLOW,MACRO_RANGE
loser_preserved,140,2020-02-03 15:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,237,2020-02-25 23:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,287,2020-03-09 06:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,597,2020-05-20 22:00,-1.1,ALLOW,MACRO_RANGE
loser_preserved,631,2020-05-28 18:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,766,2020-06-30 06:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,919,2020-08-04 22:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,934,2020-08-07 10:00,-1.1,ALLOW,MACRO_BULL_LEG
loser_preserved,1027,2020-08-30 22:00,-1.1,ALLOW,MACRO_RANGE
loser_preserved,1072,2020-09-09 14:00,-1.1,ALLOW,MACRO_RANGE
