episode_id,datetime,final_policy,exit,realR,macro_context,risk_sl,error_state,cause
55,2020-01-14,REVIEW,SCRATCH,0.97,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
78,2020-01-20,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
116,2020-01-28,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
130,2020-01-30,REVIEW,WIN_BE,0.79,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
140,2020-02-03,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
149,2020-02-05,TAKE_CANDIDATE,WIN_HELD,2.7,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
159,2020-02-06,TAKE_CANDIDATE,WIN_HELD,2.83,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
217,2020-02-20,REVIEW,SCRATCH,0.75,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
237,2020-02-25,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_TOO_SHORT,REVIEW_CORRECT,risk_sl
287,2020-03-09,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
351,2020-03-23,HUMAN_VISUAL_REQUIRED,SCRATCH,0.82,MACRO_TRANSITION,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase|risk_sl
383,2020-03-31,REVIEW,SCRATCH,0.61,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
391,2020-04-01,REVIEW,WIN_RUNNER,3.9,MACRO_RANGE,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
413,2020-04-07,HUMAN_VISUAL_REQUIRED,WIN_HELD,1.46,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
458,2020-04-17,REVIEW,SCRATCH,0.32,MACRO_RANGE,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
493,2020-04-27,REVIEW,WIN_BE,0.9,MACRO_BULL_LEG,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
521,2020-05-04,TAKE_CANDIDATE,SCRATCH,1.37,MACRO_RANGE,SL_OK,AUTO_TAKE_BAD_EXIT,exit_management
542,2020-05-07,REVIEW,SCRATCH,0.22,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
583,2020-05-18,REVIEW,SCRATCH,0.02,MACRO_RANGE,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
597,2020-05-20,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
631,2020-05-28,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
685,2020-06-10,REVIEW,SCRATCH,0.38,MACRO_RANGE,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
702,2020-06-15,UNKNOWN,WIN_HELD,2.43,MACRO_CORRECTIVE_PULLBACK,SL_OK,RESIDUAL_ACCEPTABLE,ok
766,2020-06-30,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
780,2020-07-02,TAKE_CANDIDATE,WIN_HELD,1.43,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
833,2020-07-15,TAKE_CANDIDATE,WIN_RUNNER,3.9,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
845,2020-07-17,TAKE_CANDIDATE,WIN_RUNNER,3.9,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
866,2020-07-23,REVIEW,WIN_HELD,2.09,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_SHOULD_BE_TAKE,risk_sl|supply_lens/regime_underread
886,2020-07-28,REVIEW,SCRATCH,-0.04,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
901,2020-07-30,TAKE_CANDIDATE,WIN_BE,0.9,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_EXIT,exit_management
919,2020-08-04,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
934,2020-08-07,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
970,2020-08-17,REVIEW,SCRATCH,-0.13,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
1027,2020-08-30,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
1072,2020-09-09,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
1151,2020-09-28,REVIEW,SCRATCH,1.1,MACRO_RANGE,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
1200,2020-10-08,SKIP_STRUCTURAL,SCRATCH,-0.16,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1211,2020-10-12,SKIP_STRUCTURAL,SCRATCH,-0.59,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1221,2020-10-14,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
1298,2020-11-02,HUMAN_VISUAL_REQUIRED,WIN_BE,0.9,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
1316,2020-11-05,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1326,2020-11-08,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1353,2020-11-13,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
1429,2020-12-02,SKIP_STRUCTURAL,SCRATCH,0.55,MACRO_BEAR_LEG,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1497,2020-12-17,SKIP_STRUCTURAL,SCRATCH,1.2,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1522,2020-12-23,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
1568,2021-01-06,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
1623,2021-01-20,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,SKIP_CORRECT,ok
1661,2021-01-28,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1761,2021-02-22,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
1775,2021-02-24,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1836,2021-03-10,SKIP_STRUCTURAL,SCRATCH,0.05,MACRO_BEAR_LEG,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1873,2021-03-18,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1901,2021-03-25,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_RANGE,SL_TOO_SHORT,SKIP_CORRECT,risk_sl
1941,2021-04-06,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
2034,2021-04-27,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
2053,2021-05-02,TAKE_CANDIDATE,WIN_HELD,3.32,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
2100,2021-05-12,REVIEW,WIN_HELD,1.78,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_SHOULD_BE_TAKE,risk_sl|supply_lens/regime_underread
2110,2021-05-14,TAKE_CANDIDATE,WIN_HELD,1.86,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
2174,2021-05-31,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2188,2021-06-02,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2204,2021-06-07,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2222,2021-06-10,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2320,2021-07-02,REVIEW,WIN_HELD,1.47,MACRO_TRANSITION,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
2364,2021-07-14,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_OK,SKIP_CORRECT,ok
2372,2021-07-15,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
2428,2021-07-28,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
2488,2021-08-11,HUMAN_VISUAL_REQUIRED,SCRATCH,1.02,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
2497,2021-08-13,SKIP_STRUCTURAL,WIN_HELD,1.99,MACRO_BEAR_LEG,SL_OK,SKIP_WRONG_CUT_WINNER,regime_overcut
2544,2021-08-25,UNKNOWN,WIN_BE,0.9,MACRO_CORRECTIVE_PULLBACK,SL_OK,RESIDUAL_ACCEPTABLE,ok
2663,2021-09-22,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
