episode_id,datetime,macro_phase_causal,old_policy,exit,realR
55,2020-01-14,MACRO_BULL_RUN,REVIEW,SCRATCH,0.97
78,2020-01-20,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
116,2020-01-28,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
130,2020-01-30,MACRO_BULL_RUN,REVIEW,WIN_BE,0.79
140,2020-02-03,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
149,2020-02-05,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.7
159,2020-02-06,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.83
217,2020-02-20,MACRO_BULL_RUN,REVIEW,SCRATCH,0.75
237,2020-02-25,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
287,2020-03-09,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
351,2020-03-23,MACRO_BEAR_MARKDOWN,HUMAN_VISUAL_REQUIRED,SCRATCH,0.82
383,2020-03-31,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.61
391,2020-04-01,MACRO_RANGE_TRANSITION,REVIEW,WIN_RUNNER,3.9
413,2020-04-07,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,WIN_HELD,1.46
458,2020-04-17,MACRO_BULL_RUN,REVIEW,SCRATCH,0.32
493,2020-04-27,MACRO_BULL_RUN,REVIEW,WIN_BE,0.9
521,2020-05-04,MACRO_BULL_RUN,TAKE_CANDIDATE,SCRATCH,1.37
542,2020-05-07,MACRO_BULL_RUN,REVIEW,SCRATCH,0.22
583,2020-05-18,MACRO_BULL_RUN,REVIEW,SCRATCH,0.02
597,2020-05-20,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
631,2020-05-28,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
685,2020-06-10,MACRO_BULL_RUN,REVIEW,SCRATCH,0.38
702,2020-06-15,MACRO_BULL_RUN,UNKNOWN,WIN_HELD,2.43
