seq,datetime,realR,cumR
1,2020-01-20 03:00,-1.1,-1.1
2,2020-02-03 15:00,-1.1,-2.2
3,2020-02-05 03:00,2.7,0.5
4,2020-02-06 19:00,2.83,3.33
5,2020-03-09 06:00,-1.1,2.23
6,2020-05-04 06:00,1.37,3.6
7,2020-05-28 18:00,-1.1,2.5
8,2020-06-30 06:00,-1.1,1.4
9,2020-07-02 14:00,1.43,2.83
10,2020-07-15 14:00,3.9,6.73
11,2020-07-17 14:00,3.9,10.63
12,2020-07-30 22:00,0.9,11.53
13,2021-01-06 19:00,-1.1,10.43
14,2021-02-22 07:00,-1.1,9.33
15,2021-05-02 22:00,3.32,12.65
16,2021-05-14 10:00,1.86,14.51
17,2021-05-31 02:00,-1.1,13.41
18,2021-06-02 14:00,-1.1,12.31
19,2021-06-07 06:00,-1.1,11.21
20,2021-06-10 06:00,-1.1,10.11
21,2021-11-22 07:00,-1.1,9.01
22,2021-11-26 03:00,-1.1,7.91
23,2021-12-16 11:00,0.59,8.5
24,2022-01-04 15:00,-1.1,7.4
25,2022-01-10 15:00,2.02,9.42
26,2022-01-25 07:00,-1.1,8.32
27,2022-02-01 03:00,2.66,10.98
28,2022-06-10 10:00,-1.1,9.88
29,2022-06-16 18:00,-1.1,8.78
30,2022-10-28 06:00,-1.1,7.68
31,2022-11-04 02:00,2.76,10.44
32,2022-11-30 23:00,0.49,10.93
33,2022-12-05 19:00,1.28,12.21
34,2022-12-15 03:00,-1.1,11.11
35,2022-12-22 23:00,3.9,15.01
36,2023-01-03 19:00,2.17,17.18
37,2023-01-11 07:00,2.05,19.23
38,2023-01-31 15:00,-1.1,18.13
39,2023-03-08 11:00,3.9,22.03
40,2023-03-30 18:00,-1.1,20.93
41,2023-04-11 06:00,-1.1,19.83
42,2023-04-18 14:00,-1.1,18.73
43,2023-04-21 06:00,2.34,21.07
44,2023-07-31 10:00,-1.1,19.97
45,2023-09-07 22:00,-1.1,18.87
46,2024-01-04 03:00,-1.1,17.77
47,2024-01-08 23:00,-1.1,16.67
48,2024-02-13 07:00,-1.1,15.57
49,2024-02-15 15:00,1.89,17.46
50,2024-04-09 10:00,-1.1,16.36
51,2024-04-11 14:00,-1.1,15.26
52,2024-05-30 10:00,-1.1,14.16
53,2024-06-03 14:00,-1.1,13.06
54,2024-06-05 14:00,-1.1,11.96
55,2024-07-24 10:00,-1.1,10.86
56,2024-07-26 10:00,0.9,11.76
57,2024-11-07 11:00,-1.1,10.66
58,2025-01-27 11:00,-1.1,9.56
59,2025-02-11 03:00,0.17,9.73
60,2025-02-18 07:00,-1.1,8.63
61,2025-03-27 06:00,0.9,9.53
62,2025-04-04 14:00,-1.1,8.43
63,2025-04-09 06:00,2.48,10.91
64,2025-04-30 18:00,-1.1,9.81
65,2025-06-16 06:00,-1.1,8.71
66,2025-06-26 06:00,-1.1,7.61
67,2025-07-30 06:00,-1.1,6.51
68,2025-08-01 10:00,-0.19,6.32
69,2025-09-28 22:00,3.24,9.56
70,2025-10-01 10:00,2.83,12.39
71,2025-10-03 10:00,3.9,16.29
72,2025-10-13 06:00,0.9,17.19
73,2025-10-17 14:00,-1.1,16.09
74,2025-10-28 10:00,1.4,17.49
75,2025-11-19 19:00,1.64,19.13
76,2025-12-26 03:00,-1.1,18.03
77,2026-01-05 07:00,1.64,19.67
78,2026-01-08 03:00,2.45,22.12
79,2026-01-09 19:00,3.16,25.28
80,2026-01-14 07:00,-1.1,24.18
81,2026-01-22 19:00,0.9,25.08
82,2026-03-03 23:00,-0.59,24.49
