type,episode,dt,exit,realR,policy,ctx
stop_preserved_TAKE,78,2020-01-20,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,140,2020-02-03,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,287,2020-03-09,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,631,2020-05-28,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,766,2020-06-30,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,1568,2021-01-06,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,1761,2021-02-22,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BEAR_LEG
stop_preserved_TAKE,2174,2021-05-31,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,2188,2021-06-02,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,2204,2021-06-07,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,2222,2021-06-10,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,2497,2021-08-13,WIN_HELD,1.99,SKIP_STRUCTURAL,MACRO_BEAR_LEG
stop_preserved_TAKE,2922,2021-11-22,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,2944,2021-11-26,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,3102,2022-01-04,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,3190,2022-01-25,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,3773,2022-06-10,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,3799,2022-06-16,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,3949,2022-07-21,WIN_HELD,3.54,SKIP_STRUCTURAL,MACRO_BEAR_LEG
stop_preserved_TAKE,4372,2022-10-28,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,4384,2022-11-01,WIN_HELD,2.75,SKIP_STRUCTURAL,MACRO_RANGE
stop_preserved_TAKE,4574,2022-12-15,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,4763,2023-01-31,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,4926,2023-03-09,WIN_RUNNER,3.9,SKIP_STRUCTURAL,MACRO_BEAR_LEG
stop_preserved_TAKE,5016,2023-03-30,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,5055,2023-04-11,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,5087,2023-04-18,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,5435,2023-07-07,WIN_HELD,1.61,SKIP_STRUCTURAL,MACRO_BEAR_LEG
stop_preserved_TAKE,5530,2023-07-31,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,5627,2023-08-22,WIN_HELD,1.96,SKIP_STRUCTURAL,MACRO_RANGE
stop_preserved_TAKE,5701,2023-09-07,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BEAR_LEG
winner_blocked,5826,2023-10-06,WIN_RUNNER,3.9,SKIP_STRUCTURAL,MACRO_TRANSITION
stop_preserved_TAKE,6193,2024-01-04,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6210,2024-01-08,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6362,2024-02-13,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6597,2024-04-09,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6610,2024-04-11,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,6729,2024-05-09,WIN_HELD,1.69,SKIP_STRUCTURAL,MACRO_CORRECTIVE_PULLBACK
stop_preserved_TAKE,6819,2024-05-30,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6832,2024-06-03,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,6844,2024-06-05,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,6954,2024-07-01,WIN_RUNNER,3.9,SKIP_STRUCTURAL,MACRO_CORRECTIVE_PULLBACK
stop_preserved_TAKE,7053,2024-07-24,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,7509,2024-11-07,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_TRANSITION
stop_preserved_TAKE,7838,2025-01-27,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,7933,2025-02-18,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,8133,2025-04-04,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,8236,2025-04-30,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,8431,2025-06-16,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,8479,2025-06-26,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
winner_blocked,8544,2025-07-11,WIN_HELD,1.01,SKIP_STRUCTURAL,MACRO_CORRECTIVE_PULLBACK
stop_preserved_TAKE,8622,2025-07-30,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,8966,2025-10-17,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,9256,2025-12-26,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
stop_preserved_TAKE,9329,2026-01-14,STOP_LOSS,-1.1,TAKE_CANDIDATE,MACRO_BULL_LEG
