plot_id,set,cris,mine,exit,realR,won_big,d1_leg,fam,votes,err,macro_v,auct_v,vol_v,risk_v
S1,A,UNLABELED,REVIEW,WIN_HELD,1.46,Y,MACRO_RANGE,BULL,1T/2R/1S,REVIEW/ambíguo,TAKE,SKIP,REVIEW,REVIEW
S3,A,UNLABELED,TAKE_CANDIDATE,WIN_HELD,2.43,Y,MACRO_CORRECTIVE_PULLBACK,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,TAKE
S4,A,UNLABELED,TAKE_CANDIDATE,WIN_HELD,1.43,Y,MACRO_BULL_LEG,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,TAKE
S5,A,UNLABELED,REVIEW,WIN_HELD,2.09,Y,MACRO_BULL_LEG,BULL,1T/3R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,REVIEW
S6,A,UNLABELED,REVIEW,WIN_BE,0.9,,MACRO_BULL_LEG,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
S7,A,UNLABELED,REVIEW,WIN_BE,0.9,,MACRO_RANGE,RISK,2T/2R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,TAKE
S8,A,UNLABELED,REVIEW,WIN_BE,0.9,,MACRO_RANGE,RISK,1T/3R/0S,REVIEW/ambíguo,REVIEW,REVIEW,REVIEW,TAKE
S9,C,UNLABELED,SKIP_STRUCTURAL,WIN_HELD,1.78,Y,MACRO_BULL_LEG,RISK,0T/2R/2S,CORTE_ERRADO (big winner SKIPado),REVIEW,SKIP,SKIP,REVIEW
S10,C,UNLABELED,REVIEW,WIN_HELD,1.86,Y,MACRO_BULL_LEG,BULL,1T/3R/0S,REVIEW/ambíguo,REVIEW,REVIEW,REVIEW,TAKE
S12,A,UNLABELED,REVIEW,WIN_HELD,1.84,Y,MACRO_TRANSITION,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,REVIEW
S13,A,UNLABELED,SKIP_STRUCTURAL,WIN_HELD,3.54,Y,MACRO_BEAR_LEG,RISK,0T/3R/1S,CORTE_ERRADO (big winner SKIPado),SKIP,REVIEW,REVIEW,REVIEW
S14,C,UNLABELED,SKIP_STRUCTURAL,WIN_HELD,2.75,Y,MACRO_RANGE,RISK,1T/1R/2S,CORTE_ERRADO (big winner SKIPado),SKIP,SKIP,TAKE,REVIEW
S15,A,UNLABELED,SKIP_STRUCTURAL,WIN_HELD,2.76,Y,MACRO_RANGE,RISK,1T/1R/2S,CORTE_ERRADO (big winner SKIPado),SKIP,SKIP,REVIEW,TAKE
S16,A,UNLABELED,REVIEW,WIN_HELD,1.82,Y,MACRO_TRANSITION,BULL,0T/3R/1S,REVIEW/ambíguo,REVIEW,SKIP,REVIEW,REVIEW
S17,A,UNLABELED,REVIEW,WIN_HELD,2.17,Y,MACRO_BULL_LEG,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
S18,C,UNLABELED,TAKE_CANDIDATE,WIN_HELD,2.05,Y,MACRO_BULL_LEG,BULL,4T/0R/0S,REVIEW/ambíguo,TAKE,TAKE,TAKE,TAKE
S19,C,BLOCK_acceptable_skip,SKIP_STRUCTURAL,WIN_HELD,1.96,Y,MACRO_RANGE,RISK,1T/1R/2S,CORTE_ERRADO (big winner SKIPado),SKIP,SKIP,TAKE,REVIEW
S20,A,PROTECT,REVIEW,WIN_RUNNER,3.9,Y,MACRO_TRANSITION,BULL,1T/2R/1S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",REVIEW,SKIP,REVIEW,TAKE
S21,C,UNLABELED,REVIEW,WIN_HELD,2.7,Y,MACRO_TRANSITION,BULL,1T/3R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,REVIEW
S22,C,UNLABELED,REVIEW,WIN_BE,0.9,,MACRO_RANGE,BULL,1T/3R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,REVIEW
S23,C,UNLABELED,REVIEW,WIN_BE,0.9,,MACRO_CORRECTIVE_PULLBACK,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
S24,A,PROTECT,TAKE_CANDIDATE,WIN_HELD,3.16,Y,MACRO_RANGE,BULL,3T/1R/0S,OK_take,TAKE,REVIEW,TAKE,TAKE
S25,A,PROTECT,REVIEW,WIN_RUNNER,3.9,Y,MACRO_RANGE,BULL,1T/3R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,REVIEW
S26,A,PROTECT,SKIP_STRUCTURAL,WIN_RUNNER,3.9,Y,MACRO_RANGE,RISK,1T/1R/2S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,SKIP,SKIP,REVIEW
S27,A,PROTECT,REVIEW,WIN_HELD,1.78,Y,MACRO_CORRECTIVE_PULLBACK,RISK,2T/2R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,TAKE
S28,C,UNLABELED,REVIEW,WIN_HELD,1.01,Y,MACRO_CORRECTIVE_PULLBACK,BULL,2T/2R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,TAKE
S29,A,PROTECT,REVIEW,WIN_HELD,1.95,Y,MACRO_RANGE,BULL,1T/3R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,REVIEW
S30,A,PROTECT,REVIEW,WIN_HELD,2.05,Y,MACRO_BULL_LEG,BULL,1T/3R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,REVIEW
S31,A,PROTECT,TAKE_CANDIDATE,WIN_HELD,2.83,Y,MACRO_BULL_LEG,BULL,3T/1R/0S,OK_take,TAKE,REVIEW,TAKE,TAKE
S32,A,PROTECT,TAKE_CANDIDATE,WIN_RUNNER,3.9,Y,MACRO_BULL_LEG,BULL,4T/0R/0S,OK_take,TAKE,TAKE,TAKE,TAKE
S34,A,UNLABELED,TAKE_CANDIDATE,WIN_BE,0.9,,MACRO_BULL_LEG,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,TAKE
S35,A,PROTECT,REVIEW,WIN_RUNNER,3.9,Y,MACRO_RANGE,BULL,2T/2R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,TAKE
S36,A,PROTECT,REVIEW,WIN_HELD,1.97,Y,MACRO_BULL_LEG,BULL,1T/2R/1S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,SKIP,REVIEW,REVIEW
S37,A,PROTECT,REVIEW,WIN_HELD,2.45,Y,MACRO_BULL_LEG,BULL,1T/3R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",TAKE,REVIEW,REVIEW,REVIEW
S38,A,PROTECT,TAKE_CANDIDATE,WIN_HELD,3.16,Y,MACRO_BULL_LEG,BULL,3T/1R/0S,OK_take,TAKE,TAKE,REVIEW,TAKE
S39,C,REVIEW,REVIEW,WIN_BE,0.9,,MACRO_BULL_LEG,BULL,1T/3R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,REVIEW
