dim,state,n,runners,losers,runner_pct,lift_vs_base
macro_state,CORRECTIVE_BEAR_LEG,43,14,23,32.6,1.25
macro_state,RANGE_MACRO_BULL_RECLAIM,29,9,18,31.0,1.19
macro_state,MACRO_BULL_RUN_CONTINUATION,44,13,28,29.5,1.13
macro_state,BEAR_BOUNCE_RISK,35,10,22,28.6,1.1
macro_state,NO_OVERHEAD_MARKUP,62,16,37,25.8,0.99
macro_state,BULL_PULLBACK_CONTINUATION,47,7,30,14.9,0.57
macro_state,UNKNOWN_CONFLICT,10,1,7,10.0,0.38
supply_spec,SUPPLY_FAR_NEUTRAL,61,18,36,29.5,1.13
supply_spec,SUPPLY_BLOCKS_TARGET,68,18,44,26.5,1.01
supply_spec,CLEAN_SKY_BULLISH,88,22,54,25.0,0.96
supply_spec,SUPPLY_REJECTING_RISK,56,13,34,23.2,0.89
momentum_spec,HEALTHY_HIGH_LEGPOS,74,22,42,29.7,1.14
momentum_spec,WEAK_MOMENTUM,99,26,62,26.3,1.01
momentum_spec,STRONG_BULL_MOMENTUM,103,24,64,23.3,0.89
capit_spec,CLIMAX_RECLAIM,10,4,6,40.0,1.53
capit_spec,FALLING_KNIFE,20,6,10,30.0,1.15
capit_spec,NO_CAPITULATION,246,62,152,25.2,0.97
fuel_spec,high_fuel,131,40,75,30.5,1.17
fuel_spec,medium_fuel,32,8,20,25.0,0.96
fuel_spec,low_fuel,113,24,73,21.2,0.81
regime_spec,MACRO_BULL,155,42,95,27.1,1.04
regime_spec,MACRO_BROKEN_DISTRIBUTION,109,28,65,25.7,0.98
regime_spec,MACRO_TRANSITION_RISK,8,2,4,25.0,0.96
mtf_spec,MTF_CONFLICT,12,5,6,41.7,1.6
mtf_spec,FULL_BULL_ALIGN,141,38,82,27.0,1.03
mtf_spec,BEAR_ALIGN,57,15,37,26.3,1.01
mtf_spec,PARTIAL_BULL,66,14,43,21.2,0.81
ind_context,BOTTOM,10,4,6,40.0,1.53
ind_context,TOP,74,22,43,29.7,1.14
ind_context,PULLBACK,181,45,112,24.9,0.95
ind_context,NEUTRAL,11,1,7,9.1,0.35
ind_confluence,STRONG_BEAR_CONFIRM,31,11,18,35.5,1.36
ind_confluence,WEAK_BEAR,37,11,22,29.7,1.14
ind_confluence,WEAK_BULL,73,20,41,27.4,1.05
ind_confluence,STRONG_BULL_CONFIRM,87,21,58,24.1,0.93
ind_confluence,NEUTRAL,48,9,29,18.8,0.72
ind_bubbles,BUBBLE_SELL_CLIMAX_BULL,9,4,5,44.4,1.7
ind_bubbles,BUBBLE_SELL_DISTRIBUTION,52,18,30,34.6,1.33
ind_bubbles,BUBBLE_MIXED,62,18,37,29.0,1.11
ind_bubbles,BUBBLE_BUY_ACCUM_PULLBACK,121,29,75,24.0,0.92
ind_bubbles,BUBBLE_BUY_LATE,15,2,9,13.3,0.51
ind_bubbles,BUBBLE_NEUTRAL,11,1,7,9.1,0.35
ind_smc,SMC_CHOCH_TOP_REVERSAL,39,12,24,30.8,1.18
ind_smc,SMC_CHOCH_BULL_TRIGGER,68,20,43,29.4,1.13
ind_smc,SMC_NONE,88,23,46,26.1,1.0
ind_smc,SMC_BOS_CONTINUATION,66,14,43,21.2,0.81
ind_smc,SMC_BOS_LATE,15,3,12,20.0,0.77
ind_nas,NAS_LONG_RECENT,12,4,6,33.3,1.28
ind_nas,NAS_NEUTRAL,240,62,147,25.8,0.99
ind_nas,NAS_SHORT,21,4,14,19.0,0.73
