plot_id,role,d1_leg,macro_state,family,ok
T34,preserve,MACRO_BEAR_LEG,BULL_PULLBACK_CONTINUATION,NEUTRAL,True
S20,preserve,MACRO_TRANSITION,RANGE_MACRO_BULL_RECLAIM,BULL,True
S24,preserve,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,BULL,True
S25,preserve,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,BULL,True
S26,preserve,MACRO_RANGE,UNKNOWN_CONFLICT,NEUTRAL,True
S27,preserve,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,BULL,True
S29,preserve,MACRO_RANGE,LATE_TOP_EXHAUSTION,RISK,False
S30,preserve,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,True
S31,preserve,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,True
S32,preserve,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,True
S35,preserve,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,NEUTRAL,True
S36,preserve,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,BULL,True
S37,preserve,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,BULL,True
S38,preserve,MACRO_BULL_LEG,MACRO_BULL_RUN_CONTINUATION,BULL,True
T40,block,MACRO_RANGE,RANGE_MACRO_BULL_RECLAIM,BULL,False
