plot_id,set,datetime,leg_state,liquidity_state,context_family,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,prior_layers_used,prior_layers_conflicts,provenance_ok,final_verdict,macro_v1_family
S1,A,2020-04-07,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=6;n_SL=8;last_SH=1619.8;last_SL=1605.8;price=1650.4;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
S3,A,2020-06-15,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=8;n_SL=8;last_SH=1743.0;last_SL=1721.5;price=1722.3;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
S4,A,2020-07-02,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,,HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=8;n_SL=10;last_SH=1789.0;last_SL=1759.1;price=1777.0;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,bear-leg+supply_rejecting=bearish,,pivots_causal+smc_causal,PROTECT,BULL
S5,A,2020-07-23,CORRECTIVE_BEAR_LEG,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH_mas_LL=correcao|buy_side_sweep_rejection,bear-leg+CLEAN_SKY=relief(nao-basta),HH_mas_LL=correcao|buy_side_sweep_rejection,n_SH=9;n_SL=7;last_SH=1865.8;last_SL=1794.9;price=1869.4;HH=True;HL=False;buy_sweep=True;sell_sweep=False;reclaim=False,leg=CORRECTIVE_BEAR_LEG; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,PROTECT,BULL
S6,A,2020-07-30,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=8;n_SL=5;last_SH=1980.8;last_SL=1941.4;price=1965.1;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
S7,A,2020-11-02,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=9;n_SL=9;last_SH=1889.8;last_SL=1859.9;price=1888.3;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,PROTECT,RISK
S8,A,2021-04-06,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=8;n_SL=8;last_SH=1730.5;last_SL=1721.6;price=1732.0;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,RISK
S12,A,2022-02-08,BULL_LEG_HH_HL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|buy_side_sweep_rejection,n_SH=7;n_SL=9;last_SH=1823.6;last_SL=1792.2;price=1828.2;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,PROTECT,BULL
S13,A,2022-07-21,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=9;n_SL=8;last_SH=1714.4;last_SL=1705.3;price=1718.2;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,,,pivots_causal+smc_causal,PROTECT,RISK
S15,A,2022-11-04,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=7;n_SL=9;last_SH=1669.5;last_SL=1616.6;price=1647.1;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,bear-leg+supply_rejecting=bearish|sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,PROTECT,RISK
S16,A,2022-11-23,BEAR_PULLBACK_TO_SUPPLY,SWEEP_AND_RECLAIM,RISK,high,LH+LL|bounce|sell_sweep+reclaim,,LH+LL|bounce|sell_sweep+reclaim,n_SH=10;n_SL=7;last_SH=1749.8;last_SL=1732.5;price=1749.4;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_PULLBACK_TO_SUPPLY; liq=SWEEP_AND_RECLAIM; contexto=RISK,,,pivots_causal+smc_causal,PROTECT,BULL
S17,A,2023-01-03,BULL_PULLBACK_WITH_HL_INTACT,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,n_SH=7;n_SL=8;last_SH=1850.0;last_SL=1813.3;price=1839.5;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,PROTECT,BULL
S20,A,2023-10-11,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=9;n_SL=8;last_SH=1865.4;last_SL=1853.0;price=1872.2;HH=True;HL=True;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
S24,A,2024-07-03,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=11;n_SL=8;last_SH=2336.8;last_SL=2318.8;price=2346.3;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
S25,A,2024-08-15,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=6;n_SL=8;last_SH=2479.8;last_SL=2437.8;price=2444.5;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,,,pivots_causal+smc_causal,PROTECT,BULL
