plot_id,role,v1_family,v2_family,v1_ok,v2_ok,v2_state
T34,preserve,BULL,BULL,True,True,BULL_PULLBACK_CONTINUATION
S20,preserve,BULL,RISK,True,False,CORRECTIVE_BEAR_LEG
S24,preserve,BULL,BULL,True,True,RANGE_MACRO_BULL_RECLAIM
S25,preserve,BULL,BULL,True,True,MACRO_BULL_RUN_CONTINUATION
S26,preserve,RISK,RISK,False,False,CORRECTIVE_BEAR_LEG
S27,preserve,RISK,RISK,False,False,CORRECTIVE_BEAR_LEG
S29,preserve,BULL,RISK,True,False,LATE_TOP_EXHAUSTION
S30,preserve,BULL,RISK,True,False,LATE_TOP_EXHAUSTION
S31,preserve,BULL,RISK,True,False,LATE_TOP_EXHAUSTION
S32,preserve,BULL,RISK,True,False,LATE_TOP_EXHAUSTION
S35,preserve,BULL,BULL,True,True,MACRO_BULL_RUN_CONTINUATION
S36,preserve,BULL,BULL,True,True,MACRO_BULL_RUN_CONTINUATION
S37,preserve,BULL,BULL,True,True,MACRO_BULL_RUN_CONTINUATION
S38,preserve,BULL,RISK,True,False,LATE_TOP_EXHAUSTION
T40,block,BULL,BULL,False,False,NO_OVERHEAD_MARKUP
