plot_id,v1_state,regime,mtf,momentum,supply,macro_fatal,macro_fatal_rc,late_top,late_top_rc,v2_state,v2_family,feature_values
T2,MACRO_BULL_RUN_CONTINUATION,MACRO_BULL,FULL_BULL_ALIGN,STRONG_BULL_MOMENTUM,SUPPLY_BLOCKS_TARGET,False,,False,,MACRO_BULL_RUN_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=1.0;legpos90=69.2;dist_d1_supply=1.68;wk_rsi=75.83509665771517;bear_div=0.0;rise20=1.09
T3,MACRO_BULL_RUN_CONTINUATION,MACRO_BULL,FULL_BULL_ALIGN,STRONG_BULL_MOMENTUM,SUPPLY_FAR_NEUTRAL,False,,False,,MACRO_BULL_RUN_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=3.0;legpos90=65.4;dist_d1_supply=None;wk_rsi=60.199585812862935;bear_div=0.0;rise20=1.16
T4,NO_OVERHEAD_MARKUP,MACRO_BULL,FULL_BULL_ALIGN,STRONG_BULL_MOMENTUM,CLEAN_SKY_BULLISH,False,,False,,NO_OVERHEAD_MARKUP,BULL,macro_broken=False;distribution=False;cascade=3.0;legpos90=72.8;dist_d1_supply=0.22;wk_rsi=70.53013843103304;bear_div=0.0;rise20=1.41
T16,MACRO_BULL_RUN_CONTINUATION,MACRO_BULL,FULL_BULL_ALIGN,HEALTHY_HIGH_LEGPOS,SUPPLY_FAR_NEUTRAL,False,,False,,MACRO_BULL_RUN_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=2.0;legpos90=97.3;dist_d1_supply=1.06;wk_rsi=61.78599928687566;bear_div=0.0;rise20=2.91
T18,NO_OVERHEAD_MARKUP,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,HEALTHY_HIGH_LEGPOS,CLEAN_SKY_BULLISH,True,macro_broken,False,,NO_OVERHEAD_MARKUP,BULL,macro_broken=True;distribution=False;cascade=1.0;legpos90=91.5;dist_d1_supply=2.15;wk_rsi=54.9269438919022;bear_div=0.0;rise20=2.87
T20,BULL_PULLBACK_CONTINUATION,MACRO_TRANSITION_RISK,PARTIAL_BULL,STRONG_BULL_MOMENTUM,SUPPLY_FAR_NEUTRAL,False,,False,,BULL_PULLBACK_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=0.0;legpos90=84.4;dist_d1_supply=0.87;wk_rsi=47.218594148109844;bear_div=0.0;rise20=0.72
T23,BULL_PULLBACK_CONTINUATION,MACRO_BULL,FULL_BULL_ALIGN,WEAK_MOMENTUM,CLEAN_SKY_BULLISH,False,,False,,BULL_PULLBACK_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=3.0;legpos90=33.3;dist_d1_supply=2.24;wk_rsi=63.63673742991145;bear_div=0.0;rise20=3.24
T24,RANGE_MACRO_BULL_RECLAIM,MACRO_BULL,PARTIAL_BULL,WEAK_MOMENTUM,CLEAN_SKY_BULLISH,False,,False,,RANGE_MACRO_BULL_RECLAIM,BULL,macro_broken=False;distribution=False;cascade=3.0;legpos90=47.5;dist_d1_supply=3.06;wk_rsi=58.6103024847639;bear_div=0.0;rise20=3.41
T25,NO_OVERHEAD_MARKUP,MACRO_BULL,FULL_BULL_ALIGN,STRONG_BULL_MOMENTUM,CLEAN_SKY_BULLISH,False,,False,,NO_OVERHEAD_MARKUP,BULL,macro_broken=False;distribution=False;cascade=2.0;legpos90=68.5;dist_d1_supply=3.6;wk_rsi=60.75582964833017;bear_div=0.0;rise20=2.27
T26,BULL_PULLBACK_CONTINUATION,MACRO_BULL,FULL_BULL_ALIGN,WEAK_MOMENTUM,CLEAN_SKY_BULLISH,False,,False,,BULL_PULLBACK_CONTINUATION,BULL,macro_broken=False;distribution=False;cascade=3.0;legpos90=65.0;dist_d1_supply=0.07;wk_rsi=60.75582964833017;bear_div=0.0;rise20=2.06
T30,CAPITULATION_RECLAIM_VALID,MACRO_BULL,PARTIAL_BULL,WEAK_MOMENTUM,SUPPLY_FAR_NEUTRAL,False,,False,,CAPITULATION_RECLAIM_VALID,BULL,macro_broken=False;distribution=False;cascade=1.0;legpos90=64.3;dist_d1_supply=0.22;wk_rsi=58.79922654204375;bear_div=0.0;rise20=1.12
T40,NO_OVERHEAD_MARKUP,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,STRONG_BULL_MOMENTUM,CLEAN_SKY_BULLISH,True,macro_broken,False,,NO_OVERHEAD_MARKUP,BULL,macro_broken=True;distribution=False;cascade=3.0;legpos90=79.4;dist_d1_supply=1.88;wk_rsi=72.63828127930793;bear_div=0.0;rise20=2.51
T42,BULL_PULLBACK_CONTINUATION,MACRO_BROKEN_DISTRIBUTION,PARTIAL_BULL,HEALTHY_HIGH_LEGPOS,SUPPLY_FAR_NEUTRAL,True,macro_broken,False,,BULL_PULLBACK_CONTINUATION,BULL,macro_broken=True;distribution=False;cascade=-1.0;legpos90=95.0;dist_d1_supply=2.19;wk_rsi=59.78140653642187;bear_div=0.0;rise20=2.34
