plot_id,set,v1_state,v1_family,v2_state,v2_family,changed
S1,A,BULL_PULLBACK_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S3,A,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,
S4,A,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,
S5,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S6,A,RANGE_MACRO_BULL_RECLAIM,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S7,A,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,
S8,A,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,
S12,A,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
S13,A,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,
S15,A,BEAR_BOUNCE_RISK,RISK,CORRECTIVE_BEAR_LEG,RISK,
S16,A,RANGE_MACRO_BULL_RECLAIM,BULL,CORRECTIVE_BEAR_LEG,RISK,YES
S17,A,BULL_PULLBACK_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S20,A,RANGE_MACRO_BULL_RECLAIM,BULL,CORRECTIVE_BEAR_LEG,RISK,YES
S24,A,RANGE_MACRO_BULL_RECLAIM,BULL,RANGE_MACRO_BULL_RECLAIM,BULL,
S25,A,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
S26,A,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,
S27,A,CORRECTIVE_BEAR_LEG,RISK,CORRECTIVE_BEAR_LEG,RISK,
S29,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S30,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S31,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S32,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S34,A,NO_OVERHEAD_MARKUP,BULL,LATE_TOP_EXHAUSTION,RISK,YES
S35,A,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
S36,A,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
S37,A,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
S38,A,MACRO_BULL_RUN_CONTINUATION,BULL,LATE_TOP_EXHAUSTION,RISK,YES
T2,B,MACRO_BULL_RUN_CONTINUATION,BULL,MACRO_BULL_RUN_CONTINUATION,BULL,
