gt_id,label,timestamp,entry_price,atr4h,has_4h_demand_below,nearest_4h_demand_low,nearest_4h_demand_high,distance_to_4h_demand_atr,inside_4h_demand,n_4h_demand_below,has_4h_supply_overhead,nearest_4h_supply_low,nearest_4h_supply_high,distance_to_4h_supply_atr,n_4h_supply_broken_below,supply_4h_broken_or_rejected,has_d1_demand_below,distance_to_d1_demand_atr,prev_at_D1_demand_flag,feature_availability,visual_reconciliation_status,mismatch_reason
GT01,BOM,2020-04-08 10:00,1652.3,15.22,1,1605.84,1620.75,2.07,0,4,1,1659.23,1673.99,0.46,0,overhead,1,4.03,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT02,BOM,2020-07-28 06:00,1929.72,19.19,1,1790.43,1800.72,6.72,0,13,0,,,,0,none,1,4.3,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT03,BOM,2020-06-21 22:00,1758.24,7.6,1,1717.51,1724.59,4.43,0,8,0,,,,1,broken_recent,1,1.2,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT08,BOM,2020-11-03 15:00,1906.16,9.01,0,,,,0,0,0,,,,0,none,1,4.16,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=NO,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT09,BOM,2020-12-02 03:00,1812.9,11.47,1,1764.31,1775.55,3.26,0,5,1,1871.34,1879.75,5.09,0,overhead,1,0.99,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT10,BOM,2020-12-16 03:00,1857.23,8.9,1,1819.06,1830.25,3.03,0,5,1,1886.17,1893.43,3.25,0,overhead,1,2.46,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT13A,BOM,2021-04-12 14:00,1731.73,7.45,1,1721.57,1728.47,0.44,1,3,1,1753.64,1758.67,2.94,0,overhead,1,1.21,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT13B,BOM,2021-04-29 14:00,1768.13,9.42,1,1732.61,1740.46,2.94,0,5,1,1786.27,1795.91,1.93,0,overhead,1,0.88,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT15,BOM,2021-12-20 15:00,1793.22,6.81,1,1752.95,1761.33,4.68,0,4,1,1805.82,1814.25,1.85,0,overhead,1,2.6,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT17A,BOM,2022-01-11 03:00,1808.22,6.76,1,1790.37,1798.19,1.48,0,5,1,1825.66,1831.65,2.58,0,overhead,1,1.66,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT18,BOM,2022-02-24 15:00,1920.14,16.19,1,1889.69,1897.53,1.4,0,8,0,,,,0,none,1,4.26,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT21,BOM,2022-11-07 11:00,1679.8,10.86,1,1616.64,1625.06,5.04,0,2,1,1720.37,1729.45,3.74,0,overhead,1,1.39,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT23,BOM,2022-12-12 19:00,1781.27,7.96,1,1765.8,1768.95,1.55,0,9,1,1796.82,1806.1,1.95,0,overhead,1,1.0,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT24,BOM,2023-01-03 11:00,1844.95,9.69,1,1813.3,1822.32,2.34,0,13,1,1847.42,1857.53,0.25,0,overhead,1,1.91,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT25,BOM,2023-01-04 03:00,1847.84,9.89,1,1813.3,1822.32,2.58,0,13,0,,,,0,none,1,2.12,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT27,BOM,2023-11-08 23:00,1950.0,6.21,1,1912.37,1916.95,5.32,0,6,1,1967.3,1970.99,2.79,0,overhead,1,5.31,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT20,BOM,2022-09-30 06:00,1667.56,11.5,1,1641.51,1650.92,1.45,0,3,1,1679.41,1688.07,1.03,0,overhead,1,2.86,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT04A,NAO,2020-05-21 10:00,1734.0,8.68,1,1670.3,1678.12,6.44,1,6,1,1745.99,1753.83,1.38,0,overhead,1,6.02,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT06A,NAO,2020-09-20 22:00,1951.1,10.77,1,1932.84,1946.23,0.45,0,15,1,1961.65,1973.46,0.98,0,overhead,1,0.64,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT06B,NAO,2020-10-01 14:00,1906.32,11.12,1,1848.63,1861.64,4.02,0,13,1,1946.64,1960.04,3.63,0,overhead,1,3.16,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT12,NAO,2021-03-11 15:00,1724.45,9.35,1,1708.21,1719.78,0.5,0,2,1,1730,1740.51,0.59,0,overhead,1,0.97,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT14_NAO,NAO,2021-07-07 18:00,1803.64,7.87,1,1790.07,1799.33,0.55,0,8,1,1806.22,1815.02,0.33,0,overhead,1,1.15,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
GT19A,NAO,2022-04-14 14:00,1972.03,10.72,1,1927.68,1933.19,3.62,0,9,1,1974.45,1981.57,0.23,0,overhead,1,1.51,0 (artifact: tol 0.5 ATR_D1 too tight),4H_OB=yes,NEEDS_USER_VISUAL_CONFIRM,4H demand-below not measured before; D1 tol too tight
