b,dt,conv,regime,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,snap,sweep,snap_sweep,dist_dem,dem_origin,near_dem,low_rng,macro_floor,floor_sweep
55,2020-01-14,3,TRANSITION,0,0,0,5.01,0.97,1,0,1,0,0,4.43,0,0,0,0,0
78,2020-01-20,3,BULL,0,0,0,0.97,-1.1,0,0,1,0,0,2.77,1,0,0,1,0
116,2020-01-28,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,1.68,1,0,0,1,0
130,2020-01-30,2,BULL,0,0,0,10.46,0.79,1,1,0,0,0,1.37,1,0,0,1,0
140,2020-02-03,3,BULL,0,0,0,0.41,-1.1,0,0,0,1,0,0.7,0,1,0,1,1
149,2020-02-05,3,TRANSITION,0,0,0,0.0,2.7,1,0,1,0,0,1.77,1,0,0,1,0
159,2020-02-06,2,BULL,0,0,0,12.69,2.83,1,1,1,0,0,2.19,1,0,0,1,0
217,2020-02-20,3,BULL,0,0,0,6.52,0.75,1,0,1,0,0,5.56,0,0,0,0,0
237,2020-02-25,4,TRANSITION,0,0,0,1.2,-1.1,0,0,1,1,1,0.39,0,1,0,1,1
287,2020-03-09,2,TRANSITION,0,0,0,0.81,-1.1,0,0,0,0,0,1.14,1,0,0,1,0
351,2020-03-23,2,TRANSITION,0,0,0,5.13,0.82,1,0,1,0,0,4.12,0,0,0,0,0
383,2020-03-31,2,TRANSITION,0,0,0,0.0,0.61,1,0,0,0,0,9.45,0,0,0,0,0
391,2020-04-01,2,TRANSITION,0,0,0,10.4,3.9,1,1,1,0,0,0.93,1,1,0,1,0
413,2020-04-07,2,BULL,0,0,0,4.88,1.46,1,0,0,0,0,3.29,1,0,0,1,0
458,2020-04-17,3,BULL,0,0,0,0.0,0.32,1,0,0,1,0,5.07,0,0,0,0,0
493,2020-04-27,3,TRANSITION,0,0,0,0.94,0.9,1,0,0,1,0,5.02,0,0,0,0,0
521,2020-05-04,3,BULL,0,0,0,0.32,1.37,1,0,1,0,0,2.86,0,0,0,0,0
542,2020-05-07,3,BULL,0,0,0,0.47,0.22,1,0,1,0,0,3.19,0,0,0,0,0
583,2020-05-18,2,BULL,0,0,0,1.44,0.02,1,0,0,0,0,4.95,0,0,0,0,0
597,2020-05-20,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,2.24,0,0,0,0,0
631,2020-05-28,1,BULL,1,0,0,1.98,-1.1,0,0,0,0,0,2.58,1,0,0,1,0
685,2020-06-10,3,BULL,0,0,0,0.09,0.38,1,0,1,0,0,4.43,0,0,0,0,0
702,2020-06-15,4,TRANSITION,0,0,0,5.67,2.43,1,0,1,1,1,1.28,1,0,0,1,1
766,2020-06-30,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,2.94,1,0,0,1,0
780,2020-07-02,4,BULL,0,0,0,14.6,1.43,1,1,1,1,1,1.91,0,0,0,0,0
833,2020-07-15,3,BULL,0,0,0,0.21,3.9,1,0,1,0,0,2.76,1,0,0,1,0
845,2020-07-17,3,BULL,0,0,0,30.71,3.9,1,1,1,0,0,2.8,0,0,0,0,0
866,2020-07-23,2,BULL,0,0,0,12.59,2.09,1,1,0,0,0,7.25,0,0,0,0,0
886,2020-07-28,3,BULL,0,0,0,4.68,-0.04,0,0,1,0,0,7.23,0,0,0,0,0
901,2020-07-30,4,TRANSITION,0,0,0,5.01,0.9,1,0,1,1,1,1.62,1,0,0,1,1
919,2020-08-04,2,BULL,0,0,0,3.31,-1.1,0,0,0,0,0,4.73,0,0,0,0,0
934,2020-08-07,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,4.79,0,0,0,0,0
970,2020-08-17,2,BULL,0,0,0,1.73,-0.13,0,0,1,0,0,6.71,0,0,0,0,0
1027,2020-08-30,2,BULL,0,0,0,0.84,-1.1,0,0,1,0,0,3.81,0,0,0,0,0
1072,2020-09-09,2,BULL,0,0,0,1.42,-1.1,0,0,1,0,0,3.06,0,0,0,0,0
1151,2020-09-28,2,TRANSITION,0,0,0,2.73,1.1,1,0,1,0,0,,0,0,0,0,0
1200,2020-10-08,3,TRANSITION,0,0,1,1.7,-0.16,0,0,1,0,0,3.22,0,0,0,0,0
1211,2020-10-12,2,TRANSITION,0,0,0,0.0,-0.59,0,0,0,0,0,4.38,0,0,0,0,0
1221,2020-10-14,3,TRANSITION,0,0,0,0.03,-1.1,0,0,1,0,0,2.78,1,0,0,1,0
1298,2020-11-02,2,TRANSITION,0,0,0,5.1,0.9,1,0,1,0,0,2.82,1,0,0,1,0
1316,2020-11-05,3,BULL,0,0,1,2.47,-1.1,0,0,1,0,0,2.83,0,0,0,0,0
1326,2020-11-08,3,BULL,0,0,0,0.49,-1.1,0,0,1,0,0,6.73,0,0,0,0,0
1353,2020-11-13,3,TRANSITION,0,0,0,0.56,-1.1,0,0,1,0,0,3.76,0,0,0,0,0
1429,2020-12-02,2,TRANSITION,0,0,0,5.99,0.55,1,0,0,0,0,4.66,0,0,0,0,0
1497,2020-12-17,3,TRANSITION,0,0,1,1.33,1.2,1,0,1,0,0,3.79,0,0,0,0,0
1522,2020-12-23,3,TRANSITION,0,0,0,5.65,0.9,1,0,1,0,0,1.86,1,0,0,1,0
1568,2021-01-06,2,TRANSITION,0,0,0,0.46,-1.1,0,0,0,0,0,3.08,1,0,0,1,0
1623,2021-01-20,2,TRANSITION,0,0,0,0.31,-1.1,0,0,1,0,0,1.98,1,0,0,1,0
1661,2021-01-28,2,BEAR,0,1,0,0.0,-1.1,0,0,1,0,0,2.25,1,0,0,1,0
1761,2021-02-22,2,TRANSITION,0,0,0,1.21,-1.1,0,0,1,0,0,3.27,0,0,0,0,0
1775,2021-02-24,1,BEAR,1,1,1,0.53,-1.1,0,0,0,1,0,3.37,0,0,0,0,0
1836,2021-03-10,3,TRANSITION,0,0,1,0.95,0.05,1,0,1,0,0,5.36,0,0,0,0,0
1873,2021-03-18,1,BEAR,1,1,0,1.2,-1.1,0,0,0,0,0,3.05,1,0,0,1,0
1901,2021-03-25,2,BEAR,0,1,0,1.36,-1.1,0,0,0,1,0,3.33,0,0,0,0,0
1941,2021-04-06,2,TRANSITION,0,0,0,6.04,0.9,1,0,0,0,0,1.39,1,0,0,1,0
2034,2021-04-27,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,5.96,0,0,0,0,0
2053,2021-05-02,2,TRANSITION,0,0,0,16.88,3.32,1,1,1,0,0,1.73,1,0,0,1,0
2100,2021-05-12,2,BULL,0,0,0,2.39,1.78,1,0,0,0,0,4.69,0,0,0,0,0
2110,2021-05-14,3,BULL,0,0,0,5.07,1.86,1,0,1,0,0,2.93,1,0,0,1,0
2174,2021-05-31,2,BULL,0,0,0,0.81,-1.1,0,0,0,0,0,3.05,0,0,0,0,0
2188,2021-06-02,3,BULL,0,0,0,0.25,-1.1,0,0,1,0,0,1.96,1,0,0,1,0
2204,2021-06-07,2,BULL,0,0,0,1.21,-1.1,0,0,1,0,0,2.67,1,0,0,1,0
2222,2021-06-10,3,BULL,0,0,0,0.0,-1.1,0,0,0,1,0,3.35,1,0,0,1,1
2320,2021-07-02,3,TRANSITION,0,0,0,3.56,1.47,1,0,1,0,0,2.28,1,0,0,1,0
2364,2021-07-14,3,TRANSITION,0,0,0,1.75,-1.1,0,0,1,0,0,1.78,1,0,0,1,0
2372,2021-07-15,2,TRANSITION,0,0,0,1.0,-1.1,0,0,0,0,0,4.38,0,0,0,0,0
2428,2021-07-28,3,TRANSITION,0,0,0,2.35,-1.1,0,0,1,1,1,5.29,0,0,0,0,0
2488,2021-08-11,2,TRANSITION,0,0,0,6.2,1.02,1,0,1,0,0,3.81,0,0,0,0,0
2497,2021-08-13,2,TRANSITION,0,0,0,7.42,1.99,1,0,1,0,0,2.49,1,0,0,1,0
2544,2021-08-25,3,TRANSITION,0,0,0,0.6,0.9,1,0,1,0,0,2.79,1,0,0,1,0
2663,2021-09-22,2,TRANSITION,0,0,0,0.24,-1.1,0,0,1,0,0,2.89,1,0,0,1,0
2705,2021-10-01,1,TRANSITION,1,0,1,4.66,1.19,1,0,0,0,0,3.46,0,0,0,0,0
2737,2021-10-08,2,BEAR,0,1,1,0.0,-1.1,0,0,1,0,0,2.48,1,0,0,1,0
2747,2021-10-12,3,TRANSITION,0,0,0,5.38,0.9,1,0,1,0,0,1.42,1,0,0,1,0
2859,2021-11-05,3,BULL,0,0,0,4.16,0.36,1,0,1,0,0,6.22,0,0,0,0,0
2896,2021-11-15,2,BULL,0,0,0,0.81,-1.1,0,0,0,0,0,1.4,1,0,0,1,0
2905,2021-11-17,3,BULL,0,0,0,0.38,-1.1,0,0,1,0,0,2.43,1,0,0,1,0
2922,2021-11-22,3,TRANSITION,0,0,0,0.0,-1.1,0,0,0,1,0,1.87,1,0,0,1,1
2944,2021-11-26,2,BULL,0,0,0,1.46,-1.1,0,0,1,0,0,3.45,0,0,0,0,0
2991,2021-12-08,1,BEAR,1,1,0,0.45,-1.1,0,0,1,0,0,2.53,1,0,0,1,0
3011,2021-12-13,2,TRANSITION,0,0,0,0.12,-1.1,0,0,1,0,0,2.72,0,0,0,0,0
3029,2021-12-16,2,TRANSITION,0,0,0,2.88,0.59,1,0,1,0,0,4.63,0,0,0,0,0
3070,2021-12-28,2,BULL,0,0,0,0.29,-1.1,0,0,1,0,0,2.68,1,0,0,1,0
3085,2021-12-30,3,BULL,0,0,0,1.75,-1.1,0,0,1,0,0,3.84,0,0,0,0,0
3102,2022-01-04,3,TRANSITION,0,0,0,1.23,-1.1,0,0,1,0,0,2.13,1,0,0,1,0
3118,2022-01-07,2,BEAR,0,1,0,0.0,0.99,1,0,1,0,0,4.58,0,0,0,0,0
3126,2022-01-10,3,TRANSITION,0,0,0,5.05,2.02,1,0,1,0,0,2.27,1,0,0,1,0
3147,2022-01-14,3,BULL,0,0,0,0.27,-1.1,0,0,1,0,0,2.19,1,0,0,1,0
3162,2022-01-18,3,TRANSITION,0,0,0,4.84,-1.1,0,0,0,1,0,3.76,0,0,0,0,0
3178,2022-01-21,2,BULL,0,0,0,3.16,-1.1,0,0,0,0,0,3.15,0,0,0,0,0
3190,2022-01-25,2,TRANSITION,0,0,0,1.81,-1.1,0,0,0,0,0,1.04,0,0,0,0,0
3219,2022-02-01,3,TRANSITION,0,0,0,0.92,2.66,1,0,1,0,0,3.15,0,0,0,0,0
3238,2022-02-04,2,BULL,0,0,0,0.0,2.41,1,0,1,0,0,3.81,0,0,0,0,0
3252,2022-02-08,3,BULL,0,0,0,23.67,1.84,1,1,1,0,0,5.27,0,0,0,0,0
3326,2022-02-24,4,BULL,0,0,0,0.29,-1.1,0,0,1,1,1,1.28,1,0,0,1,1
3443,2022-03-24,2,BULL,0,0,0,0.82,-1.1,0,0,1,0,0,4.17,0,0,0,0,0
3474,2022-03-31,3,BULL,0,0,0,0.02,0.38,1,0,1,0,0,4.98,0,0,0,0,0
3491,2022-04-05,3,BULL,0,0,0,0.0,0.9,1,0,1,0,0,2.76,0,0,0,0,0
3509,2022-04-08,3,BULL,0,0,0,4.61,0.9,1,0,1,0,0,2.71,1,0,0,1,0
3622,2022-05-06,1,BEAR,1,1,0,0.51,-1.1,0,0,1,0,0,1.68,1,0,0,1,0
3678,2022-05-19,2,TRANSITION,0,0,1,2.19,0.66,1,0,1,0,0,5.51,0,0,0,0,0
