type,bar_idx,datetime,mfe_R,policy,leg,context,signature
WINNER_SKIPPED,217,2020-02-20,6.52,REVIEW_RISK,MACRO_BULL_LEG,PULLBACK,bull_markup
WINNER_SKIPPED,351,2020-03-23,5.13,REVIEW,MACRO_TRANSITION,NEUTRAL,risk_or_range
WINNER_SKIPPED,391,2020-04-01,10.4,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,866,2020-07-23,12.59,REVIEW_RISK,MACRO_BULL_LEG,PULLBACK,bull_markup
WINNER_SKIPPED,1298,2020-11-02,5.1,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,1429,2020-12-02,5.99,SKIP,MACRO_BEAR_LEG,TOP,bear_ctx_cut
WINNER_SKIPPED,1522,2020-12-23,5.65,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,1941,2021-04-06,6.04,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,2053,2021-05-02,16.88,SKIP,MACRO_BULL_LEG,TOP,risk_or_range
WINNER_SKIPPED,2488,2021-08-11,6.2,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,2497,2021-08-13,7.42,SKIP,MACRO_BEAR_LEG,TOP,bear_ctx_cut
WINNER_SKIPPED,2747,2021-10-12,5.38,SKIP,MACRO_RANGE,TOP,risk_or_range
WINNER_SKIPPED,3126,2022-01-10,5.05,SKIP,MACRO_BULL_LEG,TOP,risk_or_range
WINNER_SKIPPED,3252,2022-02-08,23.67,REVIEW_RISK,MACRO_TRANSITION,PULLBACK,bull_markup
WINNER_SKIPPED,3949,2022-07-21,6.62,SKIP,MACRO_BEAR_LEG,TOP,bear_ctx_cut
WINNER_SKIPPED,4401,2022-11-04,10.31,SKIP,MACRO_RANGE,TOP,bottom_turn
WINNER_SKIPPED,4918,2023-03-08,19.79,SKIP,MACRO_BEAR_LEG,BOTTOM,bottom_turn
