plot_id,role,macro_state,family,ok
T34,preserve,BULL_PULLBACK_CONTINUATION,BULL,True
S20,preserve,RANGE_MACRO_BULL_RECLAIM,BULL,True
S24,preserve,RANGE_MACRO_BULL_RECLAIM,BULL,True
S25,preserve,MACRO_BULL_RUN_CONTINUATION,BULL,True
S26,preserve,CORRECTIVE_BEAR_LEG,RISK,False
S27,preserve,CORRECTIVE_BEAR_LEG,RISK,False
S29,preserve,NO_OVERHEAD_MARKUP,BULL,True
S30,preserve,NO_OVERHEAD_MARKUP,BULL,True
S31,preserve,NO_OVERHEAD_MARKUP,BULL,True
S32,preserve,NO_OVERHEAD_MARKUP,BULL,True
S35,preserve,MACRO_BULL_RUN_CONTINUATION,BULL,True
S36,preserve,MACRO_BULL_RUN_CONTINUATION,BULL,True
S37,preserve,MACRO_BULL_RUN_CONTINUATION,BULL,True
S38,preserve,MACRO_BULL_RUN_CONTINUATION,BULL,True
T40,block,NO_OVERHEAD_MARKUP,BULL,False
