feature,family,source,timeframe,causal_at_entry,availability,lookahead_risk,type,status,macro_use
macro_leg_direction,macro_regime,84packet,4H,yes,NULL/REFERENCE_ONLY,low,categorical,MORTA,ver roster
macro_leg_phase,macro_regime,84packet,4H,yes,NULL/REFERENCE_ONLY,low,categorical,MORTA,ver roster
trend_30_atr,macro_regime,84packet,4H,yes,HIGH,low,derived,MODERADA,ver roster
trend_90_atr,bull_beta,84packet,4H,yes,NULL/REFERENCE_ONLY,low,derived,PARCIAL_NULL,ver roster
slope20_atr,macro_regime,84packet,4H,yes,HIGH,low,derived,FRACA,ver roster
dist_sma20_atr,macro_regime,84packet,4H,yes,HIGH,low,derived,NAO_TESTADA,ver roster
dist_sma50_atr,macro_regime,84packet,4H,yes,HIGH,low,derived,FRACA,ver roster
price_vs_sma50,macro_regime,84packet,4H,yes,HIGH,low,categorical,NAO_TESTADA,ver roster
rsi_1d,htf_daily,84packet,1D,yes,NULL/REFERENCE_ONLY,low,derived,MODERADA,ver roster
rsi_1d_ma,htf_daily,84packet,1D,yes,NULL/REFERENCE_ONLY,low,derived,NAO_TESTADA,ver roster
rsi_1d_sub_ma,htf_daily,84packet,1D,yes,HIGH,low,derived,NAO_TESTADA,ver roster
drop20_atr,capitulation,84packet,4H,yes,HIGH,low,derived,FRACA(confluencia-capit),ver roster
rise20_atr,exhaustion_top,84packet,4H,yes,HIGH,low,derived,FRACA,ver roster
rsi,rsi_momentum,84packet,4H,yes,HIGH,low,raw,FRACA-MODERADA,ver roster
rsi_min8,capitulation,84packet,4H,yes,HIGH,low,raw,FRACA(confluencia-capit+rsi),ver roster
rsi_max8,exhaustion_top,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
rsi_vs_ma,rsi_momentum,84packet,4H,yes,HIGH,low,categorical,FRACA,ver roster
rsi_drop_6b,capitulation,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
consec_down,capitulation,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
consec_up,entry_reclaim,84packet,4H,yes,HIGH,low,raw,NAO_TESTADA,ver roster
range_exp,capitulation,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
atr_level,volatility,84packet,4H,yes,HIGH,low,raw,NAO_TESTADA,ver roster
atr_pctile_proxy,volatility,84packet,4H,yes,NULL/REFERENCE_ONLY,low,raw,PARCIAL_NULL,ver roster
sweet_spot_falling_knife,capitulation,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
legpos30,bull_beta,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
legpos60,bull_beta,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
legpos90,bull_beta,84packet,4H,yes,HIGH,low,raw,FRACA(util-so-condicional-a-momentum),ver roster
rsi_bear_div_20b,exhaustion_top,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
rsi_bull_div_20b,rsi_momentum,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
nas_long_new_8b,nas,84packet,4H,yes,HIGH,low,raw,FORTE(nas-decisive-2B),ver roster
nas_short_new_8b,nas,84packet,4H,yes,HIGH,low,raw,MODERADA,ver roster
nas_dist_ema_atr,nas,84packet,4H,yes,NULL/REFERENCE_ONLY,low,derived,MODERADA,ver roster
nas_rsi,nas,84packet,4H,yes,HIGH,low,raw,FRACA,ver roster
nas_1d_long_recent,nas,84packet,4H,yes,HIGH,low,raw,NAO_TESTADA,ver roster
