opaque,plot_id,role,set,agentA,confA,agentB,confB,agentC,confC,consensus,agreement,bad_votes,reads_as,d1_leg,sup_cat,pol_cat,dist_supply_atr,reclaim_body
X01,S3,GOOD_winner,A,MICRO_TOP_TRAP,0.62,MICRO_TOP_TRAP,0.72,MICRO_TOP_TRAP,0.72,MICRO_TOP_TRAP,3/3,3,BAD,MACRO_CORRECTIVE_PULLBACK,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,0.8,1.26
X05,S12,GOOD_contrast,A,BREAKOUT_ACCEPTANCE,0.74,BREAKOUT_ACCEPTANCE,0.85,BREAKOUT_ACCEPTANCE,0.83,BREAKOUT_ACCEPTANCE,3/3,0,GOOD,MACRO_TRANSITION,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,2.75,0.88
X09,S15,GOOD_carveout_winner,A,MICRO_TOP_TRAP,0.7,MICRO_TOP_TRAP,0.8,MICRO_TOP_TRAP,0.8,MICRO_TOP_TRAP,3/3,3,BAD,MACRO_RANGE,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,0.27,1.3
X10,S20,anchor_preserve,A,MICRO_TOP_TRAP,0.78,FAILED_BREAKOUT,0.78,MICRO_TOP_TRAP,0.82,MICRO_TOP_TRAP,2/3,3,BAD,MACRO_TRANSITION,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0.18,0.25
X12,S24,anchor_preserve,A,MICRO_TOP_TRAP,0.64,MICRO_TOP_TRAP,0.62,MICRO_TOP_TRAP,0.66,MICRO_TOP_TRAP,3/3,3,BAD,MACRO_RANGE,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,0.97,1.3
X13,S25,anchor_preserve,A,FAILED_BREAKOUT,0.72,FAILED_BREAKOUT,0.74,FAILED_BREAKOUT,0.78,FAILED_BREAKOUT,3/3,3,BAD,MACRO_RANGE,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1.59,-0.89
X14,S27,GOOD_winner,A,LIQUIDITY_SWEEP_REVERSAL,0.55,MICRO_BOTTOM_RECLAIM,0.5,FAILED_BREAKOUT,0.7,LIQUIDITY_SWEEP_REVERSAL,1/3,1,SPLIT,MACRO_CORRECTIVE_PULLBACK,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1.58,-0.99
X15,S29,anchor_preserve,A,BREAKOUT_ACCEPTANCE,0.6,BREAKOUT_ACCEPTANCE,0.7,BREAKOUT_ACCEPTANCE,0.55,BREAKOUT_ACCEPTANCE,3/3,0,GOOD,MACRO_RANGE,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,,-0.27
X16,S31,anchor_preserve,A,BREAKOUT_ACCEPTANCE,0.55,BREAKOUT_ACCEPTANCE,0.66,BREAKOUT_ACCEPTANCE,0.57,BREAKOUT_ACCEPTANCE,3/3,0,GOOD,MACRO_BULL_LEG,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,,-0.57
X18,S35,anchor_preserve,A,RANGE_CHOP,0.5,RANGE_CHOP,0.6,FAILED_BREAKOUT,0.6,RANGE_CHOP,2/3,1,SPLIT,MACRO_RANGE,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1.37,-0.03
