plot_id,set,datetime,bar_idx,d1_leg,gate_v3,blocked_v3,dist_4h_demand_atr,dist_4h_supply_atr,net_micro_location,has_overhead,demand_touched,demand_origin_leg,supply_rejected_before,supply_broken_before,legpos30,legpos90,va_state,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,drop20_atr,rise20_atr,micro_bottom_reclaim,micro_top_chase,smc_bos,smc_choch_bars_ago,rsi,rsi_1d,rsi_min8,rsi_max8,bear_div,bub_buy_sell_ratio,bub_large_buy_10b,bub_large_sell_10b,sup_cat,pol_cat,demand_cat,micro_range_position,swept_prior_high,bars_since_swing
S1,A,2020-04-07 06:00,413,MACRO_RANGE,ALLOW,NO,3.29,0.85,-2.44,1.0,1.0,1.0,1.0,0.0,77.7,89.2,BELOW_VAL,True,-0.58,-0.25,1.04,-0.9,2.19,0.85,0.9,4.78,False,True,,,77.4,62.0,60.25,77.4,0.0,9.0,7.0,0.0,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S3,A,2020-06-15 14:00,702,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,1.28,0.8,-0.48,1.0,1.0,1.0,1.0,0.0,60.1,69.3,INSIDE_VA,False,0.76,1.27,1.35,1.26,0.23,0.8,1.69,1.26,True,False,,3,40.59,55.2,40.59,63.57,0.0,1.0,0.0,1.0,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S4,A,2020-07-02 14:00,780,MACRO_BULL_LEG,ALLOW,NO,1.91,0.66,-1.25,1.0,1.0,0.0,1.0,0.0,70.9,85.7,NEAR_POC,False,0.47,1.21,1.09,0.36,0.75,0.66,1.08,1.16,False,False,,,53.39,60.9,45.97,70.81,0.0,4.0,2.0,0.0,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S5,A,2020-07-23 02:00,866,MACRO_BULL_LEG,ALLOW,NO,7.25,,,0.0,0.0,0.0,0.0,0.0,91.3,94.1,NEAR_VAL,False,-0.04,0.48,0.64,0.27,6.31,,0.19,5.7,False,False,,14,77.26,77.6,75.45,85.97,0.0,9.0,9.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S6,A,2020-07-30 22:00,901,MACRO_BULL_LEG,ALLOW,NO,1.62,0.36,-1.26,1.0,1.0,1.0,1.0,0.0,84.0,91.6,ABOVE_VAH,False,0.67,0.67,0.0,0.67,0.9,0.36,0.44,2.42,False,False,,,61.01,82.2,60.19,70.12,0.0,9.0,9.0,0.0,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S7,A,2020-11-02 07:00,1298,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,2.82,1.09,-1.73,1.0,1.0,1.0,0.0,0.0,55.3,39.6,ABOVE_VAH,False,0.66,0.84,0.79,0.43,1.68,1.09,1.98,2.05,True,True,,,48.73,43.4,33.67,48.73,0.0,0.0,0.0,1.0,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S8,A,2021-04-06 06:00,1941,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,1.39,2.05,0.66,1.0,1.0,1.0,0.0,0.0,89.2,69.8,NEAR_VAL,False,-0.15,0.14,0.89,-0.74,0.48,2.05,0.74,6.63,False,False,,0,67.33,50.4,57.27,67.33,0.0,1.0,0.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S9,C,2021-05-12 18:00,2100,MACRO_BULL_LEG,ALLOW,NO,4.69,1.78,-2.91,1.0,0.0,0.0,1.0,0.0,52.7,66.4,BELOW_VAL,True,-1.49,-0.9,1.18,-0.71,3.72,1.78,2.59,0.0,False,False,,0,47.95,66.2,47.95,64.15,1.0,4.0,2.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S10,C,2021-05-14 10:00,2110,MACRO_BULL_LEG,ALLOW,NO,2.93,2.09,-0.84,1.0,1.0,1.0,0.0,0.0,81.7,92.5,ABOVE_VAH,False,1.2,1.86,1.5,0.51,2.02,2.09,0.0,2.67,False,True,,10,58.09,62.9,40.98,58.09,0.0,2.0,1.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S12,A,2022-02-08 15:00,3252,MACRO_TRANSITION,ALLOW,NO,5.27,2.75,-2.52,1.0,0.0,0.0,0.0,1.0,99.4,65.1,ABOVE_VAH,False,0.86,1.39,0.89,0.88,4.17,2.75,0.0,5.38,False,True,,12,63.73,55.3,58.89,65.25,0.0,9.0,6.0,0.0,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S13,A,2022-07-21 18:00,3949,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,,1.93,,1.0,0.0,0.0,0.0,1.0,86.8,28.0,ABOVE_VAH,False,2.83,4.13,2.76,0.48,,1.93,0.09,3.73,False,False,,6,54.01,22.0,27.92,54.01,0.0,0.0,0.0,2.0,SUPPLY_BLOCKS_TARGET,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S14,C,2022-11-01 06:00,4384,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,4.09,1.11,-2.98,1.0,0.0,0.0,1.0,0.0,44.5,49.9,ABOVE_VAH,False,1.02,1.49,1.45,1.06,2.92,1.11,2.27,2.08,False,True,,4,44.4,41.0,33.76,44.4,0.0,0.0,0.0,9.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S15,A,2022-11-04 02:00,4401,MACRO_RANGE,PRESERVE_BOTTOM_TURN,NO,2.99,0.27,-2.72,1.0,1.0,0.0,1.0,0.0,57.6,52.2,ABOVE_VAH,False,1.31,1.59,0.29,1.3,2.17,0.27,0.74,2.73,False,True,,,44.1,41.2,29.39,44.1,1.0,0.0,0.0,1.0,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S16,A,2022-11-23 19:00,4483,MACRO_TRANSITION,ALLOW,NO,5.67,1.36,-4.31,1.0,0.0,0.0,0.0,0.0,46.0,78.2,ABOVE_VAH,False,0.68,1.47,1.06,0.68,5.04,1.36,0.5,1.47,False,False,,,46.77,59.3,38.03,46.77,0.0,0.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S17,A,2023-01-03 19:00,4644,MACRO_BULL_LEG,ALLOW,NO,2.67,0.81,-1.86,1.0,1.0,1.0,1.0,0.0,80.8,86.2,NEAR_POC,False,0.11,0.61,1.12,0.06,1.75,0.81,0.56,3.66,False,True,,4,64.82,66.3,60.29,75.38,0.0,10.0,10.0,0.0,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S18,C,2023-01-11 07:00,4677,MACRO_BULL_LEG,ALLOW,NO,2.22,,,0.0,1.0,1.0,0.0,0.0,97.0,98.2,NEAR_POC,False,0.5,0.86,1.13,0.53,1.16,,0.0,6.27,False,False,,,66.03,68.2,62.25,66.47,0.0,9.0,2.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S19,C,2023-08-22 14:00,5627,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,12.22,0.85,-11.37,1.0,0.0,0.0,1.0,0.0,48.1,18.4,NEAR_POC,False,0.16,0.83,1.06,1.02,11.59,0.85,0.71,1.69,False,True,,1,43.35,33.7,40.48,59.99,0.0,0.5,0.0,3.0,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S20,A,2023-10-11 10:00,5842,MACRO_TRANSITION,ALLOW,NO,2.84,0.18,-2.66,1.0,1.0,1.0,1.0,0.0,95.6,45.1,ABOVE_VAH,False,1.65,2.01,1.63,0.25,2.04,0.18,0.0,7.64,False,True,,15,71.07,43.4,63.7,71.07,0.0,1.0,0.0,0.0,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S21,C,2023-10-17 10:00,5866,MACRO_TRANSITION,ALLOW,NO,1.85,1.18,-0.67,1.0,1.0,1.0,0.0,0.0,95.2,96.9,ABOVE_VAH,False,0.66,1.3,0.98,0.45,1.21,1.18,0.2,5.55,False,False,,,71.16,60.0,67.28,72.54,0.0,9.0,9.0,0.0,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S22,C,2023-11-29 03:00,6049,MACRO_RANGE,ALLOW,NO,3.94,,,0.0,1.0,0.0,0.0,0.0,88.7,93.9,NEAR_VAL,False,-0.27,0.16,0.87,-0.27,3.04,,0.28,6.21,False,False,,,83.3,74.8,67.06,83.3,0.0,9.0,4.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S23,C,2024-05-13 10:00,6741,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,2.71,1.51,-1.2,1.0,1.0,1.0,1.0,0.0,54.2,66.2,NEAR_VAL,False,-0.33,0.42,1.11,0.29,1.95,1.51,2.05,2.63,False,True,,10,51.63,58.7,51.63,74.5,0.0,6.0,6.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S24,A,2024-07-03 06:00,6962,MACRO_RANGE,ALLOW,NO,2.76,0.97,-1.79,1.0,1.0,1.0,0.0,0.0,97.7,70.2,ABOVE_VAH,False,1.32,1.68,0.46,1.3,1.53,0.97,0.0,2.61,False,True,,,55.74,50.3,49.79,59.12,0.0,4.0,1.0,0.0,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S25,A,2024-08-15 10:00,7149,MACRO_RANGE,ALLOW,NO,1.5,1.59,0.09,1.0,1.0,0.0,1.0,0.0,57.8,72.1,BELOW_VAL,True,-0.9,-0.55,0.44,-0.89,0.68,1.59,2.05,0.71,False,False,,5,54.9,58.0,47.27,65.94,1.0,1.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S26,A,2024-09-04 06:00,7232,MACRO_RANGE,ALLOW,NO,4.79,1.14,-3.65,1.0,0.0,0.0,1.0,0.0,17.4,49.7,BELOW_VAL,True,-1.14,-0.38,1.13,-1.12,3.51,1.14,4.12,0.16,False,False,,,44.44,55.2,34.28,46.42,0.0,0.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S27,A,2025-05-28 22:00,8357,MACRO_CORRECTIVE_PULLBACK,ALLOW,NO,2.55,1.58,-0.97,1.0,0.0,1.0,1.0,0.0,15.1,48.7,NEAR_VAL,False,-0.24,0.43,1.42,-0.99,1.75,1.58,4.28,0.0,False,False,,,35.44,52.3,35.44,54.88,0.0,0.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_ORIGIN_OF_LEG,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S28,C,2025-07-11 06:00,8544,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,2.12,2.22,0.1,1.0,1.0,1.0,0.0,0.0,89.8,62.7,NEAR_POC,False,0.4,0.91,0.66,0.38,1.3,2.22,0.0,3.65,False,False,,,58.41,50.2,47.46,58.41,0.0,3.0,1.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S29,A,2025-09-02 02:00,8765,MACRO_RANGE,ALLOW,NO,5.4,,,0.0,1.0,0.0,0.0,0.0,89.1,92.2,NEAR_VAL,False,0.06,0.2,0.7,-0.27,4.34,,0.27,6.5,False,False,,,81.34,73.8,73.44,82.05,0.0,9.0,11.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S30,A,2025-09-15 18:00,8823,MACRO_BULL_LEG,ALLOW,NO,4.29,,,0.0,1.0,0.0,0.0,0.0,90.8,98.0,ABOVE_VAH,False,2.37,3.1,1.93,-0.19,3.13,,0.19,3.72,False,False,,,69.17,77.5,55.23,69.17,0.0,5.0,2.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S31,A,2025-10-01 10:00,8893,MACRO_BULL_LEG,ALLOW,NO,2.86,,,0.0,1.0,0.0,0.0,0.0,87.4,92.1,NEAR_POC,False,0.23,0.64,0.75,-0.57,2.2,,0.57,4.69,False,False,,,67.8,84.0,53.57,76.2,0.0,9.0,11.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S32,A,2025-10-03 10:00,8905,MACRO_BULL_LEG,ALLOW,NO,2.63,,,0.0,1.0,1.0,0.0,0.0,90.7,94.7,ABOVE_VAH,False,1.08,1.49,0.82,0.76,1.84,,0.26,3.48,False,False,,,57.25,81.0,52.46,63.53,1.0,9.0,4.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S34,A,2025-10-13 06:00,8940,MACRO_BULL_LEG,ALLOW,NO,3.24,,,0.0,1.0,0.0,0.0,0.0,98.3,99.3,NEAR_POC,False,0.34,0.75,0.81,0.33,2.77,,0.0,3.1,False,False,,,66.32,81.9,49.64,66.32,0.0,8.0,5.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S35,A,2025-12-16 03:00,9215,MACRO_RANGE,ALLOW,NO,0.98,1.37,0.39,1.0,1.0,0.0,1.0,0.0,64.9,73.6,NEAR_POC,False,-0.08,0.54,0.77,-0.03,0.05,1.37,1.79,2.31,False,False,,,57.84,63.4,57.84,68.84,0.0,6.0,6.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S36,A,2026-01-06 23:00,9297,MACRO_BULL_LEG,ALLOW,NO,4.94,1.35,-3.59,1.0,0.0,0.0,0.0,0.0,88.6,73.0,NEAR_VAL,False,-0.13,0.25,0.82,-0.64,3.99,1.35,0.6,4.88,False,True,,,65.57,60.3,59.15,65.57,0.0,9.0,7.0,0.0,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_TOO_DEEP,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S37,A,2026-01-08 03:00,9304,MACRO_BULL_LEG,ALLOW,NO,3.76,1.09,-2.67,1.0,0.0,0.0,1.0,0.0,70.3,58.2,NEAR_VAL,False,-0.23,0.0,0.59,-0.24,2.79,1.09,1.87,3.06,False,True,,,51.33,57.9,51.33,65.57,0.0,2.0,3.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S38,A,2026-01-09 19:00,9314,MACRO_BULL_LEG,ALLOW,NO,3.53,0.34,-3.19,1.0,1.0,0.0,0.0,1.0,96.4,85.6,ABOVE_VAH,False,1.19,1.79,1.2,0.48,2.44,0.34,0.0,2.64,False,True,,,63.08,60.1,49.36,63.08,0.0,4.0,1.0,0.0,SUPPLY_NEAR_BUT_BROKEN,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
S39,C,2026-01-22 19:00,9368,MACRO_BULL_LEG,ALLOW,NO,3.35,,,0.0,1.0,0.0,0.0,0.0,98.9,99.3,ABOVE_VAH,False,2.06,2.77,1.17,0.37,2.75,,0.0,5.0,False,False,,,76.57,73.3,62.11,81.41,0.0,9.0,11.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T2,B,2020-01-30 23:00,130,MACRO_RANGE,ALLOW,NO,1.37,1.54,0.17,1.0,1.0,1.0,1.0,0.0,49.4,69.2,NEAR_VAL,False,-0.19,0.05,0.52,-0.22,0.67,1.54,1.83,1.09,False,False,,13,50.06,61.5,50.06,63.23,0.0,1.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T3,B,2020-02-25 23:00,237,MACRO_BULL_LEG,ALLOW,NO,0.39,2.33,1.94,1.0,1.0,0.0,1.0,0.0,45.4,65.4,NEAR_VAL,False,0.01,0.21,0.43,0.27,0.06,2.33,2.53,1.16,False,False,,,48.51,77.5,48.51,75.51,0.0,0.0,1.0,0.0,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T4,B,2020-03-09 06:00,287,MACRO_BULL_LEG,ALLOW,NO,1.14,,,0.0,1.0,1.0,0.0,0.0,68.0,72.8,NEAR_VAL,False,-0.79,0.09,1.31,0.1,0.74,,1.75,1.41,False,False,,,53.02,70.0,53.02,72.86,0.0,9.0,9.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T9,B,2020-11-13 11:00,1353,MACRO_TRANSITION,BLOCK_BEAR_MARKDOWN,YES,3.76,6.93,3.17,1.0,1.0,0.0,0.0,1.0,35.5,35.5,ABOVE_VAH,False,1.3,1.76,0.82,1.34,2.47,6.93,0.0,3.21,False,True,,,46.58,44.0,40.32,46.81,0.0,3.0,1.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T11,B,2021-01-28 11:00,1661,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,2.25,9.04,6.79,1.0,1.0,1.0,0.0,1.0,56.6,42.2,ABOVE_VAH,False,1.58,1.99,0.94,1.26,1.14,9.04,0.79,1.68,False,False,,6,43.22,43.2,36.06,44.48,0.0,0.0,0.0,1.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T12,B,2021-07-14 02:00,2364,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,1.78,5.21,3.43,1.0,1.0,1.0,0.0,0.0,79.7,92.0,NEAR_POC,False,0.5,0.77,0.43,0.49,0.65,5.21,0.12,2.56,False,False,,3,54.41,51.5,53.1,59.14,0.0,1.0,0.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
