bar_time,ohlcv_time,rsi_value,rsi_ma,nas_value,source_snapshot_time,source_bar_index,alignment_status,causal_ok,duplicate_snapshot_flag,notes
1359673200,1359673200,42.85,52.54,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-01T02:59:59+00:00,1,OK,True,True,
1359687600,1359687600,42.04,52.24,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-01T06:59:59+00:00,2,OK,True,False,
1359702000,1359702000,44.16,52.22,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-01T10:59:59+00:00,3,OK,True,False,
1359716400,1359716400,46.74,52.0,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-01T14:59:59+00:00,4,OK,True,False,
1359730800,1359730800,53.2,52.72,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-01T18:59:59+00:00,5,OK,True,False,
1359745200,1359745200,52.7,51.9,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T02:59:59+00:00,7,OK,True,True,
1359946800,1359946800,54.2,50.29,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T06:59:59+00:00,8,OK,True,False,
1359961200,1359961200,52.54,49.34,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T10:59:59+00:00,9,OK,True,False,
1359975600,1359975600,45.53,47.68,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T14:59:59+00:00,10,OK,True,False,
1359990000,1359990000,48.55,47.33,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T18:59:59+00:00,11,OK,True,False,
