plot_id,role,composite_state,composite_family,composite_ok,pure_distsupply_bull,pure_ok
T34,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,False,False
T35,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,False,False
T37,preserve,MARKUP_BREAKING_SUPPLY,BULL,True,False,False
S20,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S24,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S25,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S26,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S27,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S29,preserve,NO_OVERHEAD_BULLISH,BULL,True,,False
S30,preserve,NO_OVERHEAD_BULLISH,BULL,True,,False
S31,preserve,NO_OVERHEAD_BULLISH,BULL,True,,False
S32,preserve,NO_OVERHEAD_BULLISH,BULL,True,,False
T39,preserve,NO_OVERHEAD_BULLISH,BULL,True,,False
T41,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,False,False
S35,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S36,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S37,preserve,VALID_OVERHEAD_SUPPLY_RISK,RISK,False,True,True
S38,preserve,MARKUP_BREAKING_SUPPLY,BULL,True,True,True
T40,block,VALID_OVERHEAD_SUPPLY_RISK,RISK,True,False,True
S40,block,VALID_OVERHEAD_SUPPLY_RISK,RISK,True,True,False
