plot_id,set,episode_id,datetime,has_overhead,dist_4h_supply,broken,trend_30,rsi_1d,legpos90,composite_state,family,final_verdict
S1,A,413,2020-04-07,1,0.85,0,3.23,62.0,89.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S3,A,702,2020-06-15,1,0.8,0,2.21,55.2,69.3,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S4,A,780,2020-07-02,1,0.66,0,1.55,60.9,85.7,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S5,A,866,2020-07-23,0,,0,5.62,77.6,94.1,NO_OVERHEAD_BULLISH,BULL,PROTECT
S6,A,901,2020-07-30,1,0.36,0,5.54,82.2,91.6,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S7,A,1298,2020-11-02,1,1.09,0,-1.43,43.4,39.6,SUPPLY_COLADA_BEARISH,RISK,PROTECT
S8,A,1941,2021-04-06,1,2.05,0,0.98,50.4,69.8,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S12,A,3252,2022-02-08,1,2.75,1,3.99,55.3,65.1,MARKUP_BREAKING_SUPPLY,BULL,PROTECT
S13,A,3949,2022-07-21,1,1.93,1,0.94,22.0,28.0,MARKUP_BREAKING_SUPPLY,BULL,PROTECT
S15,A,4401,2022-11-04,1,0.27,0,-1.25,41.2,52.2,SUPPLY_COLADA_BEARISH,RISK,PROTECT
S16,A,4483,2022-11-23,1,1.36,0,-2.92,59.3,78.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S17,A,4644,2023-01-03,1,0.81,0,4.21,66.3,86.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S20,A,5842,2023-10-11,1,0.18,0,7.66,43.4,45.1,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S24,A,6962,2024-07-03,1,0.97,0,3.01,50.3,70.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S25,A,7149,2024-08-15,1,1.59,0,2.19,58.0,72.1,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S26,A,7232,2024-09-04,1,1.14,0,-2.76,55.2,49.7,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S27,A,8357,2025-05-28,1,1.58,0,-3.21,52.3,48.7,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S29,A,8765,2025-09-02,0,,0,7.07,73.8,92.2,NO_OVERHEAD_BULLISH,BULL,PROTECT
S30,A,8823,2025-09-15,0,,0,2.8,77.5,98.0,NO_OVERHEAD_BULLISH,BULL,PROTECT
S31,A,8893,2025-10-01,0,,0,3.99,84.0,92.1,NO_OVERHEAD_BULLISH,BULL,PROTECT
S32,A,8905,2025-10-03,0,,0,5.01,81.0,94.7,NO_OVERHEAD_BULLISH,BULL,PROTECT
S34,A,8940,2025-10-13,0,,0,3.29,81.9,99.3,NO_OVERHEAD_BULLISH,BULL,PROTECT
S35,A,9215,2025-12-16,1,1.37,0,3.31,63.4,73.6,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S36,A,9297,2026-01-06,1,1.35,0,3.36,60.3,73.0,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S37,A,9304,2026-01-08,1,1.09,0,3.21,57.9,58.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
S38,A,9314,2026-01-09,1,0.34,1,6.1,60.1,85.6,MARKUP_BREAKING_SUPPLY,BULL,PROTECT
T2,B,130,2020-01-30,1,1.54,0,1.63,61.5,69.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T3,B,237,2020-02-25,1,2.33,0,2.04,77.5,65.4,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T4,B,287,2020-03-09,0,,0,2.72,70.0,72.8,NO_OVERHEAD_BULLISH,BULL,BLOCK
T9,B,1353,2020-11-13,1,6.93,1,-5.45,44.0,35.5,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T11,B,1661,2021-01-28,1,9.04,1,-0.93,43.2,42.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T12,B,2364,2021-07-14,1,5.21,0,1.37,51.5,92.0,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T15,B,2663,2021-09-22,1,3.07,0,-3.64,45.7,38.8,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T16,B,2896,2021-11-15,1,3.34,0,5.59,72.7,97.3,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T17,B,2944,2021-11-26,1,8.56,1,-9.23,40.3,23.0,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T18,B,3085,2021-12-30,1,6.56,0,1.69,51.8,91.5,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T20,B,3190,2022-01-25,1,2.53,0,3.57,61.2,84.4,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T23,B,3443,2022-03-24,1,4.37,0,0.82,52.6,33.3,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T24,B,3474,2022-03-31,1,4.82,1,-1.79,48.3,47.5,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T25,B,3491,2022-04-05,1,5.81,1,3.59,49.4,68.5,MARKUP_BREAKING_SUPPLY,BULL,BLOCK
T26,B,3509,2022-04-08,1,6.51,1,0.89,50.5,65.0,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T30,B,6193,2024-01-04,1,2.39,0,-1.73,51.6,64.3,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T40,B,9081,2025-11-13,1,5.27,0,5.55,64.3,79.4,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
T42,B,9727,2026-04-17,1,3.18,0,2.84,51.9,95.0,VALID_OVERHEAD_SUPPLY_RISK,RISK,BLOCK
S9,C,2100,2021-05-12,1,1.78,0,2.98,66.2,66.4,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
S10,C,2110,2021-05-14,1,2.09,0,0.02,62.9,92.5,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
S14,C,4384,2022-11-01,1,1.11,0,1.29,41.0,49.9,SUPPLY_COLADA_BEARISH,RISK,TRANSFORM
S18,C,4677,2023-01-11,0,,0,3.37,68.2,98.2,NO_OVERHEAD_BULLISH,BULL,REVIEW
S19,C,5627,2023-08-22,1,0.85,0,-0.92,33.7,18.4,SUPPLY_COLADA_BEARISH,RISK,BLOCK
S21,C,5866,2023-10-17,1,1.18,0,6.6,60.0,96.9,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
S22,C,6049,2023-11-29,0,,0,5.66,74.8,93.9,NO_OVERHEAD_BULLISH,BULL,REVIEW
S23,C,6741,2024-05-13,1,1.51,0,1.17,58.7,66.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
S28,C,8544,2025-07-11,1,2.22,0,-0.02,50.2,62.7,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
S39,C,9368,2026-01-22,0,,0,5.94,73.3,99.3,NO_OVERHEAD_BULLISH,BULL,REVIEW
T13,C,2488,2021-08-11,1,6.2,0,-6.8,24.6,47.2,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
T14,C,2497,2021-08-13,1,7.07,1,-5.94,37.0,51.7,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
T19,C,3126,2022-01-10,1,3.29,0,-0.19,46.0,35.9,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
T27,C,3929,2022-07-18,1,1.64,0,-2.2,24.6,15.1,VALID_OVERHEAD_SUPPLY_RISK,RISK,TRANSFORM
T32,C,6610,2024-04-11,0,,0,3.65,74.0,95.7,NO_OVERHEAD_BULLISH,BULL,REVIEW
T33,C,6729,2024-05-09,1,1.73,0,2.92,49.7,33.6,VALID_OVERHEAD_SUPPLY_RISK,RISK,REVIEW
T34,C,6887,2024-06-14,1,3.28,0,3.09,43.4,45.5,VALID_OVERHEAD_SUPPLY_RISK,RISK,PROTECT
T36,C,8095,2025-03-27,0,,0,-0.13,65.8,90.1,NO_OVERHEAD_BULLISH,BULL,PROTECT
