layer,runners_cut,runners_cut_pct,losers_cut,losers_cut_pct,lift_loser_over_runner,net_score,status
bear_leg_block,5,6.9,19,11.3,1.63,14,CONDITIONAL
supply_reject_block,31,43.1,78,46.4,1.08,47,KILLS_RUNNERS
indicator_TOP_skip,22,30.6,43,25.6,0.84,21,KILLS_RUNNERS
macro_phase_not_BULLRUN,36,50.0,92,54.8,1.1,56,KILLS_RUNNERS
regimeB_broken,28,38.9,65,38.7,0.99,37,KILLS_RUNNERS
range_transition,32,44.4,59,35.1,0.79,27,KILLS_RUNNERS
engine_SKIP,37,51.4,82,48.8,0.95,45,KILLS_RUNNERS
bottom_turn(TAKE),-5,6.9,-11,6.5,0.94,-6,WEAK_TAKE
capit_climax(TAKE),-4,5.6,-6,3.6,0.64,-2,WEAK_TAKE
clean_sky(TAKE),-40,55.6,-90,53.6,0.96,-50,WEAK_TAKE
macro_phase_BULLRUN(TAKE),-36,50.0,-76,45.2,0.9,-40,WEAK_TAKE
