candidate_id,timestamp,source,anatomy_class,supply_category,demand_category,mfe_atr_36,mae_atr_36,cret_atr_36,rsi
C55,2020-01-14 07:00,swing_high_simples,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.66,0.62,2.01,37.3
C56,2020-01-14 11:00,swing_high_simples,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.39,0.81,1.65,43.4
C57,2020-01-14 15:00,swing_high_simples,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.39,0.09,1.96,44.9
C58,2020-01-14 19:00,swing_high_simples,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,3.57,0.06,1.56,44.3
C78,2020-01-20 03:00,fractal_3_3,NEEDS_VISUAL_REVIEW,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,5.54,3.12,3.67,56.3
C80,2020-01-20 11:00,fractal_3_3,NEEDS_VISUAL_REVIEW,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,6.05,2.95,2.03,57.7
C81,2020-01-20 15:00,fractal_3_3,NEEDS_VISUAL_REVIEW,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,6.18,3.17,1.51,58.3
C86,2020-01-21 15:00,fractal_3_3,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.12,1.46,1.96,44.2
C90,2020-01-22 07:00,fractal_3_3,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.12,1.11,3.72,44.8
C93,2020-01-22 19:00,fractal_3_3,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.02,1.2,2.59,50.8
C97,2020-01-23 11:00,fractal_3_3,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,3.66,0.93,2.86,47.3
C98,2020-01-23 15:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,4.07,0.88,3.56,57.2
C99,2020-01-23 19:00,fractal_3_3,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.61,1.02,4.35,56.4
C100,2020-01-23 23:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.6,0.92,3.74,55.3
C101,2020-01-24 03:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.76,0.74,3.29,55.3
C102,2020-01-24 07:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.04,0.76,3.74,53.8
C103,2020-01-24 11:00,fractal_3_3,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.91,0.17,1.78,53.6
C105,2020-01-24 19:00,fractal_3_3,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,3.55,1.2,0.9,58.6
C116,2020-01-28 15:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ORIGIN_OF_LEG,3.04,2.83,-1.54,56.7
C117,2020-01-28 19:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.48,2.67,-1.51,48.8
C118,2020-01-28 23:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.97,2.51,-1.47,45.8
C119,2020-01-29 03:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.69,2.89,-1.45,44.2
C122,2020-01-29 15:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,4.01,3.91,-0.67,50.8
C130,2020-01-30 23:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,3.23,3.81,-0.39,50.1
C131,2020-01-31 03:00,fractal_3_3,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,3.07,4.1,-0.55,48.6
