candidate_id,timestamp,label,gt_id,fragile,anatomy_class,supply_category,demand_category,mfe_atr_36,mae_atr_36
C55,2020-01-14 07:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.66,0.62
C56,2020-01-14 11:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.39,0.81
C57,2020-01-14 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,3.39,0.09
C58,2020-01-14 19:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,3.57,0.06
C86,2020-01-21 15:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.12,1.46
C90,2020-01-22 07:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.12,1.11
C93,2020-01-22 19:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.02,1.2
C97,2020-01-23 11:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,3.66,0.93
C98,2020-01-23 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,4.07,0.88
C99,2020-01-23 19:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.61,1.02
C100,2020-01-23 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.6,0.92
C101,2020-01-24 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.76,0.74
C102,2020-01-24 07:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.04,0.76
C103,2020-01-24 11:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.91,0.17
C105,2020-01-24 19:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,3.55,1.2
C116,2020-01-28 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ORIGIN_OF_LEG,3.04,2.83
C117,2020-01-28 19:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.48,2.67
C118,2020-01-28 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.97,2.51
C119,2020-01-29 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,3.69,2.89
C122,2020-01-29 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,4.01,3.91
C130,2020-01-30 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,3.23,3.81
C131,2020-01-31 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,3.07,4.1
C159,2020-02-06 19:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.85,0.98
C160,2020-02-06 23:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.87,1.22
C166,2020-02-09 23:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.83,1.26
C167,2020-02-10 03:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,3.07,1.31
