bar_idx,timestamp,active_flags,active_objectives,n_always_on,n_foreground,foreground_per_objective,n_probes,probes_mandatory,n_also_available,foreground_large_diag,n_sosias,has_continuation,micro62,swing41
55,2020-01-14,leg_bull|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,0,12,1,0,1,0,1
78,2020-01-20,leg_bull|markup_context|clean_sky|has_continuation_sibling,markup-through-supply-vs-supply-rejection|continuacao-estrutural|preservar-monumentais,47,25,markup:11 continuacao:8 preservar:6,6,1,15,0,37,1,0,1
116,2020-01-28,leg_bull|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,0,12,1,0,1,0,0
130,2020-01-30,leg_bull|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,7,1,1,1
140,2020-02-03,leg_bull|capit_or_flush|supply_threat|has_continuation_sibling,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,1,8,1,7,1,0,1
149,2020-02-05,leg_bull|capit_or_flush|has_continuation_sibling,reversao/fundo/capitulacao|continuacao-estrutural|preservar-monumentais,47,27,reversao:12 continuacao:10 preservar:5,6,1,13,1,6,1,0,1
159,2020-02-06,leg_bull|has_continuation_sibling,continuacao-estrutural|preservar-monumentais,47,20,continuacao:12 preservar:8,6,1,20,0,37,1,0,1
217,2020-02-20,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,11,0,0,1
237,2020-02-25,leg_bull|capit_or_flush|has_continuation_sibling,reversao/fundo/capitulacao|continuacao-estrutural|preservar-monumentais,47,27,reversao:12 continuacao:10 preservar:5,6,0,13,1,0,1,1,1
287,2020-03-09,leg_bull|markup_context|clean_sky|has_continuation_sibling,markup-through-supply-vs-supply-rejection|continuacao-estrutural|preservar-monumentais,47,25,markup:11 continuacao:8 preservar:6,6,1,15,0,37,1,1,1
351,2020-03-23,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,1
383,2020-03-31,leg_bull|regime_distribution_warning|clean_sky|has_continuation_sibling,topo/range/chop|continuacao-estrutural|preservar-monumentais,47,26,topo:7 continuacao:11 preservar:8,6,0,14,1,0,1,0,1
391,2020-04-01,leg_bull|regime_distribution_warning|clean_sky|has_continuation_sibling,topo/range/chop|continuacao-estrutural|preservar-monumentais,47,26,topo:7 continuacao:11 preservar:8,6,1,14,1,6,1,0,1
413,2020-04-07,leg_bull|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,1,0
458,2020-04-17,leg_bull|capit_or_flush,reversao/fundo/capitulacao|preservar-monumentais,47,22,reversao:12 preservar:10,6,0,18,0,3,0,0,1
493,2020-04-27,leg_bull|capit_or_flush|supply_threat|has_continuation_sibling,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,0,8,1,0,1,0,1
521,2020-05-04,leg_bull|capit_or_flush|supply_threat|has_continuation_sibling,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,1,8,1,13,1,0,1
542,2020-05-07,leg_bull|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,25,1,0,1
583,2020-05-18,leg_bull|markup_context|clean_sky|has_continuation_sibling,markup-through-supply-vs-supply-rejection|continuacao-estrutural|preservar-monumentais,47,25,markup:11 continuacao:8 preservar:6,6,0,15,0,1,1,0,1
597,2020-05-20,leg_bull|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,7,0,0,0
631,2020-05-28,leg_bull|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,13,0,0,1
685,2020-06-10,leg_bull|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,1
702,2020-06-15,leg_bull|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,5,0,1,0
766,2020-06-30,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,9,0,0,1
780,2020-07-02,leg_bull|capit_or_flush|supply_threat|late_top_or_high_legpos,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,7,0,1,1
833,2020-07-15,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,6,0,0,1
845,2020-07-17,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,6,0,0,1
866,2020-07-23,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,11,0,1,1
886,2020-07-28,leg_bull|capit_or_flush|clean_sky,reversao/fundo/capitulacao|preservar-monumentais,47,22,reversao:12 preservar:10,6,0,18,0,3,0,0,0
901,2020-07-30,leg_bull|capit_or_flush|supply_threat|late_top_or_high_legpos,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,5,0,1,1
919,2020-08-04,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,37,0,0,1
934,2020-08-07,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,4,0,0,1
970,2020-08-17,leg_bull|clean_sky,,47,0,,6,0,40,0,3,0,0,1
1027,2020-08-30,leg_bull|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,7,0,0,0
1072,2020-09-09,leg_bull,,47,0,,6,1,40,0,37,0,0,0
1151,2020-09-28,leg_bull|regime_distribution_warning|markup_context|clean_sky|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,11,1,0,0
1200,2020-10-08,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,1,7,1,7,0,0,1
1211,2020-10-12,leg_bull|regime_distribution_warning|has_continuation_sibling|late_top_or_high_legpos,topo/range/chop|continuacao-estrutural|preservar-monumentais,47,26,topo:7 continuacao:11 preservar:8,6,1,14,1,11,1,0,1
1221,2020-10-14,leg_bull|regime_distribution_warning|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,7,1,0,1
1298,2020-11-02,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,6,0,1,0
1316,2020-11-05,leg_bear|regime_distribution_warning|markup_context|late_top_or_high_legpos,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,13,0,0,1
1326,2020-11-08,leg_bull|regime_distribution_warning|supply_threat|has_continuation_sibling|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,0,12,1,0,1,0,1
1353,2020-11-13,leg_bull|regime_distribution_warning|clean_sky|has_continuation_sibling,topo/range/chop|continuacao-estrutural|preservar-monumentais,47,26,topo:7 continuacao:11 preservar:8,6,1,14,1,6,1,1,0
1429,2020-12-02,leg_bear|regime_distribution_warning|markup_context|clean_sky,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,37,0,0,0
1497,2020-12-17,leg_bear|regime_distribution_warning|supply_threat|late_top_or_high_legpos,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,25,0,0,1
1522,2020-12-23,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,1,7,1,7,0,0,0
1568,2021-01-06,leg_bull|capit_or_flush|has_continuation_sibling,reversao/fundo/capitulacao|continuacao-estrutural|preservar-monumentais,47,27,reversao:12 continuacao:10 preservar:5,6,0,13,1,1,1,0,0
1623,2021-01-20,leg_bear|regime_distribution_warning|markup_context|clean_sky,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,37,0,0,0
1661,2021-01-28,leg_bear|regime_distribution_warning|capit_or_flush|markup_context|clean_sky,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,1,7,1,7,0,1,0
1761,2021-02-22,leg_bear|regime_distribution_warning|capit_or_flush,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|topo/range/chop|preservar-monumentais,47,30,bear:14 reversao:6 topo:3 preservar:7,6,1,10,1,6,0,0,1
1775,2021-02-24,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,0,0,0,1
1836,2021-03-10,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,6,0,0,0
1873,2021-03-18,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,0,0,0,0
1901,2021-03-25,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,0,0,0,1
1941,2021-04-06,regime_distribution_warning|range_or_chop,topo/range/chop,47,7,topo:7,6,1,33,0,37,0,1,0
2034,2021-04-27,leg_bull|regime_distribution_warning|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,0,10,1,2,0,0,0
2053,2021-05-02,leg_bull|regime_distribution_warning|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,7,0,0,1
2100,2021-05-12,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,0,25,0,0,0,1,1
2110,2021-05-14,leg_bull|regime_distribution_warning|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,0,33,0,0,0,1,0
2174,2021-05-31,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,37,0,0,0
2188,2021-06-02,leg_bull|capit_or_flush|supply_threat|late_top_or_high_legpos,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,7,0,0,0
2204,2021-06-07,leg_bull|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,1
2222,2021-06-10,leg_bull|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,0,10,1,0,0,0,0
2320,2021-07-02,leg_bull|regime_distribution_warning|markup_context|clean_sky,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,37,0,0,0
2364,2021-07-14,leg_bull|regime_distribution_warning|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,11,0,1,0
2372,2021-07-15,leg_bull|regime_distribution_warning|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,6,0,0,0
2428,2021-07-28,leg_bull|regime_distribution_warning|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,6,0,0,0
2488,2021-08-11,leg_bull|regime_distribution_warning|markup_context|clean_sky|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,37,1,1,0
2497,2021-08-13,leg_bear|regime_distribution_warning|capit_or_flush|clean_sky|has_continuation_sibling,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,bear:14 reversao:6 topo:3 continuacao:7 preservar:2,6,1,8,1,1,1,1,0
2544,2021-08-25,regime_distribution_warning|range_or_chop|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,5,0,0,0
2663,2021-09-22,regime_distribution_warning|range_or_chop,topo/range/chop,47,7,topo:7,6,1,33,0,9,0,1,0
2705,2021-10-01,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,13,0,0,0
2737,2021-10-08,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,1,7,1,1,0,0,0
2747,2021-10-12,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,13,0,0,0
2859,2021-11-05,leg_bull|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,6,0,0,0
2896,2021-11-15,leg_bull|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,9,0,1,0
2905,2021-11-17,leg_bull|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,13,0,0,0
2922,2021-11-22,leg_bull|capit_or_flush|supply_threat|has_continuation_sibling,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,0,8,1,0,1,0,0
2944,2021-11-26,leg_bull|regime_distribution_warning|capit_or_flush|markup_context|clean_sky|has_continuation_sibling,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,1,8,1,37,1,1,0
2991,2021-12-08,leg_bull|regime_distribution_warning|supply_threat|has_continuation_sibling,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,0,12,1,0,1,0,0
