plot_id,group,episode_id,datetime,stage_a,fatal_reason,realR,exit,dist_4h_supply_low_atr,dist_d1_demand_atr,dist_d1_supply_atr,rsi_1d,rsi,legpos90,reclaim_body_atr,trend_30_atr
S1,A_cut_bullrun,413,2020-04-07,late_top_exhaustion,FATAL:late_top_context,1.46,WIN_HELD,0.85,3.66,0.85,62.0,77.4,89.2,-0.9,3.23
S3,A_cut_bullrun,702,2020-06-15,liquidity_sweep_reversal,FATAL:exhaustion_hostile_no_bottom,2.43,WIN_HELD,0.8,1.08,0.03,55.2,40.59,69.3,1.26,2.21
S4,A_cut_bullrun,780,2020-07-02,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,1.43,WIN_HELD,0.66,2.38,,60.9,53.39,85.7,0.36,1.55
S5,A_cut_bullrun,866,2020-07-23,late_top_exhaustion,FATAL:late_top_context,2.09,WIN_HELD,,2.87,,77.6,77.26,94.1,0.27,5.62
S6,A_cut_bullrun,901,2020-07-30,late_top_exhaustion,FATAL:late_top_context,0.9,WIN_BE,0.36,5.19,,82.2,61.01,91.6,0.67,5.54
S7,A_cut_bullrun,1298,2020-11-02,mid_range_noise,FATAL:exhaustion_hostile_no_bottom,0.9,WIN_BE,1.09,3.31,0.84,43.4,48.73,39.6,0.43,-1.43
S8,A_cut_bullrun,1941,2021-04-06,demand_reclaim,FATAL:exhaustion_hostile_no_bottom,0.9,WIN_BE,2.05,1.21,2.71,50.4,67.33,69.8,-0.74,0.98
S12,A_cut_bullrun,3252,2022-02-08,bull_pullback_continuation,FATAL:no_demand_bad_risk,1.84,WIN_HELD,2.75,1.53,0.36,55.3,63.73,65.1,0.88,3.99
S13,A_cut_bullrun,3949,2022-07-21,bottom_reversal_capitulation,FATAL:no_demand_bad_risk,3.54,WIN_HELD,1.93,5.09,5.3,22.0,54.01,28.0,0.48,0.94
S15,A_cut_bullrun,4401,2022-11-04,demand_reclaim,FATAL:exhaustion_hostile_no_bottom,2.76,WIN_HELD,0.27,0.18,0.11,41.2,44.1,52.2,1.3,-1.25
S16,A_cut_bullrun,4483,2022-11-23,mid_range_noise,FATAL:exhaustion_hostile_no_bottom,1.82,WIN_HELD,1.36,4.11,0.67,59.3,46.77,78.2,0.68,-2.92
S17,A_cut_bullrun,4644,2023-01-03,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,2.17,WIN_HELD,0.81,1.68,0.58,66.3,64.82,86.2,0.06,4.21
S20,A_cut_bullrun,5842,2023-10-11,demand_reclaim,FATAL:exhaustion_hostile_no_bottom,3.9,WIN_RUNNER,0.18,2.36,2.75,43.4,71.07,45.1,0.25,7.66
S24,A_cut_bullrun,6962,2024-07-03,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,3.16,WIN_HELD,0.97,0.87,2.65,50.3,55.74,70.2,1.3,3.01
S25,A_cut_bullrun,7149,2024-08-15,bear_bounce,FATAL:exhaustion_hostile_no_bottom,3.9,WIN_RUNNER,1.59,1.18,0.12,58.0,54.9,72.1,-0.89,2.19
S26,A_cut_bullrun,7232,2024-09-04,liquidity_sweep_reversal,FATAL:no_demand_bad_risk,3.9,WIN_RUNNER,1.14,2.98,0.54,55.2,44.44,49.7,-1.12,-2.76
S27,A_cut_bullrun,8357,2025-05-28,bottom_reversal_capitulation,FATAL:no_demand_bad_risk,1.78,WIN_HELD,1.58,1.39,1.77,52.3,35.44,48.7,-0.99,-3.21
S29,A_cut_bullrun,8765,2025-09-02,late_top_exhaustion,FATAL:late_top_context,1.95,WIN_HELD,,3.67,,73.8,81.34,92.2,-0.27,7.07
S30,A_cut_bullrun,8823,2025-09-15,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,2.05,WIN_HELD,,6.81,,77.5,69.17,98.0,-0.19,2.8
S31,A_cut_bullrun,8893,2025-10-01,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,2.83,WIN_HELD,,3.85,,84.0,67.8,92.1,-0.57,3.99
S32,A_cut_bullrun,8905,2025-10-03,demand_reclaim,FATAL:exhaustion_hostile_no_bottom,3.9,WIN_RUNNER,,3.94,,81.0,57.25,94.7,0.76,5.01
S34,A_cut_bullrun,8940,2025-10-13,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,0.9,WIN_BE,,5.75,,81.9,66.32,99.3,0.33,3.29
S35,A_cut_bullrun,9215,2025-12-16,demand_reclaim,FATAL:exhaustion_hostile_no_bottom,3.9,WIN_RUNNER,1.37,1.13,0.81,63.4,57.84,73.6,-0.03,3.31
S36,A_cut_bullrun,9297,2026-01-06,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,1.97,WIN_HELD,1.35,2.77,0.23,60.3,65.57,73.0,-0.64,3.36
S37,A_cut_bullrun,9304,2026-01-08,mid_range_noise,FATAL:exhaustion_hostile_no_bottom,2.45,WIN_HELD,1.09,1.13,0.67,57.9,51.33,58.2,-0.24,3.21
S38,A_cut_bullrun,9314,2026-01-09,bull_pullback_continuation,FATAL:exhaustion_hostile_no_bottom,3.16,WIN_HELD,0.34,1.95,,60.1,63.08,85.6,0.48,6.1
