plot_id,group,episode_id,datetime,stage_a,fatal_reason,realR,exit,dist_4h_supply_low_atr,dist_d1_demand_atr,dist_d1_supply_atr,rsi_1d,rsi,legpos90,reclaim_body_atr,trend_30_atr
T2,B_accepted_bear,130,2020-01-30,demand_reclaim,anchor_clean,0.79,WIN_BE,1.54,0.74,1.68,61.5,50.06,69.2,-0.22,1.63
T3,B_accepted_bear,237,2020-02-25,liquidity_sweep_reversal,anchor_clean,-1.1,STOP_LOSS,2.33,4.76,,77.5,48.51,65.4,0.27,2.04
T4,B_accepted_bear,287,2020-03-09,bull_pullback_continuation,anchor_clean,-1.1,STOP_LOSS,,2.26,0.22,70.0,53.02,72.8,0.1,2.72
T9,B_accepted_bear,1353,2020-11-13,demand_reclaim,anchor_clean,-1.1,STOP_LOSS,6.93,0.2,1.85,44.0,46.58,35.5,1.34,-5.45
T11,B_accepted_bear,1661,2021-01-28,demand_reclaim,anchor_clean,-1.1,STOP_LOSS,9.04,0.84,2.49,43.2,43.22,42.2,1.26,-0.93
T12,B_accepted_bear,2364,2021-07-14,bull_pullback_continuation,anchor_clean,-1.1,STOP_LOSS,5.21,1.86,4.09,51.5,54.41,92.0,0.49,1.37
T15,B_accepted_bear,2663,2021-09-22,demand_reclaim,anchor_clean,-1.1,STOP_LOSS,3.07,1.26,0.26,45.7,56.14,38.8,0.18,-3.64
T16,B_accepted_bear,2896,2021-11-15,bull_pullback_continuation,anchor_clean,-1.1,STOP_LOSS,3.34,3.58,1.06,72.7,59.35,97.3,0.58,5.59
T17,B_accepted_bear,2944,2021-11-26,bottom_reversal_capitulation,anchor_clean,-1.1,STOP_LOSS,8.56,0.71,2.09,40.3,46.08,23.0,1.07,-9.23
T18,B_accepted_bear,3085,2021-12-30,bull_pullback_continuation,anchor_clean,-1.1,STOP_LOSS,6.56,2.09,2.15,51.8,59.96,91.5,0.12,1.69
T20,B_accepted_bear,3190,2022-01-25,demand_reclaim,anchor_clean,-1.1,STOP_LOSS,2.53,0.87,0.87,61.2,56.85,84.4,-0.46,3.57
T23,B_accepted_bear,3443,2022-03-24,bull_pullback_continuation,anchor_clean,-1.1,STOP_LOSS,4.37,0.83,2.24,52.6,56.62,33.3,1.24,0.82
T24,B_accepted_bear,3474,2022-03-31,bull_pullback_continuation,anchor_clean,0.38,SCRATCH,4.82,0.28,3.06,48.3,55.46,47.5,0.68,-1.79
T25,B_accepted_bear,3491,2022-04-05,bull_pullback_continuation,anchor_clean,0.9,WIN_BE,5.81,0.93,3.6,49.4,49.95,68.5,1.3,3.59
T26,B_accepted_bear,3509,2022-04-08,bull_pullback_continuation,anchor_clean,0.9,WIN_BE,6.51,0.91,0.07,50.5,53.45,65.0,0.82,0.89
T30,B_accepted_bear,6193,2024-01-04,liquidity_sweep_reversal,anchor_clean,-1.1,STOP_LOSS,2.39,2.12,0.22,51.6,39.87,64.3,0.26,-1.73
T40,B_accepted_bear,9081,2025-11-13,demand_reclaim,anchor_clean,-1.1,STOP_LOSS,5.27,2.73,1.88,64.3,56.69,79.4,0.38,5.55
T42,B_accepted_bear,9727,2026-04-17,bull_pullback_continuation,anchor_clean,-1.11,STOP_LOSS,3.18,3.94,2.19,51.9,67.75,95.0,-0.52,2.84
