plot_id,visual_context,visual_state,d1_leg,regimeB,combined,macro_broken,failure_classes,feature_agrees_visual
S1,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,BULL,4,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S3,BULL,VA_BULL_MARKUP_TAKE,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S4,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,2,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S5,BULL,VA_RISK_SL_REVIEW,MACRO_BULL_LEG,BULL,3,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S6,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,3,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S7,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_RANGE,BEAR,-2,True,OK_no_divergence,YES
S8,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_RANGE,BEAR,-1,True,REGIMEB_OVERFIRES_IN_BULL,NO
S9,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_BULL_LEG,TRANSITION,3,True,SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,NO
S10,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_BULL_LEG,TRANSITION,2,True,OK_no_divergence,YES
S12,BULL,VA_RISK_SL_REVIEW,MACRO_TRANSITION,TRANSITION,3,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S13,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_BEAR_LEG,BEAR,-2,True,OK_no_divergence,YES
S14,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_RANGE,BEAR,-3,True,REGIMEB_OVERFIRES_IN_BULL|SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,NO
S15,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_RANGE,BEAR,-3,True,REGIMEB_OVERFIRES_IN_BULL|SUPPLY_LENS_INVERTED_IN_BULL,NO
S16,BOTTOM,VA_BOTTOM_TURN_TAKE,MACRO_TRANSITION,TRANSITION,2,True,SUPPLY_LENS_INVERTED_IN_BULL,YES
S17,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,3,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S18,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,3,False,OK_no_divergence,YES
S19,BULL,VA_BEAR_PULLBACK_SKIP,MACRO_RANGE,BEAR,-2,True,REGIMEB_OVERFIRES_IN_BULL|SUPPLY_LENS_INVERTED_IN_BULL,NO
S20,BULL,VA_BULL_MARKUP_TAKE,MACRO_TRANSITION,TRANSITION,1,True,SUPPLY_LENS_INVERTED_IN_BULL,YES
S21,BULL,VA_BULL_MARKUP_TAKE,MACRO_TRANSITION,TRANSITION,3,True,SUPPLY_LENS_INVERTED_IN_BULL,YES
S22,BULL,VA_RISK_SL_REVIEW,MACRO_RANGE,BULL,3,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S23,BULL,VA_BULL_MARKUP_TAKE,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S24,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,TRANSITION,0,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S25,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,BULL,2,False,SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S26,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,BULL,2,False,SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,NO
S27,BULL,VA_RANGE_BULL_REVIEW,MACRO_CORRECTIVE_PULLBACK,BULL,1,False,SUPPLY_LENS_INVERTED_IN_BULL,NO
S28,BULL,VA_BULL_MARKUP_TAKE,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,OK_no_divergence,YES
S29,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,BULL,3,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S30,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,3,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S31,BEAR,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,2,False,REGIMEB_MISSES_BEAR_JUNK,YES
S32,BEAR,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,2,False,REGIMEB_MISSES_BEAR_JUNK,YES
S34,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_BULL_LEG,BULL,1,False,REGIMEB_MISSES_BEAR_JUNK,NO
S35,BULL,VA_BULL_MARKUP_TAKE,MACRO_RANGE,BULL,2,False,SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S36,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,TRANSITION,3,False,SUPPLY_LENS_INVERTED_IN_BULL|RISK_SL_AXIS_CONFUSED_WITH_ENTRY,YES
S37,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,1,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
S38,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,2,False,OK_no_divergence,YES
S39,BULL,VA_LATE_TOP_RESIDUAL,MACRO_BULL_LEG,BULL,3,False,MICROSTRUCTURE_FEATURE_MISSING,YES
T2,RANGE,VA_RANGE_BULL_REVIEW,MACRO_RANGE,TRANSITION,1,False,OK_no_divergence,NO
T3,RANGE,VA_RANGE_BULL_REVIEW,MACRO_BULL_LEG,BULL,3,False,OK_no_divergence,NO
T4,RANGE,VA_RANGE_BULL_REVIEW,MACRO_BULL_LEG,BULL,4,False,OK_no_divergence,NO
T9,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_TRANSITION,BEAR,-2,True,OK_no_divergence,YES
T11,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_BEAR_LEG,BEAR,-3,True,OK_no_divergence,YES
T12,RANGE,VA_RANGE_BULL_REVIEW,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,True,OK_no_divergence,YES
T13,RANGE,VA_RANGE_BULL_REVIEW,MACRO_RANGE,BEAR,-3,True,OK_no_divergence,YES
T14,RANGE,VA_RANGE_BULL_REVIEW,MACRO_BEAR_LEG,BEAR,-1,True,OK_no_divergence,YES
T15,RANGE,VA_RANGE_BULL_REVIEW,MACRO_RANGE,BEAR,-1,True,OK_no_divergence,YES
T16,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_RANGE,BULL,2,False,REGIMEB_MISSES_BEAR_JUNK,NO
T17,BEAR,VA_LATE_TOP_RESIDUAL,MACRO_BULL_LEG,BEAR,2,True,REGIMEB_MISSES_BEAR_JUNK|MICROSTRUCTURE_FEATURE_MISSING,YES
T18,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_TRANSITION,TRANSITION,1,True,REGIMEB_MISSES_BEAR_JUNK,NO
T19,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BEAR,-2,True,REGIMEB_OVERFIRES_IN_BULL,NO
T20,BULL,VA_LATE_TOP_RESIDUAL,MACRO_BULL_LEG,TRANSITION,0,False,RISK_SL_AXIS_CONFUSED_WITH_ENTRY|MICROSTRUCTURE_FEATURE_MISSING,YES
T23,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_BULL_LEG,TRANSITION,3,False,REGIMEB_MISSES_BEAR_JUNK,NO
T24,BEAR,VA_LATE_TOP_RESIDUAL,MACRO_RANGE,TRANSITION,3,False,REGIMEB_MISSES_BEAR_JUNK|MICROSTRUCTURE_FEATURE_MISSING,NO
T25,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,REGIMEB_MISSES_BEAR_JUNK,NO
T26,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,REGIMEB_MISSES_BEAR_JUNK,NO
T27,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_BEAR_LEG,BEAR,-3,True,OK_no_divergence,YES
T30,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,1,False,OK_no_divergence,YES
T32,BULL,VA_LATE_TOP_RESIDUAL,MACRO_BULL_LEG,BULL,1,False,TRUE_RESIDUAL,YES
T33,BULL,VA_BULL_MARKUP_TAKE,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,SUPPLY_LENS_INVERTED_IN_BULL,YES
T34,BULL,VA_RISK_SL_REVIEW,MACRO_BEAR_LEG,TRANSITION,-1,False,OK_no_divergence,YES
T36,BULL,VA_BULL_MARKUP_TAKE,MACRO_BULL_LEG,BULL,1,False,OK_no_divergence,YES
T40,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_RANGE,TRANSITION,3,True,REGIMEB_MISSES_BEAR_JUNK,NO
T42,BEAR,VA_BEAR_PULLBACK_SKIP,MACRO_RANGE,TRANSITION,-1,True,OK_no_divergence,NO
