feature,n_A,n_B,median_A,median_B,effect_size,AUC,bal_acc,threshold,rule_dir
dist_4h_supply_low_atr,20,17,1.09,4.82,2.66,0.024,0.946,2.33,A<t
reclaim_dist_from_supply_atr,20,17,1.09,4.82,2.66,0.024,0.946,2.33,A<t
supply_blocks_2ATR,26,18,1.0,0.0,2.9,0.818,0.818,1.0,A>=t
supply_blocks_3ATR,26,18,1.0,0.0,2.39,0.774,0.774,1.0,A>=t
dist_d1_supply_atr,17,17,0.67,1.88,0.96,0.356,0.735,0.87,A<t
ext_regimeB_dd13w,26,18,1.992,5.358,0.93,0.329,0.726,3.857,A<t
nas_dist_ema_atr,20,12,2.55,1.045,1.23,0.748,0.725,2.0,A>=t
nas_rsi,26,18,59.175,53.93,0.58,0.675,0.722,60.51,A>=t
rsi,26,18,59.425,53.93,0.61,0.675,0.722,61.01,A>=t
dist_d1_demand_atr,26,18,2.575,1.095,1.01,0.714,0.712,1.08,A>=t
rsi_max8,26,18,65.755,58.35,0.73,0.652,0.707,63.53,A>=t
rise20_atr,26,18,3.08,2.425,0.45,0.659,0.703,3.48,A>=t
rsi_1d,26,18,59.7,51.7,0.64,0.649,0.699,55.2,A>=t
ext_daily_rsi14,26,18,59.64,51.671,0.67,0.62,0.69,52.927,A>=t
atr_pctile_proxy,26,18,0.995,0.89,0.3,0.684,0.688,0.94,A>=t
trend_30_atr,26,18,3.22,1.5,0.52,0.677,0.679,2.19,A>=t
bub_buy_sell_ratio,26,18,4.0,1.0,0.86,0.654,0.677,4.0,A>=t
bub_buy_total,26,18,4.0,1.0,0.86,0.654,0.677,4.0,A>=t
dist_sma50_atr,26,18,1.895,1.235,0.33,0.637,0.675,2.58,A>=t
rsi_min8,26,18,51.895,45.29,0.63,0.65,0.675,53.57,A>=t
reclaim_dist_from_demand_atr,25,18,2.17,1.365,0.63,0.673,0.673,1.75,A>=t
bub_buy_m,26,18,1.0,0.0,0.55,0.693,0.669,1.0,A>=t
trend_90_atr,26,18,4.68,2.845,0.32,0.624,0.669,4.34,A>=t
slope20_atr,26,18,1.84,1.075,0.36,0.615,0.665,3.06,A>=t
atr,26,18,12.405,9.475,0.31,0.669,0.662,9.81,A>=t
