rule,recall_A,block_B,bal
dist_4h_supply_low_atr[A<t2.33] AND reclaim_dist_from_supply_atr[A<t2.33],0.731,0.944,0.838
dist_4h_supply_low_atr[A<t2.33] AND supply_blocks_3ATR[A>=t1.0],0.731,0.944,0.838
reclaim_dist_from_supply_atr[A<t2.33] AND supply_blocks_3ATR[A>=t1.0],0.731,0.944,0.838
dist_4h_supply_low_atr[A<t2.33] AND supply_blocks_2ATR[A>=t1.0],0.692,0.944,0.818
reclaim_dist_from_supply_atr[A<t2.33] AND supply_blocks_2ATR[A>=t1.0],0.692,0.944,0.818
supply_blocks_2ATR[A>=t1.0] AND supply_blocks_3ATR[A>=t1.0],0.692,0.944,0.818
dist_4h_supply_low_atr[A<t2.33] AND dist_d1_supply_atr[A<t0.87],0.423,1.0,0.712
reclaim_dist_from_supply_atr[A<t2.33] AND dist_d1_supply_atr[A<t0.87],0.423,1.0,0.712
supply_blocks_2ATR[A>=t1.0] AND dist_d1_supply_atr[A<t0.87],0.423,1.0,0.712
ext_regimeB_dd13w[A<t3.857] AND nas_rsi[A>=t60.51],0.423,1.0,0.712
dist_4h_supply_low_atr[A<t2.33] AND ext_regimeB_dd13w[A<t3.857],0.462,0.944,0.703
reclaim_dist_from_supply_atr[A<t2.33] AND ext_regimeB_dd13w[A<t3.857],0.462,0.944,0.703
supply_blocks_2ATR[A>=t1.0] AND ext_regimeB_dd13w[A<t3.857],0.462,0.944,0.703
supply_blocks_3ATR[A>=t1.0] AND dist_d1_supply_atr[A<t0.87],0.462,0.944,0.703
ext_regimeB_dd13w[A<t3.857] AND nas_dist_ema_atr[A>=t2.0],0.462,0.944,0.703
nas_dist_ema_atr[A>=t2.0] AND nas_rsi[A>=t60.51],0.462,0.944,0.703
supply_blocks_3ATR[A>=t1.0] AND ext_regimeB_dd13w[A<t3.857],0.5,0.833,0.667
dist_d1_supply_atr[A<t0.87] AND ext_regimeB_dd13w[A<t3.857],0.385,0.944,0.665
dist_4h_supply_low_atr[A<t2.33] AND nas_dist_ema_atr[A>=t2.0],0.308,1.0,0.654
reclaim_dist_from_supply_atr[A<t2.33] AND nas_dist_ema_atr[A>=t2.0],0.308,1.0,0.654
