plot_id,episode_id,datetime,stage_a_context,final_verdict
S1,413,2020-04-07,,PROTECT
S3,702,2020-06-15,,PROTECT
S4,780,2020-07-02,,PROTECT
S5,866,2020-07-23,,PROTECT
S6,901,2020-07-30,,PROTECT
S7,1298,2020-11-02,,PROTECT
S8,1941,2021-04-06,,PROTECT
S12,3252,2022-02-08,,PROTECT
S13,3949,2022-07-21,,PROTECT
S15,4401,2022-11-04,,PROTECT
S16,4483,2022-11-23,,PROTECT
S17,4644,2023-01-03,,PROTECT
S20,5842,2023-10-11,,PROTECT
S24,6962,2024-07-03,,PROTECT
S25,7149,2024-08-15,,PROTECT
S26,7232,2024-09-04,,PROTECT
S27,8357,2025-05-28,,PROTECT
S29,8765,2025-09-02,,PROTECT
S30,8823,2025-09-15,,PROTECT
S31,8893,2025-10-01,,PROTECT
S32,8905,2025-10-03,,PROTECT
S34,8940,2025-10-13,,PROTECT
S35,9215,2025-12-16,,PROTECT
S36,9297,2026-01-06,,PROTECT
S37,9304,2026-01-08,,PROTECT
S38,9314,2026-01-09,,PROTECT
