plot_id,episode_id,datetime,stage_a_context,final_verdict
T2,130,2020-01-30,,BLOCK
T3,237,2020-02-25,,BLOCK
T4,287,2020-03-09,,BLOCK
T9,1353,2020-11-13,,BLOCK
T11,1661,2021-01-28,,BLOCK
T12,2364,2021-07-14,,BLOCK
T15,2663,2021-09-22,,BLOCK
T16,2896,2021-11-15,,BLOCK
T17,2944,2021-11-26,,BLOCK
T18,3085,2021-12-30,,BLOCK
T20,3190,2022-01-25,,BLOCK
T23,3443,2022-03-24,,BLOCK
T24,3474,2022-03-31,,BLOCK
T25,3491,2022-04-05,,BLOCK
T26,3509,2022-04-08,,BLOCK
T30,6193,2024-01-04,,BLOCK
T40,9081,2025-11-13,,BLOCK
T42,9727,2026-04-17,,BLOCK
