plot_id,episode_id,datetime,stage_a_context,final_verdict
S9,2100,2021-05-12,,REVIEW
S10,2110,2021-05-14,,REVIEW
S14,4384,2022-11-01,,TRANSFORM
S18,4677,2023-01-11,,REVIEW
S19,5627,2023-08-22,,BLOCK
S21,5866,2023-10-17,,REVIEW
S22,6049,2023-11-29,,REVIEW
S23,6741,2024-05-13,,REVIEW
S28,8544,2025-07-11,,REVIEW
S39,9368,2026-01-22,,REVIEW
T13,2488,2021-08-11,,REVIEW
T14,2497,2021-08-13,,REVIEW
T19,3126,2022-01-10,,REVIEW
T27,3929,2022-07-18,,TRANSFORM
T32,6610,2024-04-11,,REVIEW
T33,6729,2024-05-09,,REVIEW
T34,6887,2024-06-14,,PROTECT
T36,8095,2025-03-27,,PROTECT
