bar_idx,entry,sl,risk,capped_struct,letrun_struct,mfe_struct
55,1545.06,1515.95,29.11,0.91,0.91,1.66
78,1561.52,1547.56,13.96,-1.0,-1.0,2.28
116,1569.64,1555.74,13.9,-1.0,-1.0,8.61
130,1572.31,1562.74,9.57,-1.0,-1.0,12.23
140,1576.49,1570.16,6.33,-1.0,-1.0,17.82
149,1559.59,1545.55,14.04,4.0,5.85,9.24
159,1566.66,1551.91,14.75,4.0,7.04,8.31
237,1640.25,1631.2,9.05,-1.0,-1.0,6.97
287,1665.14,1639.77,25.37,-1.0,-1.0,0.81
351,1572.68,1476.99,95.69,1.2,1.2,1.82
383,1606.56,1453.33,153.23,0.65,0.65,0.92
391,1582.37,1566.45,15.92,4.0,6.37,10.35
458,1681.43,1638.97,42.47,1.44,1.44,1.64
493,1711.67,1708.56,3.11,-1.0,-1.0,17.2
521,1707.14,1669.07,38.07,0.67,0.67,1.52
542,1715.73,1680.37,35.36,-0.09,-0.09,1.4
583,1731.95,1669.01,62.94,-0.12,-0.12,0.35
597,1743.95,1724.98,18.97,-1.0,-1.0,0.07
631,1717.98,1692.7,25.28,-1.0,-1.0,2.42
685,1738.41,1691.24,47.17,1.51,1.51,1.69
702,1722.29,1706.77,15.52,4.0,5.16,6.16
766,1770.39,1746.66,23.73,4.0,6.93,8.88
780,1776.95,1758.22,18.73,4.0,9.55,10.89
833,1811.22,1789.65,21.57,4.0,5.84,12.24
845,1810.96,1794.32,16.64,4.0,7.88,15.88
886,1934.93,1792.88,142.05,-0.08,-0.08,0.99
901,1965.13,1939.95,25.18,4.0,-1.0,4.37
934,2046.15,1965.87,80.28,-1.0,-1.0,0.05
970,1972.76,1861.01,111.75,-0.16,-0.16,0.38
1027,1971.96,1908.29,63.67,-1.0,-1.0,0.32
1072,1945.95,1905.09,40.86,-1.0,-1.0,0.67
1151,1881.56,1847.52,34.04,0.61,0.61,1.52
1200,1906.54,1871.85,34.69,-1.0,-1.0,1.33
1211,1922.49,1880.98,41.51,-1.0,-1.0,1.04
1221,1912.26,1880.87,31.39,-1.0,-1.0,1.7
1298,1888.35,1858.9,29.45,-1.0,-1.0,2.62
1316,1918.17,1880.76,37.41,-1.0,-1.0,1.26
1326,1957.25,1881.01,76.24,-1.0,-1.0,0.11
1353,1891.33,1855.55,35.78,-1.0,-1.0,0.22
1429,1818.52,1763.12,55.4,1.36,1.36,1.59
1497,1885.39,1843.68,41.71,-1.0,-1.0,1.77
1522,1876.96,1857.92,19.04,4.0,-1.0,4.32
1568,1918.77,1874.7,44.07,-1.0,-1.0,0.2
1623,1852.75,1832.11,20.64,-1.0,-1.0,1.11
1661,1854.61,1830.27,24.34,-1.0,-1.0,0.86
1761,1796.23,1759.6,36.63,-1.0,-1.0,0.54
1775,1797.64,1759.52,38.12,-1.0,-1.0,0.21
1836,1726.65,1675.87,50.78,0.57,0.57,0.63
1873,1731.25,1698.11,33.14,-1.0,-1.0,1.59
1901,1727.61,1698.36,29.25,-1.0,-1.0,2.4
1941,1732.04,1720.84,11.2,4.0,4.55,5.88
2034,1776.55,1768.0,8.55,-1.0,-1.0,14.48
2053,1771.67,1755.29,16.38,4.0,8.31,8.61
2100,1815.44,1769.38,46.06,1.57,1.57,2.2
2110,1838.72,1807.73,30.99,1.18,1.18,2.51
2174,1906.82,1881.5,25.32,-1.0,-1.0,0.39
2188,1906.86,1891.6,15.26,-1.0,-1.0,0.18
2204,1884.35,1854.78,29.57,-1.0,-1.0,0.66
2222,1880.76,1855.06,25.7,-1.0,-1.0,0.86
2320,1788.02,1767.48,20.54,1.28,1.28,2.25
2364,1812.94,1797.76,15.18,-1.0,-1.0,1.4
2428,1806.98,1792.88,14.1,-1.0,-1.0,1.82
2488,1751.5,1716.82,34.68,1.08,1.08,2.38
2497,1758.48,1740.9,17.58,4.0,2.07,4.3
2544,1795.11,1775.75,19.36,-1.0,-1.0,2.01
2663,1777.8,1757.27,20.53,-1.0,-1.0,1.11
2705,1752.13,1720.7,31.43,1.41,1.41,1.96
2737,1772.65,1751.12,21.53,-1.0,-1.0,1.91
2747,1761.69,1749.34,12.35,4.0,5.04,5.31
