original_path,new_path,size_bytes,sha256,probable_function,status
/tmp/attribution.py,repro_recovery/attribution.py,2497,7577a3e0a51ae291d39e1cfaea5fed93d8ef8c099bb0a09fa1f35634a298f828,pipeline artifact/script,PRESERVED
/tmp/ctx_demand_plot_result.json,repro_recovery/ctx_demand_plot_result.json,61570,8858578a05e63505749ee92dbf3e275ce5c7bf28e2429d14d6e76376341bf2f5,pipeline artifact/script,PRESERVED
/tmp/d1_sig_v3.json,repro_recovery/d1_sig_v3.json,118270,2c55a3518cad570b338c2002d3f20895fed06575b12c0e40007af0a549901f8e,NAS 1D signal,PRESERVED
/tmp/extract_1d_v3.py,repro_recovery/extract_1d_v3.py,1095,01bab41c5f67559c863b6c00377d9d556b4329a1d294b5056b7c90b21ff1a229,d1_sig builder,PRESERVED
/tmp/L2_BPT_B_VISUAL_CALIBRATION_SHEET.csv,repro_recovery/L2_BPT_B_VISUAL_CALIBRATION_SHEET.csv,8619,7e85ba6d594990eeba8dcd7d5d1fbf14cf6ea04f212584f22ea68f0dc1a172d3,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_REPORT.md,repro_recovery/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_REPORT.md,3431,9064bd625f14f95d1dfa18a4d62337795a1fad1d466c6b6e42b443a9330ce60e,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_RESULTS.csv,repro_recovery/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_RESULTS.csv,7081,540baa2bcd038f453e8e564ffb4cf706bc1647942b034221e51018f9c7153f35,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_SCRIPT.py,repro_recovery/L2_BPT_H1_H2I_CROSS_FAMILY_CAMINHO_A_SCRIPT.py,7949,1c6198ae2e4c5aad8fb27e70fee6cb31631f1688edf1456c4c6a0001e117ab22,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_LAYER_STACK_ANALYSIS.py,repro_recovery/L2_BPT_LAYER_STACK_ANALYSIS.py,3941,93d90fc44fd18badbeae79c8da24ed5f4f87012b32de2e7265ddfd7ed19e68e9,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_LAYER_STACK_STATE_2026-06-14.md,repro_recovery/L2_BPT_LAYER_STACK_STATE_2026-06-14.md,4767,f3162046c76e06b8cca65e988b86bcff76f31ffcf90b2f33f7d89e2cba7a1e46,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_REPORT.md,repro_recovery/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_REPORT.md,4514,115691b45ac1a8b348edaaa8164246f337c150b24f39794af58c3c140f57bab4,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_RESULTS.csv,repro_recovery/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_RESULTS.csv,951,974e78f90a37873d0b2d991cc8d5efcbc1fe3d760ee999c2c4bb0cc82a824c4e,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_SCRIPT.py,repro_recovery/L2_BPT_MACRO_LOCATION_SURVIVAL_VALIDATION_SCRIPT.py,7949,1c6198ae2e4c5aad8fb27e70fee6cb31631f1688edf1456c4c6a0001e117ab22,pipeline artifact/script,PRESERVED
/tmp/L2_BPT_PERSISTENCE_CHECK_2019H2_SCOPE.md,repro_recovery/L2_BPT_PERSISTENCE_CHECK_2019H2_SCOPE.md,5930,dcacc9704af06c8dc81164920246172d550df069c3181a1dee1167d4edf08dc8,pipeline artifact/script,PRESERVED
/tmp/L2_detector_v2_2.py,repro_recovery/L2_detector_v2_2.py,11709,e919e7fa2ace0f6a181ad0875c2d4244b1088664b6d83916f4b9f339de3862be,L2 detector v2.2,PRESERVED
/tmp/L2_ground_truth_v1.json,repro_recovery/L2_ground_truth_v1.json,23476,b1a60cbe76ec405e2febe855d5235b27e2a38c6b9092242b7dc1b4cf29f37b53,GT labels,PRESERVED
/tmp/macro_analyze.py,repro_recovery/macro_analyze.py,4800,19b51f180d0a3f5bbbd4e4b87165c9b7e2ad2efe048a06529f091c0547378194,pipeline artifact/script,PRESERVED
/tmp/plot_context_demand.py,repro_recovery/plot_context_demand.py,4528,5e31d4e218addb096179b9f5e9346b52ea44e91e368cf57bf6313b1c6c856904,pipeline artifact/script,PRESERVED
/tmp/qual_batch_00.jsonl,repro_recovery/qual_batch_00.jsonl,39714,778fd5643cb3ae1c7d62708f84f3f83280dad70566a47662e807e50fe554b5b2,reasoning slices,PRESERVED
/tmp/qual_batch_01.jsonl,repro_recovery/qual_batch_01.jsonl,39490,8e879b6c259347cc4d4f90e76d3b8be1fb6632fbe1a8f82c346aa4b09a010c43,reasoning slices,PRESERVED
/tmp/qual_batch_02.jsonl,repro_recovery/qual_batch_02.jsonl,39924,1bfc5b162b4927972b83afc982cb08cad8719f9381f3673366ab8d6e85daf5b4,reasoning slices,PRESERVED
/tmp/qual_batch_03.jsonl,repro_recovery/qual_batch_03.jsonl,39671,0bc0186a6a943f4a4e1d547fc2c2b3026af78dc44cc7be7ae8a5a940b6c2791d,reasoning slices,PRESERVED
/tmp/qual_batch_04.jsonl,repro_recovery/qual_batch_04.jsonl,39705,80ad0eff1c525401acef20cad16463b8f6d38107ed80bf5a165a3938a7ae00b5,reasoning slices,PRESERVED
/tmp/qual_batch_05.jsonl,repro_recovery/qual_batch_05.jsonl,40032,ff25405f5b0272af310ce6fe442deb94afe572723ef8fd6d6307a61641a0c6e6,reasoning slices,PRESERVED
/tmp/qual_batch_06.jsonl,repro_recovery/qual_batch_06.jsonl,39923,04e4f5eeff40a9da485c571369e671a2937ec35a6b19c1e97f9e9a6b075f396e,reasoning slices,PRESERVED
/tmp/qual_batch_07.jsonl,repro_recovery/qual_batch_07.jsonl,39958,4e649928ca7730dff9a1a544843d768a3dd0ba54217e893b6fad1d16a92bf8f8,reasoning slices,PRESERVED
/tmp/qual_batch_08.jsonl,repro_recovery/qual_batch_08.jsonl,39762,319c059bc6fbae3084052f7e228760da3473ba102d2c5d6ce30f0f51296b9307,reasoning slices,PRESERVED
/tmp/qual_batch_09.jsonl,repro_recovery/qual_batch_09.jsonl,39682,80a27e4e7ef1279d3d04ed645642e3bb892a6dcdea70d520642dbc07fe8b5ce5,reasoning slices,PRESERVED
/tmp/qual_batch_10.jsonl,repro_recovery/qual_batch_10.jsonl,39629,bd67e0c54dd0a3cb25d639e9b5bea8d4b0b392a2381a6dc8045ae1a1a5288121,reasoning slices,PRESERVED
/tmp/qual_batch_11.jsonl,repro_recovery/qual_batch_11.jsonl,39623,21e0a92a467fe651b74461f18468657b930721cdd45b543cdc293550bde34975,reasoning slices,PRESERVED
/tmp/qual_batch_12.jsonl,repro_recovery/qual_batch_12.jsonl,39449,41541cb32f6c7bf6d448ebff224d742e93073929884920eba5f0482da56a5533,reasoning slices,PRESERVED
/tmp/qual_batch_13.jsonl,repro_recovery/qual_batch_13.jsonl,31737,3bf72fddf95c7911bdb45fbe37182ce3375a0fd2503fe88e6c8339dc7203c7c7,reasoning slices,PRESERVED
/tmp/qual_dec_00.jsonl,repro_recovery/qual_dec_00.jsonl,15458,ccb4963a3c6c3f10b0256a1e7de6c9714c12483b96e8e92cc66c007ea92be6ec,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_01.jsonl,repro_recovery/qual_dec_01.jsonl,16778,2033d2ccd4695ced8e69b15968889bed2cbeb94658018543e6b71fbf14ba147c,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_02.jsonl,repro_recovery/qual_dec_02.jsonl,14028,197b55912f4a6019aa31e64fb4f26587d8bca0b4193d232c8c2c2681fcf7c53b,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_03.jsonl,repro_recovery/qual_dec_03.jsonl,19186,b1ceabac704e1b97cc3694d99a75b89f2c4d29d4a64da83409f716cc6108a6cb,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_04.jsonl,repro_recovery/qual_dec_04.jsonl,16466,b94ed520acf0a4343436031e85fbcdaa8cc7f33588c8adb5b9617a7aed01a4ee,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_05.jsonl,repro_recovery/qual_dec_05.jsonl,17436,c8051b6fbbfffef0aef95c91ee9983eed0a07d0921380b6d3a990c37263284fa,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_06.jsonl,repro_recovery/qual_dec_06.jsonl,16356,24c4481d6dd9e0ee1d6bee8932e1df81e7e5dd2a95e3206280a73fc0fed8a00c,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_07.jsonl,repro_recovery/qual_dec_07.jsonl,14054,c3714452dc909c4fb9d14cbf675c9ea1d57498e2c77a127dd8f93fd65c313a82,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_08.jsonl,repro_recovery/qual_dec_08.jsonl,14739,31368d04a2e89ff9bc4f3e1b95f1455936ea5934d8afabaaecb8ad4ac328cbb6,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_09.jsonl,repro_recovery/qual_dec_09.jsonl,16736,94ffc4b0b5372fd326d9d68387a292fd14456027b5207ae7a16a292ca0fd3e3c,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_10.jsonl,repro_recovery/qual_dec_10.jsonl,14500,bfd8022406c8b4fd4d85cac32cd6a7f5178186f760d5ba27db78086e625e8f7f,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_11.jsonl,repro_recovery/qual_dec_11.jsonl,16863,7c067388c14192497cf98cc00bdb854a7b693a5d3c04bad9f87be8179577b141,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_12.jsonl,repro_recovery/qual_dec_12.jsonl,15446,7749f422eb509da9b81abd85935ed09c0c94ce74a3378e60f64a0f052fca992b,TAKE decisions LLM,PRESERVED
/tmp/qual_dec_13.jsonl,repro_recovery/qual_dec_13.jsonl,12743,4adc23492c8a96548c26c6ff112a92f0b81df4c2ccd4bb630d2c05f5145049af,TAKE decisions LLM,PRESERVED
/tmp/qual_packets.jsonl,repro_recovery/qual_packets.jsonl,548299,e54c455e12d99f2da96d7adbc4fc838fe020294480b3c1e2cf0069a10b3547a3,84-factor packets,PRESERVED
/tmp/raw_features_2020_2026.jsonl,repro_recovery/raw_features_2020_2026.jsonl,34850280,9fac96b99b55708ab6f5216591d0ed4d1b1155e3847ccad3054ff164bc3acebc,frozen 4H features (detector+extractor input),PRESERVED
/tmp/svp_bars.jsonl,repro_recovery/svp_bars.jsonl,1095299,332750fd8aa09122100e42fc0e36b839d0cc7f40577bc4da46eeb2401c88775b,Session VP real volume,PRESERVED
/tmp/XAU_1D_bars.jsonl,repro_recovery/XAU_1D_bars.jsonl,139454,6c18e917a47749c8fd8f24c6ea156c8e0a9405ad34cfaaf7c63274955668d416,daily close bars,PRESERVED
/tmp/XAU_1D_ohlc.jsonl,repro_recovery/XAU_1D_ohlc.jsonl,257116,abf448da158eacb0bc8cdb25f103c12ea78d2d3a73adac5a8c437cbe1c49b217,daily OHLC aux,PRESERVED
