idx,entry_ts,year,label,SL_ATR,bucket,structural_R,how,cap4_reject_kept,cap4_clamp_R
55,2020-01-14 07:00,2020,UNKNOWN,0.85,LE4,3.9,runner,kept,3.9
78,2020-01-20 03:00,2020,UNKNOWN,2.87,LE4,-1.1,stop,kept,-1.1
116,2020-01-28 15:00,2020,UNKNOWN,1.78,LE4,-1.1,stop,kept,-1.1
130,2020-01-30 23:00,2020,UNKNOWN,1.47,LE4,0.79,be,kept,0.79
140,2020-02-03 15:00,2020,UNKNOWN,0.8,LE4,-1.1,stop,kept,-1.1
149,2020-02-05 03:00,2020,UNKNOWN,0.51,LE4,-1.1,stop,kept,-1.1
159,2020-02-06 19:00,2020,UNKNOWN,3.07,LE4,2.34,time,kept,2.34
217,2020-02-20 15:00,2020,UNKNOWN,8.01,GT4,0.75,time,REJECTED,0.9
237,2020-02-25 23:00,2020,UNKNOWN,4.34,GT4,0.13,time,REJECTED,-1.1
287,2020-03-09 06:00,2020,UNKNOWN,5.09,GT4,-1.1,stop,REJECTED,-1.1
351,2020-03-23 22:00,2020,UNKNOWN,5.3,GT4,0.64,time,REJECTED,0.87
383,2020-03-31 06:00,2020,UNKNOWN,11.38,GT4,0.61,time,REJECTED,1.91
391,2020-04-01 14:00,2020,UNKNOWN,8.36,GT4,0.91,time,REJECTED,1.95
420,2020-04-08 10:00,2020,BOM,5.63,GT4,0.79,time,REJECTED,1.15
458,2020-04-17 18:00,2020,UNKNOWN,2.85,LE4,0.32,time,kept,0.32
493,2020-04-27 14:00,2020,UNKNOWN,0.3,LE4,0.9,be,kept,0.9
521,2020-05-04 06:00,2020,UNKNOWN,2.96,LE4,1.37,time,kept,1.37
542,2020-05-07 18:00,2020,UNKNOWN,3.29,LE4,0.22,time,kept,0.22
583,2020-05-18 14:00,2020,UNKNOWN,3.31,LE4,0.09,time,kept,0.09
600,2020-05-21 10:00,2020,NAO,1.04,LE4,-1.1,stop,kept,-1.1
631,2020-05-28 18:00,2020,UNKNOWN,2.68,LE4,-1.1,stop,kept,-1.1
685,2020-06-10 18:00,2020,UNKNOWN,6.6,GT4,0.23,time,REJECTED,0.45
730,2020-06-22 06:00,2020,BOM,3.88,LE4,0.99,time,kept,0.99
766,2020-06-30 06:00,2020,UNKNOWN,3.04,LE4,1.54,time,kept,1.54
780,2020-07-02 14:00,2020,UNKNOWN,1.44,LE4,1.64,time,kept,1.64
833,2020-07-15 14:00,2020,UNKNOWN,2.86,LE4,3.9,runner,kept,3.9
845,2020-07-17 14:00,2020,UNKNOWN,2.9,LE4,3.9,runner,kept,3.9
866,2020-07-23 02:00,2020,UNKNOWN,6.94,GT4,2.09,time,REJECTED,2.96
886,2020-07-28 10:00,2020,BOM,7.11,GT4,-0.04,time,REJECTED,0.0
901,2020-07-30 22:00,2020,UNKNOWN,1.72,LE4,0.9,be,kept,0.9
919,2020-08-04 22:00,2020,UNKNOWN,4.83,GT4,-1.1,stop,REJECTED,-1.1
934,2020-08-07 10:00,2020,UNKNOWN,5.32,GT4,-1.1,stop,REJECTED,-1.1
970,2020-08-17 10:00,2020,UNKNOWN,6.81,GT4,-0.13,time,REJECTED,-1.1
1027,2020-08-30 22:00,2020,UNKNOWN,3.91,LE4,-1.1,stop,kept,-1.1
1116,2020-09-20 22:00,2020,NAO,1.8,LE4,-1.1,stop,kept,-1.1
1168,2020-10-01 14:00,2020,NAO,5.29,GT4,-0.12,time,REJECTED,-0.12
1200,2020-10-08 22:00,2020,UNKNOWN,3.32,LE4,-0.16,time,kept,-0.16
1211,2020-10-12 18:00,2020,UNKNOWN,4.48,GT4,-0.59,time,REJECTED,-1.1
1221,2020-10-14 10:00,2020,UNKNOWN,2.88,LE4,-1.1,stop,kept,-1.1
1308,2020-11-03 23:00,2020,BOM,3.53,LE4,0.9,be,kept,0.9
1316,2020-11-05 07:00,2020,UNKNOWN,2.93,LE4,-1.1,stop,kept,-1.1
1326,2020-11-08 23:00,2020,UNKNOWN,6.83,GT4,-1.1,stop,REJECTED,-1.1
1353,2020-11-13 11:00,2020,UNKNOWN,3.86,LE4,-1.1,stop,kept,-1.1
1429,2020-12-02 11:00,2020,BOM,4.76,GT4,0.55,time,REJECTED,0.67
1497,2020-12-17 19:00,2020,UNKNOWN,3.89,LE4,1.2,time,kept,1.2
1522,2020-12-23 23:00,2020,UNKNOWN,2.35,LE4,0.9,be,kept,0.9
1568,2021-01-06 19:00,2021,UNKNOWN,3.68,LE4,-1.1,stop,kept,-1.1
1623,2021-01-20 03:00,2021,UNKNOWN,5.28,GT4,-0.37,time,REJECTED,-0.46
1661,2021-01-28 11:00,2021,UNKNOWN,2.35,LE4,-1.1,stop,kept,-1.1
1761,2021-02-22 07:00,2021,UNKNOWN,3.37,LE4,-1.1,stop,kept,-1.1
1775,2021-02-24 15:00,2021,UNKNOWN,0.3,LE4,0.9,be,kept,0.9
1841,2021-03-11 15:00,2021,NAO,1.84,LE4,-1.1,stop,kept,-1.1
1873,2021-03-18 22:00,2021,UNKNOWN,3.15,LE4,-1.1,stop,kept,-1.1
1901,2021-03-25 14:00,2021,UNKNOWN,0.55,LE4,-1.1,stop,kept,-1.1
1967,2021-04-12 14:00,2021,BOM,0.3,LE4,-1.1,stop,kept,-1.1
2046,2021-04-29 18:00,2021,BOM,1.08,LE4,0.9,be,kept,0.9
2053,2021-05-02 22:00,2021,UNKNOWN,1.83,LE4,3.32,time,kept,3.32
2100,2021-05-12 18:00,2021,UNKNOWN,4.79,GT4,1.78,time,REJECTED,1.95
2110,2021-05-14 10:00,2021,UNKNOWN,3.03,LE4,1.86,time,kept,1.86
2174,2021-05-31 02:00,2021,UNKNOWN,4.35,GT4,-1.1,stop,REJECTED,-1.1
2188,2021-06-02 14:00,2021,UNKNOWN,2.06,LE4,-1.1,stop,kept,-1.1
2204,2021-06-07 06:00,2021,UNKNOWN,2.77,LE4,-1.1,stop,kept,-1.1
2222,2021-06-10 06:00,2021,UNKNOWN,3.45,LE4,-1.1,stop,kept,-1.1
2338,2021-07-07 18:00,2021,NAO,6.84,GT4,-0.11,time,REJECTED,-0.11
2364,2021-07-14 02:00,2021,UNKNOWN,2.75,LE4,-1.1,stop,kept,-1.1
2372,2021-07-15 10:00,2021,UNKNOWN,4.48,GT4,-1.1,stop,REJECTED,-1.1
2428,2021-07-28 18:00,2021,UNKNOWN,1.93,LE4,-1.1,stop,kept,-1.1
2488,2021-08-11 18:00,2021,UNKNOWN,3.91,LE4,1.02,time,kept,1.02
2497,2021-08-13 06:00,2021,UNKNOWN,6.11,GT4,0.83,time,REJECTED,1.32
2544,2021-08-25 02:00,2021,UNKNOWN,2.89,LE4,0.9,be,kept,0.9
2663,2021-09-22 02:00,2021,UNKNOWN,5.3,GT4,-1.1,stop,REJECTED,-1.1
2705,2021-10-01 02:00,2021,UNKNOWN,3.56,LE4,1.19,time,kept,1.19
2737,2021-10-08 10:00,2021,UNKNOWN,2.58,LE4,-1.1,stop,kept,-1.1
2747,2021-10-12 02:00,2021,UNKNOWN,1.3,LE4,0.9,be,kept,0.9
2859,2021-11-05 18:00,2021,UNKNOWN,6.32,GT4,0.36,time,REJECTED,0.63
2896,2021-11-15 23:00,2021,UNKNOWN,2.89,LE4,-1.1,stop,kept,-1.1
2905,2021-11-17 11:00,2021,UNKNOWN,2.53,LE4,-1.1,stop,kept,-1.1
2922,2021-11-22 07:00,2021,UNKNOWN,6.04,GT4,-1.1,stop,REJECTED,-1.1
2944,2021-11-26 03:00,2021,UNKNOWN,3.55,LE4,-1.1,stop,kept,-1.1
2991,2021-12-08 03:00,2021,UNKNOWN,4.22,GT4,-1.1,stop,REJECTED,-1.1
3011,2021-12-13 11:00,2021,UNKNOWN,2.82,LE4,-1.1,stop,kept,-1.1
3042,2021-12-20 15:00,2021,BOM,6.01,GT4,0.43,time,REJECTED,0.7
3070,2021-12-28 07:00,2021,UNKNOWN,6.04,GT4,-1.1,stop,REJECTED,-1.1
3085,2021-12-30 19:00,2021,UNKNOWN,3.94,LE4,-1.1,stop,kept,-1.1
3102,2022-01-04 15:00,2022,UNKNOWN,2.23,LE4,-1.1,stop,kept,-1.1
3118,2022-01-07 07:00,2022,UNKNOWN,0.32,LE4,-1.1,stop,kept,-1.1
3132,2022-01-11 15:00,2022,BOM,4.93,GT4,0.74,time,REJECTED,0.94
3147,2022-01-14 03:00,2022,UNKNOWN,8.1,GT4,-0.76,time,REJECTED,-1.1
3162,2022-01-18 15:00,2022,UNKNOWN,0.3,LE4,-1.1,stop,kept,-1.1
3178,2022-01-21 07:00,2022,UNKNOWN,3.84,LE4,-1.1,stop,kept,-1.1
3190,2022-01-25 07:00,2022,UNKNOWN,1.3,LE4,-1.1,stop,kept,-1.1
3219,2022-02-01 03:00,2022,UNKNOWN,3.25,LE4,2.66,time,kept,2.66
3238,2022-02-04 07:00,2022,UNKNOWN,3.91,LE4,2.41,time,kept,2.41
3252,2022-02-08 15:00,2022,UNKNOWN,5.89,GT4,1.84,time,REJECTED,2.28
3326,2022-02-24 23:00,2022,BOM,1.38,LE4,-1.1,stop,kept,-1.1
3443,2022-03-24 10:00,2022,UNKNOWN,4.27,GT4,-1.1,stop,REJECTED,-1.1
3474,2022-03-31 14:00,2022,UNKNOWN,5.08,GT4,0.38,time,REJECTED,0.51
3491,2022-04-05 10:00,2022,UNKNOWN,2.86,LE4,0.9,be,kept,0.9
3534,2022-04-14 14:00,2022,NAO,5.41,GT4,-1.1,stop,REJECTED,-1.1
3622,2022-05-06 06:00,2022,UNKNOWN,2.64,LE4,-1.1,stop,kept,-1.1
3678,2022-05-19 14:00,2022,UNKNOWN,3.54,LE4,0.66,time,kept,0.66
3773,2022-06-10 10:00,2022,UNKNOWN,0.83,LE4,3.9,runner,kept,3.9
3799,2022-06-16 18:00,2022,UNKNOWN,4.44,GT4,-1.1,stop,REJECTED,-1.1
3825,2022-06-23 02:00,2022,UNKNOWN,1.56,LE4,-1.1,stop,kept,-1.1
3836,2022-06-26 22:00,2022,UNKNOWN,1.37,LE4,-1.1,stop,kept,-1.1
3929,2022-07-18 10:00,2022,UNKNOWN,2.06,LE4,-1.1,stop,kept,-1.1
3949,2022-07-21 18:00,2022,UNKNOWN,1.53,LE4,3.54,time,kept,3.54
4095,2022-08-25 02:00,2022,UNKNOWN,3.8,LE4,-1.1,stop,kept,-1.1
4252,2022-09-30 06:00,2022,BOM,4.68,GT4,-0.35,time,REJECTED,-0.39
4309,2022-10-13 18:00,2022,UNKNOWN,0.51,LE4,-1.1,stop,kept,-1.1
4346,2022-10-23 22:00,2022,UNKNOWN,3.01,LE4,-1.1,stop,kept,-1.1
4372,2022-10-28 06:00,2022,UNKNOWN,1.37,LE4,-1.1,stop,kept,-1.1
4384,2022-11-01 06:00,2022,UNKNOWN,1.6,LE4,-1.1,stop,kept,-1.1
4409,2022-11-07 11:00,2022,BOM,5.92,GT4,0.86,time,REJECTED,1.61
4429,2022-11-10 19:00,2022,UNKNOWN,4.33,GT4,-0.11,time,REJECTED,-0.11
4483,2022-11-23 19:00,2022,UNKNOWN,2.13,LE4,1.82,time,kept,1.82
4513,2022-11-30 23:00,2022,UNKNOWN,3.97,LE4,0.49,time,kept,0.49
4560,2022-12-12 19:00,2022,BOM,2.04,LE4,0.9,be,kept,0.9
4574,2022-12-15 03:00,2022,UNKNOWN,1.8,LE4,-1.1,stop,kept,-1.1
4609,2022-12-22 23:00,2022,UNKNOWN,1.24,LE4,3.9,runner,kept,3.9
4644,2023-01-03 19:00,2023,BOM,4.43,GT4,1.69,time,REJECTED,1.78
4677,2023-01-11 07:00,2023,UNKNOWN,2.32,LE4,2.05,time,kept,2.05
4763,2023-01-31 15:00,2023,UNKNOWN,1.26,LE4,0.9,be,kept,0.9
4899,2023-03-03 07:00,2023,UNKNOWN,2.65,LE4,-1.1,stop,kept,-1.1
4908,2023-03-06 19:00,2023,UNKNOWN,2.79,LE4,-1.1,stop,kept,-1.1
4918,2023-03-08 11:00,2023,UNKNOWN,2.3,LE4,3.9,runner,kept,3.9
