idx,entry_ts,entry,sl_atr,stopLevel_ticks,profitLevel_ticks,classification,label_color,long_position_entity_id,label_entity_id
55,2020-01-14 07:00,1545.06,4.53,2909,5818,SCRATCH,#787B86,z3Nfkn,dsQNiZ
78,2020-01-20 03:00,1561.52,2.87,1397,2793,STOP,#cc0000,3biW89,En5ID0
116,2020-01-28 15:00,1569.64,1.78,1387,2774,STOP,#cc0000,58qf3Y,w7GbPX
130,2020-01-30 23:00,1572.31,1.47,957,1914,WIN,#1a8917,8zFAI6,h22Z4l
140,2020-02-03 15:00,1576.49,0.8,633,1266,STOP,#cc0000,Mnj8WA,lQHECd
149,2020-02-05 03:00,1559.59,1.87,1400,2800,WIN,#1a8917,JUrXBE,oSc3F4
159,2020-02-06 19:00,1566.66,2.29,1477,2955,WIN,#1a8917,IWn933,UIcLzD
237,2020-02-25 23:00,1640.25,0.49,902,1803,STOP,#cc0000,2uZou1,En8cwP
287,2020-03-09 06:00,1665.14,1.24,2531,5061,STOP,#cc0000,daQj7U,8qwsay
351,2020-03-23 22:00,1572.68,4.22,9559,19118,SCRATCH,#787B86,t6aX0l,4G2oKi
383,2020-03-31 06:00,1606.56,11.38,15317,30633,SCRATCH,#787B86,I5SZ0t,MwiDMW
391,2020-04-01 14:00,1582.37,1.03,1585,3169,WIN,#1a8917,lGIkGm,Rp8Oxj
458,2020-04-17 18:00,1681.43,2.85,4249,8498,SCRATCH,#787B86,tmLwjW,t6p1V5
493,2020-04-27 14:00,1711.67,0.3,311,622,WIN,#1a8917,wuKYjK,PCW7ur
521,2020-05-04 06:00,1707.14,2.96,3813,7625,SCRATCH,#787B86,DsXFh1,5WdGtx
542,2020-05-07 18:00,1715.73,3.29,3536,7073,SCRATCH,#787B86,d5E5sp,Xy6TrZ
583,2020-05-18 14:00,1731.95,5.05,6290,12579,SCRATCH,#787B86,H2T5lE,Lr8IAW
597,2020-05-20 22:00,1743.95,2.34,1894,3788,STOP,#cc0000,oCkELB,KFnMtc
631,2020-05-28 18:00,1717.98,2.68,2525,5051,STOP,#cc0000,DVQU9b,7Qxniz
685,2020-06-10 18:00,1738.41,4.53,4722,9444,SCRATCH,#787B86,qKw7ES,grQhNJ
702,2020-06-15 14:00,1722.29,1.38,1554,3109,WIN,#1a8917,q6AJf5,MFA4Cs
766,2020-06-30 06:00,1770.39,3.04,2374,4748,WIN,#1a8917,3Rf6gm,OV2Q8M
780,2020-07-02 14:00,1776.95,2.01,1875,3750,WIN,#1a8917,orwg30,JAr1zQ
833,2020-07-15 14:00,1811.22,2.86,2154,4309,WIN,#1a8917,FE1T48,rEeMct
845,2020-07-17 14:00,1810.96,2.9,1663,3327,WIN,#1a8917,y8KsvL,RDaoMk
886,2020-07-28 10:00,1934.93,7.11,14203,28406,SCRATCH,#787B86,OWhgvF,rRpsLg
901,2020-07-30 22:00,1965.13,1.72,2516,5033,WIN,#1a8917,uBmbvw,tC5u2t
934,2020-08-07 10:00,2046.15,4.89,8026,16052,STOP,#cc0000,j3FVOu,F18POX
970,2020-08-17 10:00,1972.76,6.81,11182,22364,SCRATCH,#787B86,yjFBjT,1sNOjM
1027,2020-08-30 22:00,1971.96,3.91,6361,12722,STOP,#cc0000,rZ311N,N0VzKE
1072,2020-09-09 14:00,1945.95,3.16,4081,8163,STOP,#cc0000,f5OUPL,piI8UV
1151,2020-09-28 18:00,1881.56,2.7,3410,6820,SCRATCH,#787B86,PqIwCQ,H2iZpx
1200,2020-10-08 22:00,1906.54,3.32,3473,6947,SCRATCH,#787B86,yJJfjH,3BFGiN
1211,2020-10-12 18:00,1922.49,4.48,4151,8301,SCRATCH,#787B86,fa0oJQ,xJQoeY
1221,2020-10-14 10:00,1912.26,2.88,3144,6288,STOP,#cc0000,SGd7cs,01gqwU
1298,2020-11-02 07:00,1888.35,2.92,2942,5884,WIN,#1a8917,hcOhW3,bKcUAl
1316,2020-11-05 07:00,1918.17,2.93,3737,7473,STOP,#cc0000,bLs4ik,G8DOJQ
1326,2020-11-08 23:00,1957.25,6.83,7629,15257,STOP,#cc0000,J0gXyK,XRd5NJ
1353,2020-11-13 11:00,1891.33,3.86,3580,7159,STOP,#cc0000,Kz9BcR,GzjsSn
1429,2020-12-02 11:00,1818.52,4.76,5537,11075,SCRATCH,#787B86,F0PeCh,MVxIk1
1497,2020-12-17 19:00,1885.39,3.89,4168,8336,SCRATCH,#787B86,xlpKd6,GTd2Q3
1522,2020-12-23 23:00,1876.96,1.96,1902,3804,WIN,#1a8917,7ytc7p,1T7ugr
1568,2021-01-06 19:00,1918.77,3.18,4409,8817,STOP,#cc0000,Qnm2WK,MVpt4q
1623,2021-01-20 03:00,1852.75,2.08,2068,4136,STOP,#cc0000,YZcwMo,oyUBdD
1661,2021-01-28 11:00,1854.61,2.35,2434,4867,STOP,#cc0000,E5g7k9,6Ecocv
