episode_id,entry_ts,SL_ATR,model,visual_label,BOM_NAO_UNK,baseline_R,structural_R,cap4_reject,cap4_clamp_R,reason
idx6489,2024-03-13 10:00,15.04,M5_SWING_ORIGIN,,UNKNOWN,-1.1,0.1,REJECTED,0.64,unknown — needs visual/better entry
idx5965,2023-11-08 23:00,13.32,M5_SWING_ORIGIN,,BOM,-1.1,0.44,REJECTED,1.79,big V-reversal / estrutura larga válida (monumental)
E16,2020-03-31 06:00,11.38,M5_SWING_ORIGIN,NEEDS_SECOND_REVIEW,UNKNOWN,-1.1,0.61,REJECTED,1.91,unknown — needs visual/better entry
idx6471,2024-03-08 11:00,11.37,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.05,REJECTED,0.04,unknown — needs visual/better entry
idx5842,2023-10-11 10:00,9.23,M5_SWING_ORIGIN,,UNKNOWN,3.9,1.8,REJECTED,2.99,unknown — needs visual/better entry
idx8923,2025-10-08 10:00,9.18,M5_SWING_ORIGIN,,UNKNOWN,-1.1,0.07,REJECTED,0.9,unknown — needs visual/better entry
E17,2020-04-01 14:00,8.36,M5_SWING_ORIGIN,TRUE_L2_STRUCTURAL_SETUP,UNKNOWN,3.9,0.91,REJECTED,1.95,unknown — needs visual/better entry
idx8589,2025-07-22 18:00,8.21,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx3147,2022-01-14 03:00,8.1,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.76,REJECTED,-1.1,unknown — needs visual/better entry
E14,2020-02-20 15:00,8.01,M5_SWING_ORIGIN,NEEDS_SECOND_REVIEW,UNKNOWN,0.9,0.75,REJECTED,0.9,unknown — needs visual/better entry
idx6977,2024-07-05 18:00,7.98,M5_SWING_ORIGIN,,UNKNOWN,1.01,0.03,REJECTED,-1.1,unknown — needs visual/better entry
idx5875,2023-10-18 22:00,7.89,M5_SWING_ORIGIN,,UNKNOWN,2.24,0.37,REJECTED,0.82,unknown — needs visual/better entry
idx6453,2024-03-05 11:00,7.62,M5_SWING_ORIGIN,,UNKNOWN,1.26,0.13,REJECTED,0.33,unknown — needs visual/better entry
idx8858,2025-09-23 14:00,7.48,M5_SWING_ORIGIN,,UNKNOWN,-1.1,1.24,REJECTED,2.15,unknown — needs visual/better entry
idx8111,2025-03-31 22:00,7.39,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx7426,2024-10-18 14:00,7.33,M5_SWING_ORIGIN,,UNKNOWN,1.26,0.16,REJECTED,0.37,unknown — needs visual/better entry
idx7577,2024-11-22 19:00,7.23,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx9329,2026-01-14 07:00,7.21,M5_SWING_ORIGIN,,UNKNOWN,-1.1,2.29,REJECTED,3.41,unknown — needs visual/better entry
idx886,2020-07-28 10:00,7.11,M5_SWING_ORIGIN,,BOM,1.04,-0.04,REJECTED,0.0,big V-reversal / estrutura larga válida (monumental)
idx4964,2023-03-20 02:00,7.05,M5_SWING_ORIGIN,,UNKNOWN,-0.65,-0.43,REJECTED,-0.68,unknown — needs visual/better entry
E22,2020-07-23 02:00,6.94,M5_SWING_ORIGIN,VALID_SETUP_BAD_SL,UNKNOWN,3.9,2.09,REJECTED,2.96,unknown — needs visual/better entry
idx6049,2023-11-29 03:00,6.92,M5_SWING_ORIGIN,,UNKNOWN,0.9,-1.1,REJECTED,0.9,unknown — needs visual/better entry
idx2338,2021-07-07 18:00,6.84,M5_SWING_ORIGIN,,NAO,-1.1,-0.11,REJECTED,-0.11,unknown — needs visual/better entry
E9,2020-11-08 23:00,6.83,M5_SWING_ORIGIN,MACRO_BEAR_NO_LONG,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,top/exhaustion
E33,2020-08-17 10:00,6.81,M5_SWING_ORIGIN,NEEDS_SECOND_REVIEW,UNKNOWN,-1.1,-0.13,REJECTED,-1.1,unknown — needs visual/better entry
idx5042,2023-04-06 02:00,6.73,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.41,REJECTED,-1.1,unknown — needs visual/better entry
E3,2020-06-10 18:00,6.6,M5_SWING_ORIGIN,VALID_SETUP_BAD_SL,UNKNOWN,-1.1,0.23,REJECTED,0.45,unknown — needs visual/better entry
idx7022,2024-07-17 06:00,6.38,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx2859,2021-11-05 18:00,6.32,M5_SWING_ORIGIN,,UNKNOWN,0.72,0.36,REJECTED,0.63,unknown — needs visual/better entry
