cluster_id,bar_idx,datetime,flush,clean_sky,demand,acceptance,weekly,cascade,mfe_R,is_hard_cluster,block_type,block_decision
0,55,2020-01-14,MIXED_DECLINE,False,DEMAND_TOO_DEEP,BROKE_SUPPORT,0.096,1.0,5.0,0,BULL_PULLBACK,REVIEW
1,78,2020-01-20,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.096,3.0,1.0,1,MARKUP_CONTINUATION,TAKE
1,159,2020-02-06,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.313,1.0,12.7,1,MARKUP_CONTINUATION,TAKE
1,287,2020-03-09,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.606,3.0,0.8,1,REVERSAL_RUNNER,TAKE
1,919,2020-08-04,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.87,2.0,3.3,1,MARKUP_CONTINUATION,TAKE
1,1072,2020-09-09,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.915,2.0,1.4,1,BULL_PULLBACK,REVIEW
1,1429,2020-12-02,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.333,-1.0,6.0,1,LEGITIMATE_BEAR_BUY,REVIEW
1,1623,2021-01-20,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.245,-2.0,0.3,1,LEGITIMATE_BEAR_BUY,TAKE
1,1941,2021-04-06,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.448,-1.0,6.0,1,RANGE_ABSORPTION,REVIEW
1,2174,2021-05-31,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.078,2.0,0.8,1,MARKUP_CONTINUATION,TAKE
1,2320,2021-07-02,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.382,1.0,3.6,1,MARKUP_CONTINUATION,TAKE
1,2488,2021-08-11,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.05,-3.0,6.2,1,LEGITIMATE_BEAR_BUY,TAKE
1,2944,2021-11-26,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.054,2.0,1.5,1,LEGITIMATE_BEAR_BUY,TAKE
1,3070,2021-12-28,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.096,2.0,0.3,1,MARKUP_CONTINUATION,TAKE
1,3126,2022-01-10,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.085,-2.0,5.0,1,RANGE_ABSORPTION,SKIP
1,3443,2022-03-24,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.415,3.0,0.8,1,MARKUP_CONTINUATION,TAKE
1,3491,2022-04-05,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.545,2.0,0.0,1,BULL_PULLBACK,TAKE
1,3509,2022-04-08,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.545,3.0,4.6,1,MARKUP_CONTINUATION,TAKE
1,5478,2023-07-18,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.065,0.0,0.8,1,MARKUP_CONTINUATION,TAKE
1,5826,2023-10-06,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.207,-3.0,16.7,1,LEGITIMATE_BEAR_BUY,REVIEW
1,6049,2023-11-29,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.215,3.0,0.4,1,BULL_PULLBACK,TAKE
1,6295,2024-01-29,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.457,0.0,3.7,1,RANGE_ABSORPTION,TAKE
1,6376,2024-02-15,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.312,-1.0,14.8,1,LEGITIMATE_BEAR_BUY,REVIEW
1,6471,2024-03-08,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.259,3.0,1.3,1,MARKUP_CONTINUATION,TAKE
1,6597,2024-04-09,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.636,3.0,0.3,1,MARKUP_CONTINUATION,TAKE
1,7119,2024-08-08,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.224,2.0,5.4,1,BULL_PULLBACK_CONTINUATION,TAKE
1,7569,2024-11-21,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.721,0.0,2.9,1,MARKUP_CONTINUATION,TAKE
1,7816,2025-01-21,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.092,3.0,10.9,1,MARKUP_CONTINUATION,TAKE
1,7902,2025-02-11,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.255,3.0,0.0,1,MARKUP_CONTINUATION,TAKE
1,8149,2025-04-09,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.014,2.0,9.5,1,BULL_PULLBACK,TAKE
1,8431,2025-06-16,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.041,3.0,0.0,1,BULL_PULLBACK,TAKE
1,8544,2025-07-11,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.77,1.0,1.8,1,MARKUP_CONTINUATION,TAKE
1,8635,2025-08-01,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.435,-1.0,2.8,1,LEGITIMATE_BEAR_BUY,REVIEW
1,8823,2025-09-15,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.374,3.0,1.1,1,MARKUP_CONTINUATION,TAKE
1,8893,2025-10-01,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.67,2.0,0.6,1,BULL_PULLBACK,TAKE
1,9081,2025-11-13,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.376,3.0,1.4,1,BULL_PULLBACK,REVIEW
1,9287,2026-01-05,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.262,2.0,18.9,1,BULL_PULLBACK,TAKE
1,9368,2026-01-22,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.204,3.0,8.2,1,MARKUP_CONTINUATION,TAKE
1,9727,2026-04-17,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.607,-1.0,0.1,1,LEGITIMATE_BEAR_BUY,TAKE
2,116,2020-01-28,GRIND_DOWN,False,DEMAND_ORIGIN_OF_LEG,HOLDING_SUPPORT,0.244,3.0,0.0,0,BULL_PULLBACK,TAKE
3,130,2020-01-30,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.244,1.0,10.5,1,BULL_PULLBACK,REVIEW
3,1221,2020-10-14,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.615,-1.0,0.0,1,BEAR_PULLBACK_TRAP,SKIP
3,3029,2021-12-16,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.091,-1.0,2.9,1,LEGITIMATE_BEAR_BUY,TAKE
3,5055,2023-04-11,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.514,1.0,2.8,1,BULL_PULLBACK,TAKE
3,6729,2024-05-09,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.978,1.0,7.4,1,BULL_PULLBACK,TAKE
3,7993,2025-03-04,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.475,3.0,0.6,1,SUPPLY_REJECTION,TAKE
3,8497,2025-07-01,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.824,0.0,0.6,1,LEGITIMATE_BEAR_BUY,REVIEW
3,9314,2026-01-09,GRIND_DOWN,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,1.182,2.0,24.9,1,MARKUP_CONTINUATION,TAKE
4,140,2020-02-03,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.244,3.0,0.4,1,BULL_PULLBACK,TAKE
4,597,2020-05-20,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.601,2.0,0.0,1,BULL_PULLBACK,TAKE
4,780,2020-07-02,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.616,2.0,14.6,1,MARKUP_CONTINUATION,TAKE
4,5103,2023-04-21,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.511,3.0,0.0,1,BULL_PULLBACK,REVIEW
4,7149,2024-08-15,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.22,2.0,7.7,1,UNKNOWN_CONFLICT,REVIEW
4,7838,2025-01-27,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,0.092,3.0,0.0,1,BULL_PULLBACK,REVIEW
4,9304,2026-01-08,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,1.182,1.0,0.3,1,BULL_PULLBACK,SKIP
4,9512,2026-02-25,MIXED_DECLINE,False,DEMAND_PRESENT_NEUTRAL,HOLDING_SUPPORT,1.418,1.0,5.2,1,BULL_PULLBACK,REVIEW
5,149,2020-02-05,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.313,1.0,0.0,1,LEGITIMATE_BEAR_BUY,TAKE
5,391,2020-04-01,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.503,0.0,10.4,1,DISTRIBUTION_TOP,SKIP
5,845,2020-07-17,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.688,1.0,30.7,1,MARKUP_CONTINUATION,TAKE
5,7053,2024-07-24,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.351,3.0,0.6,1,BULL_PULLBACK_CONTINUATION,TAKE
5,7509,2024-11-07,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.862,1.0,0.6,1,LEGITIMATE_BEAR_BUY,TAKE
5,8403,2025-06-09,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,1.052,1.0,3.6,1,LEGITIMATE_BEAR_BUY,TAKE
5,9105,2025-11-19,GRIND_DOWN,True,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,1.383,2.0,0.0,1,BULL_PULLBACK,SKIP
6,217,2020-02-20,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.491,3.0,6.5,1,MARKUP_CONTINUATION,REVIEW
6,866,2020-07-23,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.829,3.0,12.6,1,MARKUP_CONTINUATION,REVIEW
6,1151,2020-09-28,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.799,1.0,2.7,1,BEAR_PULLBACK_TRAP,SKIP
6,6119,2023-12-14,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.338,3.0,0.6,1,REVERSAL_RUNNER,REVIEW
6,6523,2024-03-21,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.364,2.0,0.4,1,MARKUP_CONTINUATION,TAKE
6,6908,2024-06-20,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.807,1.0,2.9,1,MARKUP_CONTINUATION,TAKE
6,7022,2024-07-17,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.41,3.0,0.4,1,MARKUP_CONTINUATION,REVIEW
6,8157,2025-04-10,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,1.014,3.0,6.4,1,MARKUP_CONTINUATION,REVIEW
6,8765,2025-09-02,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.274,3.0,15.3,1,MARKUP_CONTINUATION,REVIEW
6,9243,2025-12-22,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,1.373,2.0,2.8,1,MARKUP_CONTINUATION,REVIEW
6,9345,2026-01-18,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,1.12,1.0,17.1,1,MARKUP_CONTINUATION,TAKE
6,9390,2026-01-28,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,1.229,2.0,3.8,1,MARKUP_CONTINUATION,REVIEW
7,237,2020-02-25,GRIND_DOWN,True,DEMAND_PRESENT_NEUTRAL,BROKE_SUPPORT,0.505,3.0,1.2,0,BULL_PULLBACK,REVIEW
8,351,2020-03-23,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.499,-1.0,5.1,1,BEAR_PULLBACK_TRAP,SKIP
8,413,2020-04-07,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.536,3.0,4.9,1,MARKUP_CONTINUATION,REVIEW
8,542,2020-05-07,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.54,1.0,0.5,1,MARKUP_CONTINUATION,TAKE
8,685,2020-06-10,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.588,2.0,0.1,1,MARKUP_CONTINUATION,TAKE
8,1497,2020-12-17,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.371,-1.0,1.3,1,SUPPLY_REJECTION,SKIP
8,2204,2021-06-07,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.191,2.0,1.2,1,LEGITIMATE_BEAR_BUY,TAKE
8,3799,2022-06-16,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.146,-1.0,0.0,1,SUPPLY_REJECTION,SKIP
8,3929,2022-07-18,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.622,-3.0,0.1,1,BEAR_PULLBACK_TRAP,SKIP
8,4095,2022-08-25,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.575,-1.0,0.8,1,MARKUP_CONTINUATION,REVIEW
8,4243,2022-09-28,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.582,-2.0,0.0,1,REVERSAL_RUNNER,TAKE
