episode_id,context_label,specialist_id,positive_evidence_count,negative_evidence_count,veto_count,review_flag_count,decisive_factors,unresolved_conflicts
55,,bubbles,3,0,0,0,bub_buy_total,
78,,bubbles,3,1,0,0,bub_buy_total,
116,,bubbles,5,0,0,0,bub_buy_total,
130,,bubbles,2,0,0,0,bub_buy_total,
140,,bubbles,3,1,0,0,bub_buy_total,
149,,bubbles,5,0,0,0,bub_buy_sell_ratio,
159,,bubbles,0,0,0,0,bub_buy_sell_ratio,
217,,bubbles,1,3,0,0,bub_buy_L,
237,,bubbles,1,0,0,0,bub_buy_sell_ratio,
287,,bubbles,2,3,0,0,bub_buy_L,
351,,bubbles,4,1,0,0,bub_buy_total,
383,,bubbles,0,0,0,0,bub_buy_sell_ratio,
391,,bubbles,0,0,0,0,bub_buy_sell_ratio,
413,,bubbles,2,3,0,0,bub_buy_L,
458,,bubbles,3,1,0,0,bub_buy_total,
493,,bubbles,3,1,0,0,bub_buy_total,
521,,bubbles,4,0,0,0,bub_buy_total,
542,,bubbles,2,1,0,0,bub_buy_total,
583,,bubbles,2,1,0,0,bub_buy_total,
597,,bubbles,1,1,0,0,bub_buy_total,
631,,bubbles,4,0,0,0,bub_buy_sell_ratio,
685,,bubbles,4,1,0,0,bub_buy_total,
702,,bubbles,5,0,0,0,bub_buy_total,
766,,bubbles,2,0,0,0,bub_buy_total,
780,,bubbles,3,1,0,0,bub_buy_total,
833,,bubbles,1,3,0,0,bub_buy_total,
845,,bubbles,3,0,0,0,bub_buy_total,
866,,bubbles,2,3,0,0,bub_buy_L,
886,,bubbles,2,1,0,0,bub_buy_total,
901,,bubbles,2,2,0,0,bub_buy_total,
919,,bubbles,3,1,0,0,bub_buy_total,
934,,bubbles,1,3,0,0,bub_buy_L,
970,,bubbles,0,0,0,0,bub_buy_sell_ratio,
1027,,bubbles,1,1,0,0,bub_buy_total,
1072,,bubbles,3,0,0,0,bub_buy_sell_ratio,
1151,,bubbles,3,0,0,0,bub_buy_sell_ratio,
1200,,bubbles,2,0,0,0,bub_buy_total,
1211,,bubbles,2,3,0,0,bub_buy_L,
1221,,bubbles,2,1,0,0,bub_buy_total,
1298,,bubbles,4,0,0,0,bub_buy_sell_ratio,
1316,,bubbles,3,1,0,0,bub_buy_total,
1326,,bubbles,2,3,0,0,bub_buy_total,
1353,,bubbles,4,1,0,0,bub_buy_total,
1429,,bubbles,3,1,0,0,bub_buy_total,
1497,,bubbles,3,2,0,0,bub_buy_total,
1522,,bubbles,2,0,0,0,bub_buy_total,
1568,,bubbles,2,2,0,0,bub_buy_total,
1623,,bubbles,0,0,0,0,bub_buy_sell_ratio,
1661,,bubbles,5,0,0,0,bub_buy_sell_ratio,
1761,,bubbles,3,0,0,0,bub_buy_sell_ratio,
1775,,bubbles,0,0,0,0,bub_buy_sell_ratio,
1836,,bubbles,4,1,0,0,bub_buy_total,
1873,,bubbles,4,1,0,0,bub_buy_total,
1901,,bubbles,0,0,0,0,bub_buy_sell_ratio,
1941,,bubbles,2,0,0,0,bub_buy_total,
2034,,bubbles,0,0,0,0,bub_buy_sell_ratio,
2053,,bubbles,1,0,0,0,bub_buy_sell_ratio,
2100,,bubbles,3,1,0,0,bub_buy_total,
2110,,bubbles,3,2,0,0,bub_buy_total,
2174,,bubbles,2,1,0,0,bub_buy_total,
2188,,bubbles,0,0,0,0,bub_buy_sell_ratio,
2204,,bubbles,3,0,0,0,bub_buy_sell_ratio,
2222,,bubbles,0,0,0,0,bub_buy_sell_ratio,
2320,,bubbles,3,1,0,0,bub_buy_total,
2364,,bubbles,2,0,0,0,bub_buy_total,
2372,,bubbles,1,2,0,0,bub_buy_total,
2428,,bubbles,0,0,0,0,bub_buy_sell_ratio,
2488,,bubbles,5,0,0,0,bub_buy_sell_ratio,
2497,,bubbles,0,0,0,0,bub_buy_sell_ratio,
2544,,bubbles,2,3,0,0,bub_buy_total,
2663,,bubbles,2,1,0,0,bub_buy_total,
2705,,bubbles,5,0,0,0,bub_buy_sell_ratio,
2737,,bubbles,2,1,0,0,bub_buy_total,
2747,,bubbles,0,0,0,0,bub_buy_sell_ratio,
