context_label,combo,n,avgR,hit2R,runner3R
demand_reclaim,<all-in-context>,42,0.896,48,10
demand_reclaim,nas,5,0.88,40,0
demand_reclaim,demand_supply,19,1.05,63,11
demand_reclaim,volume_vp,0,0,0,0
demand_reclaim,bubbles,27,0.819,37,7
demand_reclaim,rsi_momentum,29,0.765,41,7
demand_reclaim,capitulation,2,1.4,50,50
demand_reclaim,bull_beta,14,0.53,43,7
demand_reclaim,nas+demand_supply,3,0.95,67,0
bottom_reversal_capitulation,<all-in-context>,23,0.821,39,9
bottom_reversal_capitulation,nas,14,1.406,50,14
bottom_reversal_capitulation,demand_supply,11,1.291,55,18
bottom_reversal_capitulation,volume_vp,6,0.003,33,0
bottom_reversal_capitulation,bubbles,18,1.117,44,11
bottom_reversal_capitulation,rsi_momentum,13,1.599,54,15
bottom_reversal_capitulation,capitulation,17,0.679,41,6
bottom_reversal_capitulation,bull_beta,14,1.339,50,14
bottom_reversal_capitulation,nas+demand_supply,9,1.421,56,22
bull_pullback_continuation,<all-in-context>,75,0.278,32,5
bull_pullback_continuation,nas,1,0.59,0,0
bull_pullback_continuation,demand_supply,32,0.252,41,9
bull_pullback_continuation,volume_vp,1,0.02,0,0
bull_pullback_continuation,bubbles,38,0.295,26,8
bull_pullback_continuation,rsi_momentum,49,0.297,35,6
bull_pullback_continuation,capitulation,4,-0.135,0,0
bull_pullback_continuation,bull_beta,6,-0.142,17,0
bull_pullback_continuation,nas+demand_supply,0,0,0,0
late_top_exhaustion,<all-in-context>,44,-0.141,18,0
late_top_exhaustion,nas,0,0,0,0
late_top_exhaustion,demand_supply,21,-0.214,19,0
late_top_exhaustion,volume_vp,5,-1.1,0,0
late_top_exhaustion,bubbles,6,-0.857,0,0
late_top_exhaustion,rsi_momentum,4,-0.735,0,0
late_top_exhaustion,capitulation,4,-1.1,0,0
late_top_exhaustion,bull_beta,1,-1.1,0,0
late_top_exhaustion,nas+demand_supply,0,0,0,0
bear_bounce,<all-in-context>,25,-0.23,16,4
bear_bounce,nas,5,0.57,40,0
bear_bounce,demand_supply,5,-0.102,40,0
bear_bounce,volume_vp,3,0.567,33,33
bear_bounce,bubbles,21,-0.064,19,5
bear_bounce,rsi_momentum,13,-0.074,15,0
bear_bounce,capitulation,7,0.816,57,14
bear_bounce,bull_beta,12,-0.412,17,0
bear_bounce,nas+demand_supply,2,1.395,100,0
liquidity_sweep_reversal,<all-in-context>,20,0.471,40,15
liquidity_sweep_reversal,nas,1,-1.1,0,0
liquidity_sweep_reversal,demand_supply,12,0.391,42,8
liquidity_sweep_reversal,volume_vp,3,0.567,33,33
liquidity_sweep_reversal,bubbles,15,0.328,40,13
liquidity_sweep_reversal,rsi_momentum,6,0.318,33,17
liquidity_sweep_reversal,capitulation,16,0.644,44,19
liquidity_sweep_reversal,bull_beta,2,2.7,100,50
liquidity_sweep_reversal,nas+demand_supply,1,-1.1,0,0
mid_range_noise,<all-in-context>,46,0.206,33,4
mid_range_noise,nas,0,0,0,0
mid_range_noise,demand_supply,14,0.229,43,0
mid_range_noise,volume_vp,1,2.34,100,0
mid_range_noise,bubbles,27,0.36,41,4
mid_range_noise,rsi_momentum,28,0.223,36,4
mid_range_noise,capitulation,9,0.936,56,22
mid_range_noise,bull_beta,9,0.682,67,0
mid_range_noise,nas+demand_supply,0,0,0,0
