specialist_state,n,hit_2R,hit_3R_runner,stop_first,scratch,winner_vs_loser
demand_supply=supportive,114,42,7,47,11,48W/66L
demand_supply=hostile,83,20,4,48,31,17W/66L
capitulation=supportive,59,41,14,47,12,24W/35L
capitulation=hostile,40,28,2,45,28,11W/29L
exhaustion_top=supportive,18,44,22,28,28,8W/10L
exhaustion_top=hostile,130,25,3,43,32,32W/98L
volume_vp=supportive,19,26,11,68,5,5W/14L
volume_vp=hostile,88,25,3,49,26,22W/66L
nas=supportive,26,42,8,27,31,11W/15L
nas=hostile,120,30,6,47,23,36W/84L
bubbles=supportive,152,32,7,45,23,49W/103L
bubbles=hostile,78,32,4,42,26,25W/53L
rsi_momentum=supportive,143,35,6,42,23,50W/93L
rsi_momentum=hostile,53,30,6,45,25,16W/37L
risk_sl=supportive,131,41,10,47,11,54W/77L
risk_sl=hostile,118,25,3,46,29,30W/88L
bull_beta=supportive,58,41,7,45,14,24W/34L
bull_beta=hostile,119,30,7,49,21,36W/83L
devils_advocate=supportive,0,0,0,0,0,0W/0L
devils_advocate=hostile,121,37,10,46,17,45W/76L
