removed_specialist,pointbis_corr_score_win,delta_vs_all,avgR_topq_minus_botq,delta_sep,verdict
<none/all>,0.165,0,0.454,0,baseline
bubbles,0.182,0.016,0.397,-0.057,ESSENTIAL(remover piora)
bull_beta,0.168,0.002,0.631,0.177,NOISY(remover melhora)
capitulation,0.164,-0.001,0.502,0.048,neutro
demand_supply,0.139,-0.026,0.493,0.039,neutro
devils_advocate,0.171,0.005,0.898,0.444,NOISY(remover melhora)
exhaustion_top,0.161,-0.005,0.454,0.0,neutro
nas,0.17,0.004,0.474,0.02,neutro
risk_sl,0.152,-0.014,0.519,0.065,NOISY(remover melhora)
rsi_momentum,0.169,0.004,0.45,-0.004,neutro
volume_vp,0.161,-0.004,0.38,-0.074,ESSENTIAL(remover piora)
