specialist,n_cov,avgR_sup,n_sup,avgR_hos,n_hos,avgR_neu,n_neu,avgR_veto,n_veto,avgR_review,n_review,WR_sup,WR_hos,diff_sup_minus_hos,cohend_sup_hos,diff_veto_minus_nonveto,CI95_sup,min_bucket_n
bubbles,276,0.405,152,0.22,78,0.118,46,0.0,0,0.0,0,32,32,0.185,0.12,-0.305,"[0.14,0.67]",46
bull_beta,276,0.531,58,0.258,119,0.228,99,0.0,0,0.0,0,41,30,0.273,0.17,-0.305,"[0.10,0.96]",58
capitulation,276,0.574,59,0.23,40,0.232,177,0.0,0,0.0,0,41,28,0.344,0.2,-0.305,"[0.09,1.06]",40
demand_supply,276,0.396,114,0.122,83,0.366,79,0.0,0,0.0,0,42,20,0.274,0.17,-0.305,"[0.09,0.70]",79
devils_advocate,276,0.0,0,0.318,205,0.266,71,0.136,84,0.445,121,0,31,-0.318,0.0,-0.243,"[0.00,0.00]",0
exhaustion_top,276,1.261,18,0.193,130,0.284,128,0.0,0,0.0,0,44,25,1.068,0.73,-0.305,"[0.38,2.14]",18
nas,276,1.017,26,0.251,120,0.212,130,0.0,0,0.0,0,42,30,0.765,0.49,-0.305,"[0.39,1.64]",26
risk_sl,276,0.488,131,0.197,118,-0.113,27,0.0,0,0.0,0,41,25,0.292,0.18,-0.305,"[0.18,0.80]",27
rsi_momentum,276,0.431,143,0.288,53,0.091,80,0.0,0,0.144,75,35,30,0.143,0.09,-0.305,"[0.17,0.69]",53
volume_vp,276,0.015,19,0.154,88,0.416,169,0.0,0,0.0,0,26,25,-0.139,-0.09,-0.305,"[-0.82,0.85]",19
