combo,reqs,n,avgR,avgR_drop2,WR,hit2R,runner3R,stop,scratch,ci,diff_vs_base,diff_vs_comp_min,cut_losers,kill_skipwin,min_n_warn
nas+demand_supply,nas=supportive;demand_supply=supportive,15,1.155,0.733,60,60,13,33,7,"[0.22,2.09]",0.85,0.138,2,0,
nas+risk_sl,nas=supportive;risk_sl=supportive,16,1.171,0.781,56,56,12,31,12,"[0.29,2.05]",0.866,0.154,3,0,
nas+exhaustion_top,nas=supportive;exhaustion_top=supportive,8,2.059,1.445,62,62,25,12,25,"[0.92,3.20]",1.754,0.798,1,0,WARN_n<12
nas+bull_beta,nas=supportive;bull_beta=supportive,13,1.861,1.49,69,69,15,8,23,"[1.09,2.63]",1.556,0.844,1,1,
nas+rsi_momentum,nas=supportive;rsi_momentum=supportive,24,1.193,0.947,46,46,8,21,33,"[0.57,1.82]",0.888,0.176,3,1,
nas+bubbles,nas=supportive;bubbles=supportive,24,0.887,0.613,38,38,8,29,33,"[0.24,1.54]",0.582,-0.13,4,1,
nas+volume_vp,nas=supportive;volume_vp=supportive,1,1.91,1.91,100,100,0,0,0,"[1.91,1.91]",1.605,0.893,0,0,WARN_n<12
demand_supply+risk_sl,demand_supply=supportive;risk_sl=supportive,94,0.498,0.424,47,47,9,48,5,"[0.14,0.85]",0.193,0.01,8,5,
demand_supply+volume_vp,demand_supply=supportive;volume_vp=supportive,7,0.337,-0.498,43,43,0,57,0,"[-1.00,1.67]",0.032,-0.059,2,0,WARN_n<12
demand_supply+bubbles,demand_supply=supportive;bubbles=supportive,64,0.304,0.188,41,41,8,52,8,"[-0.11,0.72]",-0.001,-0.101,6,2,
demand_supply+rsi_momentum,demand_supply=supportive;rsi_momentum=supportive,62,0.615,0.506,50,50,8,40,10,"[0.20,1.03]",0.31,0.184,3,4,
capitulation+bubbles,capitulation=supportive;bubbles=supportive,39,0.777,0.609,49,49,13,38,13,"[0.22,1.34]",0.472,0.203,7,2,
capitulation+rsi_momentum,capitulation=supportive;rsi_momentum=supportive,17,1.561,1.249,65,65,24,24,12,"[0.69,2.44]",1.256,0.987,2,0,
capitulation+volume_vp,capitulation=supportive;volume_vp=supportive,16,0.224,-0.301,31,31,12,62,6,"[-0.73,1.18]",-0.081,-0.35,2,0,
exhaustion_top+bull_beta(hostile),exhaustion_top=hostile;bull_beta=hostile,81,0.275,0.184,28,28,4,43,28,"[-0.05,0.60]",-0.03,0.017,0,17,
exhaustion_top+rsi_momentum(hostile),exhaustion_top=hostile;rsi_momentum=hostile,44,0.287,0.115,30,30,7,43,27,"[-0.17,0.75]",-0.018,-0.001,0,8,
DAveto+exhaustion_top(hostile),devils_advocate=veto;exhaustion_top=hostile,73,0.172,0.077,22,22,1,42,36,"[-0.14,0.48]",-0.133,-0.021,3,11,
DAveto+demand_supply(hostile),devils_advocate=veto;demand_supply=hostile,45,-0.068,-0.226,11,11,2,51,38,"[-0.44,0.30]",-0.373,-0.204,2,3,
DAveto+risk_sl(hostile),devils_advocate=veto;risk_sl=hostile,70,0.094,-0.007,19,19,1,47,34,"[-0.23,0.41]",-0.211,-0.103,3,10,
