episode_id,context_label,demand_supply,capitulation,exhaustion_top,volume_vp,nas,bubbles,rsi_momentum,risk_sl,bull_beta,devils_advocate
55,demand_reclaim,hostile,neutral,neutral,hostile,neutral,supportive,neutral,hostile,neutral,hostile
78,bull_pullback_continuation,supportive,neutral,neutral,hostile,hostile,supportive,supportive,supportive,neutral,neutral
116,liquidity_sweep_reversal,neutral,supportive,neutral,supportive,hostile,supportive,supportive,supportive,neutral,hostile
130,demand_reclaim,supportive,neutral,neutral,hostile,neutral,supportive,neutral,supportive,neutral,hostile
140,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,neutral,supportive,neutral,supportive,neutral,hostile
149,bottom_reversal_capitulation,supportive,supportive,supportive,hostile,supportive,supportive,supportive,supportive,neutral,neutral
159,mid_range_noise,supportive,neutral,neutral,hostile,neutral,neutral,supportive,supportive,neutral,neutral
217,late_top_exhaustion,neutral,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
237,liquidity_sweep_reversal,supportive,neutral,neutral,neutral,neutral,supportive,hostile,supportive,hostile,neutral
287,bull_pullback_continuation,supportive,supportive,neutral,neutral,hostile,hostile,hostile,supportive,hostile,neutral
351,demand_reclaim,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
383,mid_range_noise,neutral,neutral,supportive,neutral,hostile,neutral,neutral,neutral,neutral,hostile
391,liquidity_sweep_reversal,supportive,supportive,supportive,neutral,neutral,neutral,neutral,supportive,supportive,neutral
413,late_top_exhaustion,hostile,neutral,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
458,bear_bounce,hostile,supportive,supportive,neutral,neutral,supportive,neutral,hostile,neutral,hostile
493,bear_bounce,hostile,supportive,neutral,neutral,neutral,supportive,neutral,hostile,hostile,hostile
521,demand_reclaim,hostile,neutral,hostile,neutral,supportive,supportive,supportive,hostile,neutral,veto
542,bull_pullback_continuation,hostile,neutral,hostile,hostile,hostile,supportive,supportive,hostile,neutral,hostile
583,bull_pullback_continuation,neutral,supportive,neutral,supportive,hostile,supportive,hostile,supportive,neutral,neutral
597,bull_pullback_continuation,neutral,neutral,hostile,hostile,hostile,neutral,supportive,hostile,hostile,hostile
631,mid_range_noise,neutral,neutral,neutral,hostile,neutral,supportive,supportive,hostile,neutral,hostile
685,bull_pullback_continuation,hostile,supportive,hostile,neutral,neutral,supportive,neutral,hostile,supportive,veto
702,liquidity_sweep_reversal,neutral,supportive,hostile,neutral,neutral,supportive,neutral,neutral,neutral,veto
766,bull_pullback_continuation,supportive,hostile,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
780,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,supportive,hostile,hostile,hostile,veto
833,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,hostile,neutral,supportive,hostile,hostile
845,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
866,late_top_exhaustion,neutral,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
886,late_top_exhaustion,neutral,neutral,hostile,neutral,hostile,hostile,review_flag,neutral,hostile,hostile
901,late_top_exhaustion,neutral,neutral,hostile,hostile,hostile,hostile,review_flag,supportive,hostile,veto
919,late_top_exhaustion,supportive,neutral,hostile,neutral,hostile,supportive,hostile,hostile,hostile,veto
934,late_top_exhaustion,neutral,supportive,hostile,supportive,hostile,hostile,review_flag,supportive,hostile,hostile
970,unclear_conflict,neutral,neutral,neutral,neutral,neutral,neutral,supportive,neutral,neutral,hostile
1027,bull_pullback_continuation,hostile,neutral,hostile,hostile,hostile,neutral,supportive,hostile,neutral,hostile
1072,demand_reclaim,neutral,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
1151,bottom_reversal_capitulation,neutral,neutral,supportive,hostile,supportive,supportive,supportive,neutral,supportive,hostile
1200,demand_reclaim,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
1211,bull_pullback_continuation,neutral,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,hostile
1221,liquidity_sweep_reversal,hostile,supportive,hostile,neutral,neutral,supportive,neutral,hostile,neutral,veto
1298,mid_range_noise,neutral,neutral,hostile,neutral,neutral,supportive,supportive,hostile,supportive,hostile
1316,bull_pullback_continuation,hostile,neutral,hostile,neutral,hostile,supportive,supportive,hostile,hostile,veto
1326,late_top_exhaustion,hostile,hostile,hostile,neutral,hostile,hostile,review_flag,hostile,hostile,veto
1353,demand_reclaim,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
1429,demand_reclaim,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
1497,bull_pullback_continuation,hostile,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,veto
1522,mid_range_noise,supportive,neutral,neutral,hostile,neutral,supportive,supportive,supportive,hostile,hostile
1568,bottom_reversal_capitulation,hostile,supportive,neutral,supportive,hostile,hostile,hostile,supportive,hostile,neutral
1623,liquidity_sweep_reversal,supportive,neutral,neutral,hostile,neutral,neutral,supportive,supportive,neutral,neutral
1661,demand_reclaim,supportive,neutral,neutral,neutral,neutral,supportive,neutral,supportive,supportive,neutral
1761,demand_reclaim,neutral,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
1775,bottom_reversal_capitulation,hostile,supportive,hostile,neutral,neutral,neutral,neutral,hostile,supportive,veto
1836,bear_bounce,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
1873,bear_bounce,hostile,neutral,neutral,hostile,neutral,supportive,neutral,hostile,neutral,hostile
1901,bear_bounce,hostile,neutral,neutral,supportive,neutral,neutral,supportive,hostile,neutral,veto
1941,demand_reclaim,supportive,neutral,hostile,neutral,hostile,supportive,supportive,supportive,neutral,neutral
