plot_id,opaque,lens,recommendation
S1,Y04,macro,TAKE
S1,Y04,auction,SKIP
S1,Y04,volumetry,REVIEW
S1,Y04,risk,REVIEW
S3,Y05,macro,TAKE
S3,Y05,auction,REVIEW
S3,Y05,volumetry,TAKE
S3,Y05,risk,TAKE
S4,Y06,macro,TAKE
S4,Y06,auction,REVIEW
S4,Y06,volumetry,TAKE
S4,Y06,risk,TAKE
S5,Y07,macro,TAKE
S5,Y07,auction,REVIEW
S5,Y07,volumetry,REVIEW
S5,Y07,risk,REVIEW
S6,Y08,macro,TAKE
S6,Y08,auction,REVIEW
S6,Y08,volumetry,REVIEW
S6,Y08,risk,TAKE
S7,Y09,macro,REVIEW
S7,Y09,auction,REVIEW
S7,Y09,volumetry,TAKE
S7,Y09,risk,TAKE
S8,Y12,macro,REVIEW
S8,Y12,auction,REVIEW
S8,Y12,volumetry,REVIEW
S8,Y12,risk,TAKE
S9,Y13,macro,REVIEW
S9,Y13,auction,SKIP
S9,Y13,volumetry,SKIP
S9,Y13,risk,REVIEW
S10,Y14,macro,REVIEW
S10,Y14,auction,REVIEW
S10,Y14,volumetry,REVIEW
S10,Y14,risk,TAKE
S12,Y24,macro,TAKE
S12,Y24,auction,REVIEW
S12,Y24,volumetry,TAKE
S12,Y24,risk,REVIEW
S13,Y30,macro,SKIP
S13,Y30,auction,REVIEW
S13,Y30,volumetry,REVIEW
S13,Y30,risk,REVIEW
S14,Y31,macro,SKIP
S14,Y31,auction,SKIP
S14,Y31,volumetry,TAKE
S14,Y31,risk,REVIEW
S15,Y32,macro,SKIP
S15,Y32,auction,SKIP
S15,Y32,volumetry,REVIEW
S15,Y32,risk,TAKE
S16,Y33,macro,REVIEW
S16,Y33,auction,SKIP
S16,Y33,volumetry,REVIEW
S16,Y33,risk,REVIEW
S17,Y34,macro,TAKE
S17,Y34,auction,REVIEW
S17,Y34,volumetry,REVIEW
S17,Y34,risk,TAKE
S18,Y35,macro,TAKE
S18,Y35,auction,TAKE
S18,Y35,volumetry,TAKE
S18,Y35,risk,TAKE
S19,Y36,macro,SKIP
S19,Y36,auction,SKIP
S19,Y36,volumetry,TAKE
S19,Y36,risk,REVIEW
S20,Y37,macro,REVIEW
S20,Y37,auction,SKIP
S20,Y37,volumetry,REVIEW
S20,Y37,risk,TAKE
S21,Y38,macro,REVIEW
S21,Y38,auction,REVIEW
S21,Y38,volumetry,TAKE
S21,Y38,risk,REVIEW
S22,Y39,macro,TAKE
S22,Y39,auction,REVIEW
S22,Y39,volumetry,REVIEW
S22,Y39,risk,REVIEW
S23,Y43,macro,TAKE
S23,Y43,auction,REVIEW
S23,Y43,volumetry,REVIEW
S23,Y43,risk,TAKE
S24,Y45,macro,TAKE
S24,Y45,auction,REVIEW
S24,Y45,volumetry,TAKE
S24,Y45,risk,TAKE
S25,Y46,macro,TAKE
S25,Y46,auction,REVIEW
S25,Y46,volumetry,REVIEW
S25,Y46,risk,REVIEW
S26,Y47,macro,TAKE
S26,Y47,auction,SKIP
S26,Y47,volumetry,SKIP
S26,Y47,risk,REVIEW
S27,Y49,macro,TAKE
S27,Y49,auction,REVIEW
S27,Y49,volumetry,REVIEW
S27,Y49,risk,TAKE
S28,Y50,macro,REVIEW
S28,Y50,auction,REVIEW
S28,Y50,volumetry,TAKE
S28,Y50,risk,TAKE
S29,Y51,macro,TAKE
S29,Y51,auction,REVIEW
S29,Y51,volumetry,REVIEW
S29,Y51,risk,REVIEW
S30,Y52,macro,TAKE
S30,Y52,auction,REVIEW
S30,Y52,volumetry,REVIEW
S30,Y52,risk,REVIEW
S31,Y53,macro,TAKE
S31,Y53,auction,REVIEW
S31,Y53,volumetry,TAKE
S31,Y53,risk,TAKE
S32,Y54,macro,TAKE
S32,Y54,auction,TAKE
S32,Y54,volumetry,TAKE
S32,Y54,risk,TAKE
S34,Y55,macro,TAKE
S34,Y55,auction,REVIEW
S34,Y55,volumetry,TAKE
S34,Y55,risk,TAKE
S35,Y57,macro,TAKE
S35,Y57,auction,REVIEW
S35,Y57,volumetry,REVIEW
S35,Y57,risk,TAKE
S36,Y58,macro,TAKE
S36,Y58,auction,SKIP
S36,Y58,volumetry,REVIEW
S36,Y58,risk,REVIEW
S37,Y59,macro,TAKE
S37,Y59,auction,REVIEW
S37,Y59,volumetry,REVIEW
S37,Y59,risk,REVIEW
S38,Y60,macro,TAKE
S38,Y60,auction,TAKE
S38,Y60,volumetry,REVIEW
S38,Y60,risk,TAKE
S39,Y61,macro,TAKE
S39,Y61,auction,REVIEW
S39,Y61,volumetry,REVIEW
S39,Y61,risk,REVIEW
T2,Y01,macro,TAKE
T2,Y01,auction,REVIEW
T2,Y01,volumetry,REVIEW
T2,Y01,risk,TAKE
T3,Y02,macro,TAKE
T3,Y02,auction,REVIEW
T3,Y02,volumetry,REVIEW
T3,Y02,risk,REVIEW
T4,Y03,macro,TAKE
T4,Y03,auction,TAKE
T4,Y03,volumetry,REVIEW
T4,Y03,risk,TAKE
T9,Y10,macro,REVIEW
T9,Y10,auction,TAKE
T9,Y10,volumetry,TAKE
T9,Y10,risk,TAKE
T11,Y11,macro,SKIP
T11,Y11,auction,TAKE
T11,Y11,volumetry,TAKE
T11,Y11,risk,TAKE
T12,Y15,macro,TAKE
T12,Y15,auction,TAKE
T12,Y15,volumetry,REVIEW
T12,Y15,risk,TAKE
T13,Y16,macro,SKIP
T13,Y16,auction,REVIEW
