plot_id,exitype,realR,FINAL_policy,preserved,kind
S1,WIN_HELD,1.46,REVIEW,YES,WIN_HELD
S3,WIN_HELD,2.43,TAKE_CANDIDATE,YES,WIN_HELD
S4,WIN_HELD,1.43,TAKE_CANDIDATE,YES,WIN_HELD
S5,WIN_HELD,2.09,REVIEW,YES,WIN_HELD
S9,WIN_HELD,1.78,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
S10,WIN_HELD,1.86,REVIEW,YES,WIN_HELD
S12,WIN_HELD,1.84,REVIEW,YES,WIN_HELD
S13,WIN_HELD,3.54,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
S14,WIN_HELD,2.75,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
S15,WIN_HELD,2.76,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
S16,WIN_HELD,1.82,REVIEW,YES,WIN_HELD
S17,WIN_HELD,2.17,REVIEW,YES,WIN_HELD
S18,WIN_HELD,2.05,TAKE_CANDIDATE,YES,WIN_HELD
S19,WIN_HELD,1.96,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
S20,WIN_RUNNER,3.9,REVIEW,YES,MONUMENTAL_RUNNER
S21,WIN_HELD,2.7,REVIEW,YES,WIN_HELD
S24,WIN_HELD,3.16,TAKE_CANDIDATE,YES,WIN_HELD
S25,WIN_RUNNER,3.9,REVIEW,YES,MONUMENTAL_RUNNER
S26,WIN_RUNNER,3.9,SKIP_STRUCTURAL,NO-BLOCKED,MONUMENTAL_RUNNER
S27,WIN_HELD,1.78,REVIEW,YES,WIN_HELD
S28,WIN_HELD,1.01,REVIEW,YES,WIN_HELD
S29,WIN_HELD,1.95,REVIEW,YES,WIN_HELD
S30,WIN_HELD,2.05,REVIEW,YES,WIN_HELD
S31,WIN_HELD,2.83,TAKE_CANDIDATE,YES,WIN_HELD
S32,WIN_RUNNER,3.9,TAKE_CANDIDATE,YES,MONUMENTAL_RUNNER
S35,WIN_RUNNER,3.9,REVIEW,YES,MONUMENTAL_RUNNER
S36,WIN_HELD,1.97,REVIEW,YES,WIN_HELD
S37,WIN_HELD,2.45,REVIEW,YES,WIN_HELD
S38,WIN_HELD,3.16,TAKE_CANDIDATE,YES,WIN_HELD
T14,WIN_HELD,1.99,SKIP_STRUCTURAL,NO-BLOCKED,WIN_HELD
T19,WIN_HELD,2.02,REVIEW,YES,WIN_HELD
T33,WIN_HELD,1.69,TAKE_CANDIDATE,YES,WIN_HELD
