plot_id,set,datetime,d1_leg,regimeB_state,regimeB_combined,macro_broken,weekly_slope,weekly_rsi,spec_regime,spec_mtf,sup_cat,pol_cat,demand_cat,has_overhead,dist_supply,dist_demand,supply_broken,demand_touched,spec_supply,spec_demand,spec_volume,below_VAL,dist_POC,dist_VAL,va_width,rel_volume,trend_30,trend_90,rsi,rsi_1d,legpos90,legpos30,rise20,drop20,bear_div,spec_momentum,spec_capit,rsi_min8,sweet_spot,reclaim_body,spec_fuel,macro_state,macro_family,macro_confidence,sl_atr,sl_type,spec_risk,bear_leg_v3,clean_sky_flag,micro_residual,deep7_member,EVAL_exitype,EVAL_realR,EVAL_sl_atr
S1,A,2020-04-07,MACRO_RANGE,BULL,4,False,0.536,62.366,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,0.85,3.29,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,True,-0.58,-0.25,1.04,1.1,3.23,13.24,77.4,62.0,89.2,77.7,4.78,0.9,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,60.25,False,-0.9,low_fuel,BULL_PULLBACK_CONTINUATION,BULL,medium,3.39,TOP_EXHAUSTION,SL_NEUTRAL,ALLOW,,NO,NO,WIN_HELD,1.46,3.39
S3,A,2020-06-15,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,0.588,61.201,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,1,0.8,1.28,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.76,1.27,1.35,1.67,2.21,-0.32,40.59,55.2,69.3,60.1,1.26,1.69,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,40.59,True,1.26,low_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,1.38,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,NO,WIN_HELD,2.43,1.38
S4,A,2020-07-02,MACRO_BULL_LEG,BULL,2,False,0.616,64.629,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,0.66,1.91,0,1,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,False,0.47,1.21,1.09,1.17,1.55,4.81,53.39,60.9,85.7,70.9,1.16,1.08,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,45.97,False,0.36,high_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,2.01,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,NO,WIN_HELD,1.43,2.01
S5,A,2020-07-23,MACRO_BULL_LEG,BULL,3,False,0.829,73.851,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,0,,7.25,0,0,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,False,-0.04,0.48,0.64,0.86,5.62,9.18,77.26,77.6,94.1,91.3,5.7,0.19,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,75.45,False,0.27,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,6.94,TOP_EXHAUSTION,SL_TOO_WIDE,ALLOW,,NO,NO,WIN_HELD,2.09,6.94
S6,A,2020-07-30,MACRO_BULL_LEG,BULL,3,False,0.864,77.507,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,1,0.36,1.62,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.67,0.67,0.0,0.55,5.54,11.06,61.01,82.2,91.6,84.0,2.42,0.44,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,60.19,False,0.67,high_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,1.72,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,NO,WIN_BE,0.9,1.72
S7,A,2020-11-02,MACRO_RANGE,BEAR,-2,True,0.341,54.591,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,1.09,2.82,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.66,0.84,0.79,0.91,-1.43,-3.36,48.73,43.4,39.6,55.3,2.05,1.98,0.0,WEAK_MOMENTUM,NO_CAPITULATION,33.67,False,0.43,low_fuel,BEAR_BOUNCE_RISK,RISK,high,2.92,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_BE,0.9,2.92
S8,A,2021-04-06,MACRO_RANGE,BEAR,-1,True,-0.448,42.69,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,2.05,1.39,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.15,0.14,0.89,1.24,0.98,0.4,67.33,50.4,69.8,89.2,6.63,0.74,0.0,WEAK_MOMENTUM,NO_CAPITULATION,57.27,False,-0.74,medium_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,1.49,V_REVERSAL_DEMAND,SL_NEUTRAL,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_BE,0.9,1.49
S9,C,2021-05-12,MACRO_BULL_LEG,TRANSITION,3,True,-0.224,56.251,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,1,1.78,4.69,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,True,-1.49,-0.9,1.18,0.78,2.98,2.27,47.95,66.2,66.4,52.7,0.0,2.59,1.0,STRONG_BULL_MOMENTUM,FALLING_KNIFE,47.95,False,-0.71,low_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,4.79,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,1.78,4.79
S10,C,2021-05-14,MACRO_BULL_LEG,TRANSITION,2,True,-0.224,56.251,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,2.09,2.93,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.2,1.86,1.5,,0.02,5.6,58.09,62.9,92.5,81.7,2.67,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,40.98,False,0.51,medium_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,3.03,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,1.86,3.03
S12,A,2022-02-08,MACRO_TRANSITION,TRANSITION,3,False,0.136,57.748,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,1,2.75,5.27,1,0,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,False,0.86,1.39,0.89,0.9,3.99,2.15,63.73,55.3,65.1,99.4,5.38,0.0,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,58.89,False,0.88,medium_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,5.89,LATE_WIDE,SL_TOO_WIDE,ALLOW,,NO,NO,WIN_HELD,1.84,5.89
