episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
E30,55,1578985200,2020-01-14 07:00,1545.06,6.42,REFERENCE_ONLY,REFERENCE_ONLY,-3.21,,-2.41,-0.8,-1.54,below,,,False,2.62,0.83,37.31,37.31,50.47,below,12.4,0,1,1.07,6.42,,False,12.1,30.0,30.0,0,0,0,0,,37.31,0,1,0,0,0,0,0,0,1,0,1,0,1,1,4.43,0.85,,0,0,1,4.33,1,1.99,1,1,1,0,0,,0.67,False,0.79,1.34,1.09,,1,CHOCH,0.83,3.58,1.99,4.53,demand,NORMAL_DEMAND_BASE,False,7,False
,78,1579489200,2020-01-20 03:00,1561.52,4.86,REFERENCE_ONLY,REFERENCE_ONLY,1.3,,3.12,1.36,1.35,above,60.3,,False,0.0,3.12,56.27,50.65,60.57,above,4.3,0,2,1.04,4.86,,False,95.3,33.9,47.4,0,0,0,0,1.21,56.27,0,3,1,0,0,0,0,0,4,0,4,0,1,1,2.77,1.29,,1,1,1,5.24,1,8.89,0,0,0,0,1,1.77,0.38,False,0.75,0.92,0.34,,2,CHOCH,0.74,1.48,8.89,2.87,demand,NORMAL_DEMAND_BASE,False,3,False
,116,1580223600,2020-01-28 15:00,1569.64,7.81,REFERENCE_ONLY,REFERENCE_ONLY,1.4,0.07,1.91,-0.37,0.81,above,64.2,,False,2.02,1.91,56.69,56.69,67.66,below,7.7,2,0,1.2,7.81,1.02,True,50.8,60.2,44.7,0,0,0,0,1.72,56.69,0,0,1,0,1,0,0,0,1,1,1.0,0,2,1,1.68,0.79,,0,1,1,0.53,1,1.63,1,1,1,0,1,1.8,1.54,True,-1.35,-0.54,1.12,,,,-0.83,0.89,1.63,1.78,demand,V_REVERSAL_DEMAND,False,15,False
,130,1580425200,2020-01-30 23:00,1572.31,6.51,REFERENCE_ONLY,REFERENCE_ONLY,1.63,3.08,-0.91,-0.45,0.63,above,61.5,,False,1.83,1.09,50.06,50.06,63.23,below,13.2,2,0,0.74,6.51,0.91,False,49.4,61.6,69.2,0,0,0,0,0.67,50.06,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.37,0.7,,1,1,1,0.74,1,1.54,1,1,1,0,1,1.68,0.77,False,-0.19,0.05,0.52,,13,CHOCH,-0.22,0.67,1.54,1.47,demand,V_REVERSAL_DEMAND,False,23,False
,140,1580742000,2020-02-03 15:00,1576.49,7.92,REFERENCE_ONLY,REFERENCE_ONLY,-0.22,3.2,0.75,-0.27,0.48,above,60.3,60.6,True,1.58,0.8,43.24,43.24,67.41,below,24.2,0,1,1.34,7.92,1.2,True,43.7,64.1,70.6,0,0,0,0,,43.24,0,0,3,0,0,0,0,0,3,0,3,0,3,1,0.7,0.64,,1,0,1,1.0,1,1.34,1,1,1,0,1,1.33,1.4,False,-0.48,0.31,1.35,,0,CHOCH,0.8,0.06,1.34,0.8,demand,V_REVERSAL_DEMAND,False,15,False
,149,1580871600,2020-02-05 03:00,1559.59,7.51,REFERENCE_ONLY,REFERENCE_ONLY,-1.07,0.99,-1.94,-1.72,-1.86,below,50.0,59.7,True,3.91,1.07,33.45,28.49,50.09,below,15.9,0,3,0.76,7.51,1.19,False,23.8,23.8,28.8,0,0,0,0,,33.45,0,0,0,0,2,1,0,0,0,3,0.0,1,0,1,1.77,0.8,,1,1,1,6.23,1,3.66,0,0,0,0,1,2.26,0.57,False,0.43,0.99,0.64,,4,CHOCH,0.6,0.96,3.66,1.87,demand,V_REVERSAL_DEMAND,False,3,False
E27,159,1581015600,2020-02-06 19:00,1566.66,6.44,REFERENCE_ONLY,REFERENCE_ONLY,-1.16,2.52,-1.28,0.69,-0.69,below,49.9,58.8,True,1.54,2.35,51.43,36.74,52.09,above,0.7,0,2,0.24,6.44,1.0,False,41.8,41.8,43.2,0,0,0,0,,51.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.19,0.88,,1,1,1,0.29,1,3.17,0,0,0,0,1,1.78,0.25,False,0.09,1.27,1.54,,14,CHOCH,0.07,1.31,3.17,2.29,demand,NORMAL_DEMAND_BASE,False,19,False
,217,1582210800,2020-02-20 15:00,1618.92,7.2,REFERENCE_ONLY,REFERENCE_ONLY,6.05,5.67,5.13,2.64,4.89,above,69.2,57.2,False,0.0,5.36,75.62,68.09,84.77,below,2.1,0,3,1.19,7.2,1.21,False,90.8,92.5,93.7,0,0,0,0,5.23,75.62,0,0,1,8,0,0,0,0,9,0,9,0,11,1,5.56,0.51,,0,0,1,3.67,0,,0,0,0,0,0,,9.33,False,1.1,1.85,1.61,,,,0.2,5.05,,8.01,swing,TOP_EXHAUSTION,True,15,False
E34,237,1582671600,2020-02-25 23:00,1640.25,18.47,REFERENCE_ONLY,REFERENCE_ONLY,2.04,4.73,1.16,-0.49,1.34,above,77.5,64.4,False,2.53,1.16,48.51,48.51,75.51,below,16.2,0,1,0.65,18.47,2.71,False,45.4,61.5,65.4,0,0,0,0,0.94,48.51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.39,0.33,,1,0,1,4.76,1,2.33,0,1,1,0,0,,1.27,False,0.01,0.21,0.43,,,,0.27,0.06,2.33,0.49,demand,V_REVERSAL_DEMAND,False,23,False
E15,287,1583733600,2020-03-09 06:00,1665.14,20.46,REFERENCE_ONLY,REFERENCE_ONLY,2.72,4.07,0.98,0.21,1.31,above,70.0,64.6,False,1.75,1.41,53.02,53.02,72.86,below,19.8,0,1,1.22,20.46,1.75,True,68.0,72.8,72.8,0,0,0,0,1.01,53.02,0,2,2,5,0,0,0,0,9,0,9,0,9,1,1.14,0.4,,1,1,1,2.26,0,,0,0,0,0,1,0.22,0.81,False,-0.79,0.09,1.31,,,,0.1,0.74,,1.24,demand,V_REVERSAL_DEMAND,False,6,False
