bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
55,E30,2020-01-14 07:00,4.53,0.97,SCRATCH,1,0,8.14,19.44,WINNERS
78,,2020-01-20 03:00,2.87,-1.1,STOP_LOSS,0,0,4.58,11.45,WINNERS
116,,2020-01-28 15:00,1.78,-1.1,STOP_LOSS,0,0,6.68,12.24,WINNERS
130,,2020-01-30 23:00,1.47,0.79,WIN_BE,0,0,8.46,3.31,LOSERS
140,,2020-02-03 15:00,0.8,-1.1,STOP_LOSS,0,0,8.19,4.3,LOSERS
149,,2020-02-05 03:00,1.87,2.7,WIN_HELD,0,0,9.0,19.87,WINNERS
159,E27,2020-02-06 19:00,2.29,2.83,WIN_HELD,1,0,2.82,13.59,WINNERS
217,,2020-02-20 15:00,8.01,0.75,SCRATCH,0,0,20.05,9.71,LOSERS
237,E34,2020-02-25 23:00,0.49,-1.1,STOP_LOSS,0,1,7.14,4.42,LOSERS
287,E15,2020-03-09 06:00,1.24,-1.1,STOP_LOSS,0,1,10.23,2.29,LOSERS
351,E1,2020-03-23 22:00,4.22,0.82,SCRATCH,1,0,2.26,11.27,WINNERS
383,,2020-03-31 06:00,11.38,0.61,SCRATCH,0,0,10.52,6.62,LOSERS
391,E17,2020-04-01 14:00,1.03,3.9,WIN_RUNNER,1,0,5.24,9.24,WINNERS
413,,2020-04-07 06:00,3.39,1.46,WIN_HELD,0,0,17.55,6.43,LOSERS
458,,2020-04-17 18:00,2.85,0.32,SCRATCH,0,0,5.49,6.44,WINNERS
493,,2020-04-27 14:00,0.3,0.9,WIN_BE,0,0,10.88,1.36,LOSERS
521,,2020-05-04 06:00,2.96,1.37,SCRATCH,0,0,4.02,11.61,WINNERS
542,,2020-05-07 18:00,3.29,0.22,SCRATCH,0,0,8.26,7.07,LOSERS
583,,2020-05-18 14:00,5.05,0.02,SCRATCH,0,0,7.85,4.97,LOSERS
597,,2020-05-20 22:00,2.34,-1.1,STOP_LOSS,0,0,12.57,3.02,LOSERS
631,,2020-05-28 18:00,2.68,-1.1,STOP_LOSS,0,0,6.76,17.66,WINNERS
685,,2020-06-10 18:00,4.53,0.38,SCRATCH,0,0,13.25,4.61,LOSERS
702,,2020-06-15 14:00,1.38,2.43,WIN_HELD,0,0,7.49,5.87,LOSERS
766,,2020-06-30 06:00,0.72,-1.1,STOP_LOSS,0,0,16.86,5.97,LOSERS
