bar_idx,datetime,risk_atr,capped_realR,capped_exitype,mfe_R,mae_R,mae_before_mfe,max_run_R,runner_bucket,runner_flag,monster_flag,hit2,hit3,hit5,hit8,hit10,time_to_2R,time_to_max,stop_before_2R,realized_letrun_60,realized_letrun_120,realized_vstair_60,realized_vstair_120
55,2020-01-14,1.5,0.97,SCRATCH,5.01,0.41,0.41,5.01,R5_10,1,0,True,True,True,False,False,27,81,0,3.23,2.74,3.23,2.0
78,2020-01-20,1.5,-1.1,STOP_LOSS,0.97,1.22,0.43,0.97,R0_neg,0,0,False,False,False,False,False,,4,1,-1.0,-1.0,-1.0,-1.0
116,2020-01-28,0.42,-1.1,STOP_LOSS,0.0,1.24,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
130,2020-01-30,0.31,0.79,WIN_BE,10.46,1.32,0.35,10.46,R10p,1,1,True,True,True,True,True,2,6,0,-1.0,-1.0,5.0,5.0
140,2020-02-03,0.96,-1.1,STOP_LOSS,0.41,1.45,0.34,0.41,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
149,2020-02-05,1.5,2.7,WIN_HELD,0.0,1.07,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
159,2020-02-06,1.5,2.83,WIN_HELD,12.69,0.65,0.65,12.69,R10p,1,1,True,True,True,True,True,42,68,0,5.89,10.74,5.89,8.0
217,2020-02-20,1.5,0.75,SCRATCH,6.52,5.18,0.08,6.52,R5_10,1,0,True,True,True,False,False,5,10,0,-1.0,-1.0,2.0,2.0
237,2020-02-25,0.91,-1.1,STOP_LOSS,1.2,1.14,0.91,1.2,R0_neg,0,0,False,False,False,False,False,,10,1,-1.0,-1.0,-1.0,-1.0
287,2020-03-09,1.24,-1.1,STOP_LOSS,0.81,1.0,0.09,0.81,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
351,2020-03-23,1.5,0.82,SCRATCH,5.13,0.42,0.42,5.13,R5_10,1,0,True,True,True,False,False,16,88,0,2.6,3.38,0.0,0.0
383,2020-03-31,0.48,0.61,SCRATCH,0.0,1.88,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
391,2020-04-01,1.03,3.9,WIN_RUNNER,10.4,0.03,0.03,10.4,R10p,1,1,True,True,True,True,True,6,48,0,8.2,6.4,8.2,5.0
413,2020-04-07,1.46,1.46,WIN_HELD,4.88,0.5,0.5,4.88,R2_5,0,0,True,True,False,False,False,14,26,0,2.61,2.56,2.61,2.56
458,2020-04-17,0.3,0.32,SCRATCH,0.0,2.33,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
493,2020-04-27,0.64,0.9,WIN_BE,0.94,1.71,0.24,0.94,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
521,2020-05-04,1.5,1.37,SCRATCH,0.32,1.12,0.56,0.32,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
542,2020-05-07,1.5,0.22,SCRATCH,0.47,1.36,0.28,0.47,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
583,2020-05-18,0.47,0.02,SCRATCH,1.44,1.05,0.41,1.44,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
597,2020-05-20,0.31,-1.1,STOP_LOSS,0.0,2.46,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
631,2020-05-28,1.46,-1.1,STOP_LOSS,1.98,1.1,0.39,1.98,R0_neg,0,0,False,False,False,False,False,,17,1,-1.0,-1.0,-1.0,-1.0
685,2020-06-10,1.5,0.38,SCRATCH,0.09,1.08,0.5,0.09,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
702,2020-06-15,1.5,2.43,WIN_HELD,5.67,0.57,0.57,5.67,R5_10,1,0,True,True,True,False,False,26,101,0,2.82,4.75,2.82,4.75
766,2020-06-30,0.72,-1.1,STOP_LOSS,0.0,1.06,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
780,2020-07-02,1.5,1.43,WIN_HELD,14.6,0.5,0.5,14.6,R10p,1,1,True,True,True,True,True,22,103,0,1.42,12.8,1.42,12.8
833,2020-07-15,1.27,3.9,WIN_RUNNER,0.21,1.56,0.32,0.21,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
845,2020-07-17,1.5,3.9,WIN_RUNNER,30.71,0.61,0.61,30.71,R10p,1,1,True,True,True,True,True,11,86,0,18.55,15.24,12.0,12.0
866,2020-07-23,1.5,2.09,WIN_HELD,12.59,0.42,0.0,12.59,R10p,1,1,True,True,True,True,True,8,65,0,10.99,4.52,10.99,8.0
886,2020-07-28,1.5,-0.04,SCRATCH,4.68,1.12,0.02,4.68,R2_5,0,0,True,True,False,False,False,31,45,0,0.27,-1.0,0.27,0.0
901,2020-07-30,1.5,0.9,WIN_BE,5.01,1.24,0.24,5.01,R5_10,1,0,True,True,True,False,False,17,30,0,-1.0,-1.0,2.0,2.0
919,2020-08-04,1.5,-1.1,STOP_LOSS,3.31,1.87,0.39,3.31,R2_5,0,0,True,True,False,False,False,4,12,0,-1.0,-1.0,0.0,0.0
934,2020-08-07,0.37,-1.1,STOP_LOSS,0.0,5.04,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
970,2020-08-17,1.5,-0.13,SCRATCH,1.73,1.95,0.01,1.73,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
1027,2020-08-30,1.5,-1.1,STOP_LOSS,0.84,1.04,0.73,0.84,R0_neg,0,0,False,False,False,False,False,,8,1,-1.0,-1.0,-1.0,-1.0
1072,2020-09-09,1.5,-1.1,STOP_LOSS,1.42,1.77,0.49,1.42,R0_neg,0,0,False,False,False,False,False,,29,1,-1.0,-1.0,-1.0,-1.0
1151,2020-09-28,1.5,1.1,SCRATCH,2.73,0.46,0.46,2.73,R2_5,0,0,True,False,False,False,False,34,55,0,2.16,1.09,0.0,0.0
1200,2020-10-08,1.5,-0.16,SCRATCH,1.7,1.28,0.08,1.7,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
1211,2020-10-12,0.56,-0.59,SCRATCH,0.0,1.13,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
1221,2020-10-14,1.5,-1.1,STOP_LOSS,0.03,1.24,0.76,0.03,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
1298,2020-11-02,1.5,0.9,WIN_BE,5.1,1.89,0.41,5.1,R5_10,1,0,True,True,True,False,False,18,29,0,-1.0,-1.0,2.0,2.0
1316,2020-11-05,1.5,-1.1,STOP_LOSS,2.47,3.05,0.19,2.47,R2_5,0,0,True,False,False,False,False,7,11,0,-1.0,-1.0,0.0,0.0
