factors,count_after,reduction_pct,BOM_preserved,BOM_lost,NAO_events_cut,UNKNOWN_cut,cand_per_year,fragile_ok,has_danger,class
overextended_entry+src_redundant,3438,55.7,17,0,2,4284,491.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04,3552,54.2,17,0,2,4177,507.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04,3563,54.1,17,0,1,4154,509.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant,3572,54.0,17,0,2,4148,510.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04,4150,46.5,17,0,1,3583,593.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant,4248,45.3,17,0,1,3493,607.0,True,False,SAFE_CANDIDATE
no_retest+dist_pol_lt04,4551,41.4,17,0,0,3185,650.0,True,False,SAFE_CANDIDATE
no_retest+src_redundant,4691,39.6,17,0,1,3054,670.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+dist_pol_lt04,4786,38.3,17,0,0,2951,684.0,True,False,SAFE_CANDIDATE
no_absorption+dist_pol_lt04,4786,38.3,17,0,0,2951,684.0,True,False,SAFE_CANDIDATE
no_polarity_defense+dist_pol_lt04,4786,38.3,17,0,0,2951,684.0,True,False,SAFE_CANDIDATE
bear_flag+volume_fraco,4857,37.4,17,0,1,2870,694.0,True,False,SAFE_CANDIDATE
no_polarity_defense+src_redundant,4876,37.2,17,0,1,2870,697.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+src_redundant,4894,37.0,17,0,1,2852,699.0,True,False,SAFE_CANDIDATE
no_absorption+src_redundant,4894,37.0,17,0,1,2852,699.0,True,False,SAFE_CANDIDATE
bear_flag+overextended_entry,5153,33.6,17,0,0,2578,736.0,True,False,SAFE_CANDIDATE
volume_fraco+no_retest,5398,30.5,17,0,1,2331,771.0,True,False,SAFE_CANDIDATE
volume_fraco+no_polarity_defense,5424,30.1,17,0,1,2306,775.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+volume_fraco,5576,28.2,17,0,1,2154,797.0,True,False,SAFE_CANDIDATE
volume_fraco+no_absorption,5576,28.2,17,0,1,2154,797.0,True,False,SAFE_CANDIDATE
no_polarity_defense+overextended_entry,5747,26.0,17,0,0,1989,821.0,True,False,SAFE_CANDIDATE
no_retest+overextended_entry,5877,24.3,17,0,0,1859,840.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+overextended_entry,5961,23.2,17,0,0,1775,852.0,True,False,SAFE_CANDIDATE
no_absorption+overextended_entry,5961,23.2,17,0,0,1775,852.0,True,False,SAFE_CANDIDATE
bear_flag+no_retest,6531,15.9,17,0,0,1225,933.0,True,False,SAFE_CANDIDATE
bear_flag+no_polarity_defense,6542,15.7,17,0,0,1215,935.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+bear_flag,6729,13.3,17,0,0,1028,961.0,True,False,SAFE_CANDIDATE
bear_flag+no_absorption,6729,13.3,17,0,0,1028,961.0,True,False,SAFE_CANDIDATE
no_polarity_defense+no_retest,7314,5.8,17,0,0,448,1045.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+no_retest,7528,3.0,17,0,0,234,1075.0,True,False,SAFE_CANDIDATE
no_absorption+no_retest,7528,3.0,17,0,0,234,1075.0,True,False,SAFE_CANDIDATE
false_tipo_B_dump_direto+no_polarity_defense,7549,2.8,17,0,0,214,1078.0,True,False,SAFE_CANDIDATE
