combo,GT13B,GT17A,GT23,GT24,all_fragile_ok
overextended_entry+src_redundant,1surv,3surv,4surv,1surv,True
src_redundant+dist_pol_lt04,1surv,5surv,3surv,4surv,True
volume_fraco+dist_pol_lt04,1surv,3surv,1surv,2surv,True
volume_fraco+src_redundant,1surv,3surv,1surv,2surv,True
bear_flag+dist_pol_lt04,1surv,2surv,3surv,4surv,True
bear_flag+src_redundant,2surv,2surv,4surv,4surv,True
no_retest+dist_pol_lt04,1surv,5surv,3surv,3surv,True
no_retest+src_redundant,2surv,5surv,4surv,3surv,True
false_tipo_B_dump_direto+dist_pol_lt04,1surv,5surv,3surv,4surv,True
no_absorption+dist_pol_lt04,1surv,5surv,3surv,4surv,True
no_polarity_defense+dist_pol_lt04,1surv,5surv,3surv,4surv,True
bear_flag+volume_fraco,1surv,1surv,1surv,2surv,True
no_polarity_defense+src_redundant,2surv,5surv,4surv,4surv,True
false_tipo_B_dump_direto+src_redundant,2surv,5surv,4surv,4surv,True
no_absorption+src_redundant,2surv,5surv,4surv,4surv,True
overextended_entry+src_redundant+bear_flag,1surv,1surv,4surv,1surv,True
src_redundant+dist_pol_lt04+bear_flag,1surv,2surv,3surv,4surv,True
volume_fraco+dist_pol_lt04+bear_flag,1surv,1surv,1surv,2surv,True
volume_fraco+src_redundant+bear_flag,1surv,1surv,1surv,2surv,True
src_redundant+dist_pol_lt04+no_retest,1surv,5surv,3surv,3surv,True
overextended_entry+src_redundant+no_retest,1surv,3surv,4surv,1surv,True
volume_fraco+dist_pol_lt04+no_retest,1surv,3surv,1surv,1surv,True
volume_fraco+src_redundant+no_retest,1surv,3surv,1surv,1surv,True
overextended_entry+src_redundant+no_polarity_defense,1surv,3surv,4surv,1surv,True
overextended_entry+src_redundant+false_tipo_B_dump_direto,1surv,3surv,4surv,1surv,True
