candidate_id,ts,year,level,entry_close,source,variant,tipo,bos_mag_atr,label,gt_id,dist_pol_atr,sell_bub_10,large_sell_10,nas_near,nas_short_10,rsi,atr_pct,blk_false_tipo_B_dump_direto,blk_CHoCH_not_BOS,blk_first_retomada,blk_bear_flag,blk_BOS_fraco,blk_cluster_BUY_climax,blk_bear_macro,blk_volume_fraco,blk_no_absorption,blk_no_polarity_defense,blk_no_retest,blk_overextended_entry
C420,2020-04-08 10:00,2020,1639.31,1652.3,fractal_3_3,classic_BOS,A,0.72,BOM,GT01,0.85,0,0,SHORT,6,64.4,0.31,0,0,1,0,0,1,0,0,0,0,0,0
C421,2020-04-08 14:00,2020,1639.31,1648.73,fractal_3_3,classic_BOS,B,0.72,BOM,GT01,0.65,0,0,SHORT,6,65.1,0.19,0,0,1,0,0,0,0,0,0,0,0,0
C423,2020-04-08 22:00,2020,1639.31,1647.61,fractal_3_3,classic_BOS,A,0.72,BOM,GT01,0.62,0,0,SHORT,6,55.1,0.13,0,0,1,0,0,0,0,1,0,0,0,0
C424,2020-04-09 02:00,2020,1639.31,1648.28,fractal_3_3,classic_BOS,A,0.72,BOM,GT01,0.72,0,0,SHORT,6,59.4,0.06,0,0,1,0,0,0,0,1,0,0,0,0
C728,2020-06-21 22:00,2020,1744.55,1758.24,fractal_3_3,classic_BOS,A,0.01,BOM,GT03,1.8,0,0,SHORT,7,71.1,0.02,0,0,1,0,1,1,0,0,0,0,0,1
C729,2020-06-22 02:00,2020,1744.55,1752.73,fractal_3_3,classic_BOS,B,0.01,BOM,GT03,1.03,0,0,SHORT,7,73.5,0.07,0,0,1,0,1,1,0,0,0,0,0,1
C730,2020-06-22 06:00,2020,1744.55,1749.01,fractal_3_3,classic_BOS,B,0.01,BOM,GT03,0.54,0,0,SHORT,6,67.3,0.09,0,0,1,0,1,1,0,0,0,0,0,0
C731,2020-06-22 10:00,2020,1744.55,1759.5,fractal_3_3,classic_BOS,A,0.01,BOM,GT03,1.62,0,0,SHORT,6,63.4,0.28,0,0,1,0,1,1,0,0,0,0,0,1
C732,2020-06-22 14:00,2020,1744.55,1756.41,fractal_3_3,classic_BOS,B,0.01,BOM,GT03,1.32,0,0,SHORT,6,68.7,0.25,0,0,1,0,1,1,0,0,0,0,0,1
C885,2020-07-28 06:00,2020,1898.36,1929.72,fractal_3_3,classic_BOS,B,0.27,BOM,GT02,1.63,0,0,SHORT,8,67.4,1.0,0,0,0,0,1,0,0,0,0,0,0,1
C886,2020-07-28 10:00,2020,1920.84,1934.93,swing_high_simples,classic_BOS,A,1.04,BOM,GT02,0.71,0,0,SHORT,8,62.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
C887,2020-07-28 14:00,2020,1920.84,1953.82,swing_high_simples,classic_BOS,A,1.04,BOM,GT02,1.6,0,0,SHORT,8,63.6,1.0,0,0,0,0,0,0,0,0,0,0,0,1
C1306,2020-11-03 15:00,2020,1897.73,1906.16,topo_duplo,classic_BOS,A,0.03,BOM,GT08,0.94,0,0,SHORT,5,58.6,0.48,0,0,0,0,1,0,0,0,0,0,0,0
C1307,2020-11-03 19:00,2020,1900.44,1909.55,topo_duplo,classic_BOS,A,1.08,BOM,GT08,1.12,0,0,SHORT,5,65.3,0.11,0,0,0,0,0,0,0,1,0,0,0,1
C1308,2020-11-03 23:00,2020,1884.95,1893.57,fractal_3_3,classic_BOS,B,0.01,BOM,GT08,0.88,0,0,SHORT,5,66.7,0.68,0,0,0,0,1,0,0,0,0,0,0,0
C1309,2020-11-04 03:00,2020,1884.95,1899.44,fractal_3_3,classic_BOS,A,0.01,BOM,GT08,1.41,0,0,SHORT,5,51.1,0.82,0,0,0,0,1,0,0,0,0,0,0,1
C1427,2020-12-02 03:00,2020,1809.4,1812.9,topo_duplo,classic_BOS,A,0.32,BOM,GT09,0.31,0,0,LONG,0,53.8,0.7,0,0,1,0,0,0,0,1,0,0,0,0
C1428,2020-12-02 07:00,2020,1809.4,1829.82,topo_duplo,classic_BOS,A,0.32,BOM,GT09,1.82,0,0,LONG,0,56.0,0.63,0,0,1,0,0,0,0,0,0,0,0,1
C1429,2020-12-02 11:00,2020,1817.72,1818.52,fractal_3_3,classic_BOS,B,1.08,BOM,GT09,0.07,0,0,LONG,0,56.6,0.71,0,0,1,0,0,0,0,0,0,0,0,0
C1430,2020-12-02 15:00,2020,1817.72,1829.22,fractal_3_3,classic_BOS,A,1.08,BOM,GT09,1.04,0,0,LONG,0,56.6,0.62,0,0,1,0,0,0,0,0,0,0,0,1
C1431,2020-12-02 19:00,2020,1829.69,1830.48,nivel_interno,classic_BOS,A,0.01,BOM,GT09,0.08,0,0,LONG,0,61.0,0.57,0,1,1,0,1,0,0,1,0,0,0,0
C1487,2020-12-16 03:00,2020,1848.16,1857.23,fractal_3_3,classic_BOS,A,0.75,BOM,GT10,1.02,0,0,LONG,0,62.2,0.1,0,0,1,0,0,0,0,0,0,0,0,1
C1488,2020-12-16 07:00,2020,1848.16,1863.15,fractal_3_3,classic_BOS,A,0.75,BOM,GT10,1.62,0,0,LONG,0,62.2,0.16,0,0,1,0,0,0,0,0,0,0,0,1
C1489,2020-12-16 11:00,2020,1848.16,1854.28,fractal_3_3,classic_BOS,B,0.75,BOM,GT10,0.61,0,0,LONG,0,65.8,0.38,0,0,1,0,0,0,0,0,0,0,0,0
C1490,2020-12-16 15:00,2020,1848.16,1855.65,fractal_3_3,classic_BOS,A,0.75,BOM,GT10,0.78,0,0,LONG,0,57.2,0.23,0,0,1,0,0,0,0,0,0,0,0,0
C1491,2020-12-16 19:00,2020,1848.16,1864.52,fractal_3_3,classic_BOS,A,0.75,BOM,GT10,1.65,0,0,LONG,0,59.1,0.29,0,0,1,0,0,0,0,0,0,0,0,1
C1967,2021-04-12 14:00,2021,1730.46,1731.73,fractal_3_3,classic_BOS,B,0.54,BOM,GT13A,0.17,0,0,LONG,3,43.4,0.32,0,0,1,0,0,0,1,0,0,0,0,0
C1968,2021-04-12 18:00,2021,1730.46,1732.77,fractal_3_3,classic_BOS,A,0.54,BOM,GT13A,0.34,0,0,LONG,3,41.9,0.14,0,0,1,0,0,0,1,1,0,0,0,0
C1969,2021-04-12 22:00,2021,1730.46,1733.23,fractal_3_3,classic_BOS,A,0.54,BOM,GT13A,0.4,0,0,LONG,3,42.1,0.15,0,0,1,0,0,0,1,1,0,0,0,0
C1970,2021-04-13 02:00,2021,1719.93,1727.73,topo_duplo,classic_BOS,B,0.47,BOM,GT13A,1.05,0,0,LONG,3,42.1,0.35,0,0,1,0,0,0,1,0,0,0,0,1
C2045,2021-04-29 14:00,2021,1758.67,1768.13,fractal_3_3,classic_BOS,A,0.85,BOM,GT13B,1.0,2,1,SHORT,8,36.5,0.95,0,0,1,0,0,0,1,0,0,0,0,1
C2046,2021-04-29 18:00,2021,1769.65,1771.89,fractal_3_3,classic_BOS,A,0.18,BOM,GT13B,0.24,2,1,SHORT,8,44.6,0.93,0,0,0,0,1,0,1,1,0,0,0,0
C2047,2021-04-29 22:00,2021,1768.03,1768.69,nivel_interno,classic_BOS,B,0.38,BOM,GT13B,0.07,2,1,SHORT,8,47.1,0.92,0,0,0,0,0,0,1,1,0,0,0,0
C3042,2021-12-20 15:00,2021,1787.84,1793.22,fractal_3_3,classic_BOS,A,0.35,BOM,GT15,0.79,0,0,SHORT,10,49.8,0.31,0,0,1,0,0,0,0,0,0,0,0,0
C3043,2021-12-20 19:00,2021,1787.84,1790.81,fractal_3_3,classic_BOS,B,0.35,BOM,GT15,0.48,0,0,SHORT,10,51.3,0.11,0,0,1,0,0,0,0,1,0,0,0,0
C3044,2021-12-20 23:00,2021,1787.84,1791.13,fractal_3_3,classic_BOS,A,0.35,BOM,GT15,0.54,0,0,SHORT,10,48.6,0.08,0,0,1,0,0,0,1,0,0,0,0,0
C3045,2021-12-21 03:00,2021,1787.84,1791,fractal_3_3,classic_BOS,B,0.35,BOM,GT15,0.52,0,0,SHORT,10,48.9,0.08,0,0,1,0,0,0,1,0,0,0,0,0
C3129,2022-01-11 03:00,2022,1800.44,1808.22,fractal_3_3,classic_BOS,A,0.23,BOM,GT17A,1.15,0,0,SHORT,6,54.7,0.55,0,0,0,1,1,0,0,1,0,0,0,1
C3130,2022-01-11 07:00,2022,1800.44,1806.07,fractal_3_3,classic_BOS,B,0.23,BOM,GT17A,0.81,0,0,SHORT,6,57.5,0.61,0,0,0,1,1,0,0,0,0,0,0,0
C3131,2022-01-11 11:00,2022,1800.44,1805.92,fractal_3_3,classic_BOS,B,0.23,BOM,GT17A,0.77,0,0,SHORT,6,54.9,0.66,0,0,0,1,1,0,0,0,0,0,0,0
C3132,2022-01-11 15:00,2022,1814.25,1820.09,fractal_3_3,classic_BOS,A,0.13,BOM,GT17A,0.75,0,0,SHORT,6,54.7,0.77,0,0,0,0,1,0,0,0,0,0,0,0
C3133,2022-01-11 19:00,2022,1814.25,1821.49,fractal_3_3,classic_BOS,A,0.13,BOM,GT17A,1.02,0,0,SHORT,6,66.3,0.65,0,0,0,0,1,0,0,1,0,0,0,1
C3324,2022-02-24 15:00,2022,1902.49,1920.14,fractal_3_3,classic_BOS,B,0.23,BOM,GT18,1.09,0,0,LONG,2,60.3,1.0,0,0,0,0,1,0,0,0,0,0,0,1
C3325,2022-02-24 19:00,2022,1865.4,1903.96,fractal_3_3,classic_BOS,B,0.1,BOM,GT18,2.13,0,0,LONG,2,60.3,1.0,0,0,1,0,1,0,0,0,0,0,0,1
C3326,2022-02-24 23:00,2022,1902.49,1913.3,fractal_3_3,classic_BOS,A,0.23,BOM,GT18,0.58,0,0,LONG,2,48.8,1.0,0,0,0,0,1,0,0,0,0,0,0,0
C3327,2022-02-25 03:00,2022,1902.49,1919.14,fractal_3_3,classic_BOS,A,0.23,BOM,GT18,0.89,0,0,LONG,2,51.7,1.0,0,0,0,0,1,0,0,1,0,0,0,0
C4252,2022-09-30 06:00,2022,1662.77,1667.56,fractal_3_3,classic_BOS,B,0.43,BOM,GT20,0.42,0,0,LONG,0,61.3,0.78,0,1,1,0,0,0,1,0,0,0,0,0
C4253,2022-09-30 10:00,2022,1662.77,1670.14,fractal_3_3,classic_BOS,A,0.43,BOM,GT20,0.62,0,0,LONG,0,61.2,0.82,0,1,1,0,0,0,1,0,0,0,0,0
C4256,2022-10-02 22:00,2022,1662.77,1668.85,fractal_3_3,classic_BOS,A,0.43,BOM,GT20,0.65,0,0,LONG,0,54.9,0.45,0,1,1,0,0,0,1,1,0,0,0,0
C4409,2022-11-07 11:00,2022,1671.78,1679.8,fractal_3_3,classic_BOS,A,0.22,BOM,GT21,0.74,0,0,LONG,0,66.1,0.75,0,0,1,0,1,0,1,0,0,0,0,0
C4410,2022-11-07 15:00,2022,1671.78,1676.79,fractal_3_3,classic_BOS,B,0.22,BOM,GT21,0.5,0,0,LONG,0,66.8,0.64,0,0,1,0,1,0,1,0,0,0,0,0
C4411,2022-11-07 19:00,2022,1671.78,1675.26,fractal_3_3,classic_BOS,B,0.22,BOM,GT21,0.36,0,0,LONG,0,64.2,0.57,0,0,1,0,1,0,1,1,0,0,0,0
C4412,2022-11-07 23:00,2022,1671.78,1673.3,fractal_3_3,classic_BOS,B,0.22,BOM,GT21,0.17,0,0,LONG,0,62.7,0.44,0,0,1,0,1,0,1,1,0,0,0,0
C4413,2022-11-08 03:00,2022,1668.42,1670.45,fractal_3_3,classic_BOS,B,0.14,BOM,GT21,0.22,0,0,LONG,0,60.9,0.46,0,0,1,1,1,0,1,1,0,0,0,0
C4560,2022-12-12 19:00,2022,1780.84,1781.27,fractal_3_3,classic_BOS,A,0.27,BOM,GT23,0.05,0,0,LONG,0,43.8,0.44,0,0,1,0,1,0,0,1,0,0,0,0
C4561,2022-12-12 23:00,2022,1780.84,1785.67,fractal_3_3,classic_BOS,A,0.27,BOM,GT23,0.62,0,0,LONG,0,44.4,0.38,0,0,1,0,1,0,1,1,0,0,0,0
C4562,2022-12-13 03:00,2022,1780.84,1785.49,fractal_3_3,classic_BOS,B,0.27,BOM,GT23,0.59,0,0,LONG,0,49.2,0.44,0,0,1,0,1,0,1,1,0,0,0,0
C4563,2022-12-13 07:00,2022,1780.84,1787.26,fractal_3_3,classic_BOS,A,0.27,BOM,GT23,0.82,0,0,LONG,0,49.2,0.42,0,0,1,0,1,0,1,0,0,0,0,0
C4642,2023-01-03 11:00,2023,1824.53,1844.95,fractal_3_3,classic_BOS,A,1.82,BOM,GT24,2.11,0,0,LONG,0,65.8,0.85,0,0,0,0,0,1,0,0,0,0,1,1
C4643,2023-01-03 15:00,2023,1824.53,1838.84,fractal_3_3,classic_BOS,B,1.82,BOM,GT24,1.37,0,0,LONG,0,71.3,0.93,0,0,0,0,0,1,0,0,0,0,0,1
C4644,2023-01-03 19:00,2023,1833.26,1839.47,fractal_3_3,classic_BOS,A,0.67,BOM,GT24,0.63,0,0,LONG,0,64.8,0.84,0,0,0,0,0,1,0,1,0,0,0,0
C4645,2023-01-03 23:00,2023,1833.26,1845.73,fractal_3_3,classic_BOS,A,0.67,BOM,GT24,1.26,0,0,LONG,0,64.5,0.84,0,0,0,0,0,1,0,1,0,0,0,1
C4646,2023-01-04 03:00,2023,1839.8,1847.84,swing_high_simples,classic_BOS,A,0.27,BOM,GT25,0.81,0,0,LONG,0,68.4,0.83,0,0,0,0,1,1,0,0,0,0,0,0
C4647,2023-01-04 07:00,2023,1839.8,1858.84,swing_high_simples,classic_BOS,A,0.27,BOM,GT25,1.75,0,0,LONG,0,69.6,0.96,0,0,0,0,1,1,0,0,0,0,0,1
C4648,2023-01-04 11:00,2023,1849.96,1857.01,fractal_3_3,classic_BOS,B,0.82,BOM,GT25,0.63,0,0,LONG,0,74.4,0.97,0,0,0,0,0,1,0,0,0,0,0,0
C4650,2023-01-04 19:00,2023,1849.96,1854.61,fractal_3_3,classic_BOS,A,0.82,BOM,GT25,0.41,0,0,LONG,0,65.2,0.97,0,0,0,0,0,0,0,1,0,0,0,0
C5965,2023-11-08 23:00,2023,1946.1,1950,swing_high_simples,classic_BOS,A,1.14,BOM,GT27,0.63,11,7,SHORT,8,25.9,0.04,0,0,1,0,0,0,0,1,0,0,0,0
C5966,2023-11-09 03:00,2023,1946.1,1949.28,swing_high_simples,classic_BOS,B,1.14,BOM,GT27,0.52,11,7,SHORT,7,26.1,0.04,0,0,1,0,0,0,0,0,0,0,0,0
C5967,2023-11-09 07:00,2023,1940.36,1947.02,swing_high_simples,classic_BOS,B,0.45,BOM,GT27,1.08,11,7,SHORT,7,25.7,0.05,0,0,1,0,0,0,0,0,0,0,0,1
C5968,2023-11-09 11:00,2023,1954.4,1958.13,topo_duplo,classic_BOS,A,1.54,BOM,GT27,0.54,11,7,SHORT,7,24.3,0.18,0,0,0,0,0,0,0,0,0,0,0,0
C5969,2023-11-09 15:00,2023,1962.62,1963.07,fractal_3_3,classic_BOS,A,0.85,BOM,GT27,0.06,11,7,SHORT,7,40.8,0.2,0,0,1,0,0,0,0,0,0,0,0,0
C600,2020-05-21 10:00,2020,1732.49,1734,swing_high_simples,classic_BOS,A,0.01,NAO,GT04A,0.17,0,0,SHORT,11,43.7,0.12,0,0,1,0,1,0,0,0,0,0,0,0
C601,2020-05-21 14:00,2020,1713.1,1722.23,fractal_3_3,classic_BOS,B,0.18,NAO,GT04A,1.02,1,0,SHORT,11,43.7,0.18,0,0,0,0,1,0,0,0,0,0,0,1
C602,2020-05-21 18:00,2020,1721.73,1726.97,fractal_3_3,classic_BOS,A,1.13,NAO,GT04A,0.6,1,0,SHORT,11,36.5,0.13,0,0,0,0,0,0,0,1,0,0,0,0
C603,2020-05-21 22:00,2020,1721.73,1727.36,fractal_3_3,classic_BOS,A,1.13,NAO,GT04A,0.67,1,0,SHORT,11,38.6,0.09,0,0,0,0,0,0,0,1,0,0,0,0
