candidate_id,timestamp,source,source_family,reason_flags,kept,prune_reason,GT_match,NAO_match,gt_id,notes
C55,2020-01-14 07:00,swing_high_simples,structural,,kept,,no,no,,classic_BOS/A
C56,2020-01-14 11:00,swing_high_simples,structural,,kept,,no,no,,classic_BOS/A
C57,2020-01-14 15:00,swing_high_simples,structural,,kept,,no,no,,classic_BOS/B
C59,2020-01-14 23:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C61,2020-01-15 07:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C62,2020-01-15 11:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C63,2020-01-15 15:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C65,2020-01-15 23:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C67,2020-01-16 07:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C68,2020-01-16 11:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C69,2020-01-16 15:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C71,2020-01-16 23:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C73,2020-01-17 07:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C74,2020-01-17 11:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C75,2020-01-17 15:00,topo_duplo,structural,overextended_entry,kept,,no,no,,classic_BOS/A
C77,2020-01-19 23:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C78,2020-01-20 03:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/A
C80,2020-01-20 11:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/A
C82,2020-01-20 23:00,fractal_3_3,fractal,overextended_entry|first_retomada,kept,,no,no,,classic_BOS/A
C85,2020-01-21 11:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C86,2020-01-21 15:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/A
C87,2020-01-21 19:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C89,2020-01-22 03:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C90,2020-01-22 07:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/A
C91,2020-01-22 11:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C92,2020-01-22 15:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C95,2020-01-23 03:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/A
C96,2020-01-23 07:00,topo_duplo,structural,,kept,,no,no,,classic_BOS/B
C97,2020-01-23 11:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/A
C98,2020-01-23 15:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/B
C102,2020-01-24 07:00,fractal_3_3,fractal,first_retomada,kept,,no,no,,classic_BOS/B
C103,2020-01-24 11:00,fractal_3_3,fractal,,kept,,no,no,,classic_BOS/A
