gt_id,capturing_candidates_total,surviving_in_base,captured_in_base,surviving_ids
GT01,4,2,yes,C420|C421
GT02,3,3,yes,C885|C886|C887
GT03,5,5,yes,C728|C729|C730|C731|C732
GT08,4,3,yes,C1306|C1308|C1309
GT09,5,3,yes,C1428|C1429|C1430
GT10,5,5,yes,C1487|C1488|C1489|C1490|C1491
GT13A,4,2,yes,C1967|C1970
GT13B,3,1,yes,C2045
GT15,4,3,yes,C3042|C3044|C3045
GT17A,5,1,yes,C3132
GT18,4,3,yes,C3324|C3325|C3326
GT20,3,2,yes,C4252|C4253
GT21,5,2,yes,C4409|C4410
GT23,4,1,yes,C4563
GT24,4,1,yes,C4643
GT25,4,3,yes,C4646|C4647|C4648
GT27,5,4,yes,C5966|C5967|C5968|C5969
