candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C55,2020-01-14 07:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C56,2020-01-14 11:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C57,2020-01-14 15:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C58,2020-01-14 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C78,2020-01-20 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C80,2020-01-20 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C81,2020-01-20 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C86,2020-01-21 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C90,2020-01-22 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C93,2020-01-22 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C97,2020-01-23 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C98,2020-01-23 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C99,2020-01-23 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C100,2020-01-23 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C101,2020-01-24 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C102,2020-01-24 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C103,2020-01-24 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C105,2020-01-24 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C116,2020-01-28 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C117,2020-01-28 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C118,2020-01-28 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C119,2020-01-29 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C122,2020-01-29 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C130,2020-01-30 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C131,2020-01-31 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C140,2020-02-03 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C149,2020-02-05 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C159,2020-02-06 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C160,2020-02-06 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C166,2020-02-09 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C167,2020-02-10 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C168,2020-02-10 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C174,2020-02-11 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C175,2020-02-11 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C176,2020-02-11 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C178,2020-02-11 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C179,2020-02-12 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C180,2020-02-12 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C183,2020-02-12 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C188,2020-02-13 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C189,2020-02-13 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C191,2020-02-14 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C192,2020-02-14 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C198,2020-02-17 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C199,2020-02-17 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C201,2020-02-17 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C203,2020-02-18 07:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C217,2020-02-20 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C218,2020-02-20 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C219,2020-02-20 23:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C224,2020-02-21 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C230,2020-02-24 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C237,2020-02-25 23:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C242,2020-02-26 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C247,2020-02-27 15:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C249,2020-02-27 23:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C253,2020-02-28 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C254,2020-02-28 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C255,2020-03-01 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C259,2020-03-02 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C260,2020-03-02 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C262,2020-03-03 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C268,2020-03-04 03:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C270,2020-03-04 11:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C272,2020-03-04 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C274,2020-03-05 03:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C277,2020-03-05 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C278,2020-03-05 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C279,2020-03-05 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C287,2020-03-09 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C288,2020-03-09 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C289,2020-03-09 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C291,2020-03-09 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C293,2020-03-10 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C295,2020-03-10 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C297,2020-03-10 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
